ISOAlpha_3Code,country,WEO_Country_Code,target,target_year,forecast_season,horizon,forecast_year,type,prediction,tv_0.5,tv_1,tv_1.5,tv_2,cgroup,economy,euro,g7,g20,geoEmer,geolInc,oil,meangdppc,meanlfp
BGR,Bulgaria,918,ngdp_rpch,1999,S,2.5,1997,prediction,3.49999657861262,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,1999,F,2,1997,prediction,3.03775151469488,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,1999,S,1.5,1998,prediction,2.99999715093704,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,1999,F,1,1998,prediction,4.0999990710197,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,1999,S,0.5,1999,prediction,3.69999732641773,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,1999,F,0,1999,prediction,1.50088211939148,2.49959907427344,2.4,2.39999767486678,2.40465100355347,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,5.5,1995,prediction,2.99999843932743,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,5,1995,prediction,3.99999806699416,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,4.5,1996,prediction,4.00000805936749,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,4,1996,prediction,3.9999960452757,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,3.5,1997,prediction,3.99999680830105,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,3,1997,prediction,3.59999575927643,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,2.5,1998,prediction,3.99999716959176,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,2,1998,prediction,4.50000296423974,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,1.5,1999,prediction,4.0999979116666,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,1,1999,prediction,4.00057000330691,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,S,0.5,2000,prediction,4.00377021190126,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2000,F,0,2000,prediction,4.49999999999997,4.99999999999996,5.77806446970062,5.8000007933054,5.39156967504837,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,5.5,1996,prediction,3.9999959407951,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,5,1996,prediction,3.9999946763325,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,4.5,1997,prediction,4.00000350736172,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,4,1997,prediction,3.99999512694906,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,3.5,1998,prediction,3.99999901034669,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,3,1998,prediction,5.0000056731859,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,2.5,1999,prediction,4.70000097208403,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,2,1999,prediction,4.5186321507767,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,1.5,2000,prediction,4.46612546357021,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,1,2000,prediction,4.99999999999998,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,S,0.5,2001,prediction,5.00000638241487,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2001,F,0,2001,prediction,4.49999936386287,4.50000361518699,4.03127341834051,4.03127341834051,4.10000000000019,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,5.5,1997,prediction,4.00000463713663,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,5,1997,prediction,4.00001358831561,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,4.5,1998,prediction,3.99999524205175,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,4,1998,prediction,5.19999358460825,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,3.5,1999,prediction,4.99999999999998,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,3,1999,prediction,4.99855247101217,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,2.5,2000,prediction,4.98645670256059,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,2,2000,prediction,4.98645670256057,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,1.5,2001,prediction,4.99999427906834,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,1,2001,prediction,5.00000128156535,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,S,0.5,2002,prediction,3.99999923122045,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2002,F,0,2002,prediction,4.00000000000058,4.00000000000058,4.80000000000018,4.80000000000018,4.8903387198781,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2003,S,5.5,1998,prediction,4.0000164698218,4.3000000000001,4.27727369680824,4.27727369680824,4.30000000000004,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2003,F,5,1998,prediction,5.50000124344394,4.3000000000001,4.27727369680824,4.27727369680824,4.30000000000004,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2003,S,4.5,1999,prediction,5.20000103630096,4.3000000000001,4.27727369680824,4.27727369680824,4.30000000000004,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
BGR,Bulgaria,918,ngdp_rpch,2003,F,4,1999,prediction,5.19999859922693,4.3000000000001,4.27727369680824,4.27727369680824,4.30000000000004,0,Emerging Market Economies,0,0,0,Europe,<NA>,<NA>,5574.68859155446,53.3654583333333
