source,target,country,forecast_year,horizon,target_year,prediction,tv_1
IMF,ngdp_rpch,CAN,1990,0,1990,1.08157071989092,0.451506066299223
IMF,ngdp_rpch,CAN,1990,0.5,1990,1.59789006371132,0.451506066299223
IMF,ngdp_rpch,CAN,1990,1,1991,1.0768083815881,-1.70549610170001
IMF,ngdp_rpch,CAN,1990,1.5,1991,3.06538226564552,-1.70549610170001
IMF,ngdp_rpch,CAN,1991,0,1991,-0.854925132751283,-1.70549610170001
IMF,ngdp_rpch,CAN,1991,0.5,1991,-1.12647194637109,-1.70549610170001
IMF,ngdp_rpch,CAN,1991,1,1992,3.75192969028642,0.7227896523605
IMF,ngdp_rpch,CAN,1991,1.5,1992,3.57480117550646,0.7227896523605
IMF,ngdp_rpch,CAN,1992,0,1992,2.09564791615211,0.7227896523605
IMF,ngdp_rpch,CAN,1992,0.5,1992,2.29581531724121,0.7227896523605
IMF,ngdp_rpch,CAN,1992,1,1993,4.38111574260593,2.21724997230723
IMF,ngdp_rpch,CAN,1992,1.5,1993,4.90001426942011,2.21724997230723
IMF,ngdp_rpch,CAN,1993,0,1993,2.59457812358486,2.21724997230723
IMF,ngdp_rpch,CAN,1993,0.5,1993,3.17826121317613,2.21724997230723
IMF,ngdp_rpch,CAN,1993,1,1994,3.82902900720978,4.58510398208867
IMF,ngdp_rpch,CAN,1993,1.5,1994,4.39924204846924,4.58510398208867
IMF,ngdp_rpch,CAN,1994,0,1994,4.13843169004209,4.58510398208867
IMF,ngdp_rpch,CAN,1994,0.5,1994,3.46214585497351,4.58510398208867
IMF,ngdp_rpch,CAN,1994,1,1995,3.81815615525405,2.32691448175109
IMF,ngdp_rpch,CAN,1994,1.5,1995,4.07515122834448,2.32691448175109
IMF,ngdp_rpch,CAN,1995,0,1995,2.1953262284766,2.32691448175109
IMF,ngdp_rpch,CAN,1995,0.5,1995,4.33472513146891,2.32691448175109
IMF,ngdp_rpch,CAN,1995,1,1996,2.66288720383014,1.47168684747865
IMF,ngdp_rpch,CAN,1995,1.5,1996,2.59209610577809,1.47168684747865
IMF,ngdp_rpch,CAN,1996,0,1996,1.38504155124655,1.47168684747865
IMF,ngdp_rpch,CAN,1996,0.5,1996,1.92495861431339,1.47168684747865
IMF,ngdp_rpch,CAN,1996,1,1997,3.19396850408649,3.696491158653
IMF,ngdp_rpch,CAN,1996,1.5,1997,2.9312419704095,3.696491158653
IMF,ngdp_rpch,CAN,1997,0,1997,3.72033861047598,3.696491158653
IMF,ngdp_rpch,CAN,1997,0.5,1997,3.46060617736392,3.696491158653
IMF,ngdp_rpch,CAN,1997,1,1998,3.49725285244804,3.10369469306828
IMF,ngdp_rpch,CAN,1997,1.5,1998,3.44317106680938,3.10369469306828
IMF,ngdp_rpch,CAN,1998,0,1998,3.04230242163008,3.10369469306828
IMF,ngdp_rpch,CAN,1998,0.5,1998,3.15161149618541,3.10369469306828
IMF,ngdp_rpch,CAN,1998,1,1999,2.52391674655363,4.54298208317796
IMF,ngdp_rpch,CAN,1998,1.5,1999,2.81742168616894,4.54298208317796
IMF,ngdp_rpch,CAN,1999,0,1999,3.55787950200284,4.54298208317796
IMF,ngdp_rpch,CAN,1999,0.5,1999,2.56328626382356,4.54298208317796
IMF,ngdp_rpch,CAN,1999,1,2000,2.63049627888496,4.43097296070909
IMF,ngdp_rpch,CAN,1999,1.5,2000,2.46569750077601,4.43097296070909
IMF,ngdp_rpch,CAN,2000,0,2000,4.65537350281293,4.43097296070909
IMF,ngdp_rpch,CAN,2000,0.5,2000,3.74007111642367,4.43097296070909
IMF,ngdp_rpch,CAN,2000,1,2001,2.80943153337796,1.50029461605823
IMF,ngdp_rpch,CAN,2000,1.5,2001,2.67708129552038,1.50029461605823
IMF,ngdp_rpch,CAN,2001,0,2001,1.95545523394851,1.50029461605823
IMF,ngdp_rpch,CAN,2001,0.5,2001,2.2686463695714,1.50029461605823
IMF,ngdp_rpch,CAN,2001,1,2002,2.18313782855848,3.28031622832838
IMF,ngdp_rpch,CAN,2001,1.5,2002,2.44876531564373,3.28031622832838
IMF,ngdp_rpch,CAN,2002,0,2002,3.42212119904626,3.28031622832838
IMF,ngdp_rpch,CAN,2002,0.5,2002,2.52548327081028,3.28031622832838
IMF,ngdp_rpch,CAN,2002,1,2003,3.37962073406697,2.02287691329173
IMF,ngdp_rpch,CAN,2002,1.5,2003,3.59511927665275,2.02287691329173
IMF,ngdp_rpch,CAN,2003,0,2003,1.9284265789949,2.02287691329173
IMF,ngdp_rpch,CAN,2003,0.5,2003,2.76668230800574,2.02287691329173
IMF,ngdp_rpch,CAN,2003,1,2004,2.95266891732737,2.93300091176396
IMF,ngdp_rpch,CAN,2003,1.5,2004,3.20829513232619,2.93300091176396
IMF,ngdp_rpch,CAN,2004,0,2004,2.88847010459576,2.93300091176396
IMF,ngdp_rpch,CAN,2004,0.5,2004,2.55799089848758,2.93300091176396
IMF,ngdp_rpch,CAN,2004,1,2005,3.12890237463725,2.93568148137116
IMF,ngdp_rpch,CAN,2004,1.5,2005,3.13079805379926,2.93568148137116
IMF,ngdp_rpch,CAN,2005,0,2005,2.8733450243726,2.93568148137116
IMF,ngdp_rpch,CAN,2005,0.5,2005,2.77401764574103,2.93568148137116
IMF,ngdp_rpch,CAN,2005,1,2006,3.24310163792116,2.75877959255639
IMF,ngdp_rpch,CAN,2005,1.5,2006,3.04437329381357,2.75877959255639
IMF,ngdp_rpch,CAN,2006,0,2006,3.10325747098095,2.75877959255639
IMF,ngdp_rpch,CAN,2006,0.5,2006,3.07979876304354,2.75877959255639
IMF,ngdp_rpch,CAN,2006,1,2007,2.95010165942686,2.71331940270976
IMF,ngdp_rpch,CAN,2006,1.5,2007,3.00617751581465,2.71331940270976
IMF,ngdp_rpch,CAN,2007,0,2007,2.53670080556168,2.71331940270976
IMF,ngdp_rpch,CAN,2007,0.5,2007,2.40996356951992,2.71331940270976
IMF,ngdp_rpch,CAN,2007,1,2008,2.31913509033637,0.414352989990952
IMF,ngdp_rpch,CAN,2007,1.5,2008,2.93158611896225,0.414352989990952
IMF,ngdp_rpch,CAN,2008,0,2008,0.724223894322917,0.414352989990952
IMF,ngdp_rpch,CAN,2008,0.5,2008,1.31964650076564,0.414352989990952
IMF,ngdp_rpch,CAN,2008,1,2009,1.17413896433198,-2.46199986419378
IMF,ngdp_rpch,CAN,2008,1.5,2009,1.94799906013567,-2.46199986419378
IMF,ngdp_rpch,CAN,2009,0,2009,-2.47852022487748,-2.46199986419378
IMF,ngdp_rpch,CAN,2009,0.5,2009,-2.53968476378023,-2.46199986419378
IMF,ngdp_rpch,CAN,2009,1,2010,2.12475777214718,3.21488935788097
IMF,ngdp_rpch,CAN,2009,1.5,2010,1.15869099578014,3.21488935788097
IMF,ngdp_rpch,CAN,2010,0,2010,3.09948467175352,3.21488935788097
IMF,ngdp_rpch,CAN,2010,0.5,2010,3.14165417529895,3.21488935788097
IMF,ngdp_rpch,CAN,2010,1,2011,2.6695237289075,2.40559852225579
IMF,ngdp_rpch,CAN,2010,1.5,2011,3.20317251835878,2.40559852225579
IMF,ngdp_rpch,CAN,2011,0,2011,2.08042137485307,2.40559852225579
IMF,ngdp_rpch,CAN,2011,0.5,2011,2.75215056416278,2.40559852225579
IMF,ngdp_rpch,CAN,2011,1,2012,1.90547253969191,1.7089903528317
IMF,ngdp_rpch,CAN,2011,1.5,2012,2.62456093534975,1.7089903528317
IMF,ngdp_rpch,CAN,2012,0,2012,1.93617329899221,1.7089903528317
IMF,ngdp_rpch,CAN,2012,0.5,2012,2.05713109635226,1.7089903528317
IMF,ngdp_rpch,CAN,2012,1,2013,1.96762259667196,2.02201697652882
IMF,ngdp_rpch,CAN,2012,1.5,2013,2.16291369550845,2.02201697652882
IMF,ngdp_rpch,CAN,2013,0,2013,1.61216327479301,2.02201697652882
IMF,ngdp_rpch,CAN,2013,0.5,2013,1.46425576974565,2.02201697652882
IMF,ngdp_rpch,CAN,2013,1,2014,2.15961492246131,2.43927679182348
IMF,ngdp_rpch,CAN,2013,1.5,2014,2.3867987773355,2.43927679182348
IMF,ngdp_rpch,CAN,2014,0,2014,2.2716207497665,2.43927679182348
IMF,ngdp_rpch,CAN,2014,0.5,2014,2.29944879532515,2.43927679182348
IMF,ngdp_rpch,CAN,2014,1,2015,2.4461442710191,1.0782975138163
IMF,ngdp_rpch,CAN,2014,1.5,2015,2.36523370998112,1.0782975138163
IMF,ngdp_rpch,CAN,2015,0,2015,1.04105304422608,1.0782975138163
IMF,ngdp_rpch,CAN,2015,0.5,2015,2.15733882276332,1.0782975138163
IMF,ngdp_rpch,CAN,2015,1,2016,1.66186044613978,1.46776119706518
IMF,ngdp_rpch,CAN,2015,1.5,2016,2.0249293961953,1.46776119706518
IMF,ngdp_rpch,CAN,2016,0,2016,1.15749640792295,1.46776119706518
IMF,ngdp_rpch,CAN,2016,0.5,2016,1.45157478332902,1.46776119706518
IMF,ngdp_rpch,CAN,2016,1,2017,1.89505912755952,3.04737801390693
IMF,ngdp_rpch,CAN,2016,1.5,2017,1.91275925838221,3.04737801390693
IMF,ngdp_rpch,CAN,2017,0,2017,3.03606025718048,3.04737801390693
IMF,ngdp_rpch,CAN,2017,0.5,2017,1.94141401314771,3.04737801390693
IMF,ngdp_rpch,CAN,2017,1,2018,2.1188264891328,1.87856366208394
IMF,ngdp_rpch,CAN,2017,1.5,2018,1.95642230529316,1.87856366208394
IMF,ngdp_rpch,CAN,2018,0,2018,2.06554204971683,1.87856366208394
IMF,ngdp_rpch,CAN,2018,0.5,2018,2.0786740539996,1.87856366208394
IMF,ngdp_rpch,CAN,2018,1,2019,2.04565999532185,1.65604085094309
IMF,ngdp_rpch,CAN,2018,1.5,2019,2.03667889046051,1.65604085094309
IMF,ngdp_rpch,CAN,2019,0,2019,1.54505560419071,1.65604085094309
IMF,ngdp_rpch,CAN,2019,0.5,2019,1.457606572175,1.65604085094309
IMF,ngdp_rpch,CAN,2019,1,2020,1.76101422572315,-5.3129447501408
IMF,ngdp_rpch,CAN,2019,1.5,2020,1.93037623012187,-5.3129447501408
IMF,ngdp_rpch,CAN,2020,0,2020,-7.14135081765066,-5.3129447501408
IMF,ngdp_rpch,CAN,2020,0.5,2020,-6.22596874972667,-5.3129447501408
IMF,ngdp_rpch,CAN,2020,1,2021,5.17595611646564,4.5408872787436
IMF,ngdp_rpch,CAN,2020,1.5,2021,4.2457265395778,4.5408872787436
IMF,ngdp_rpch,CAN,2021,0,2021,5.68793426509993,4.5408872787436
IMF,ngdp_rpch,CAN,2021,0.5,2021,5.04502547833827,4.5408872787436
IMF,ngdp_rpch,CAN,2021,1,2022,4.88947114146221,3.43798171948653
IMF,ngdp_rpch,CAN,2021,1.5,2022,4.65267256418229,3.43798171948653
IMF,ngdp_rpch,CAN,2022,0,2022,3.29501512275558,3.43798171948653
IMF,ngdp_rpch,CAN,2022,0.5,2022,3.92305445233621,3.43798171948653
IMF,ngdp_rpch,CAN,2022,1,2023,1.45082202330669,
IMF,ngdp_rpch,CAN,2022,1.5,2023,2.75318108270368,
IMF,ngdp_rpch,CAN,2023,0,2023,1.292071110841,
IMF,ngdp_rpch,CAN,2023,0.5,2023,1.45308289446808,
IMF,ngdp_rpch,CAN,2023,1,2024,1.60791727038878,
IMF,ngdp_rpch,CAN,2023,1.5,2024,1.49820943353385,
IMF,ngdp_rpch,DEU,1990,0,1990,3.9298622416478,4.48993063080911
IMF,ngdp_rpch,DEU,1990,0.5,1990,3.52701933847146,4.48993063080911
IMF,ngdp_rpch,DEU,1990,1,1991,3.29707318786192,0.924631488773953
IMF,ngdp_rpch,DEU,1990,1.5,1991,2.68618005557959,0.924631488773953
IMF,ngdp_rpch,DEU,1991,0,1991,3.12663703615739,0.924631488773953
IMF,ngdp_rpch,DEU,1991,0.5,1991,2.77817129113007,0.924631488773953
IMF,ngdp_rpch,DEU,1991,1,1992,2.00999290237849,1.90344364459398
IMF,ngdp_rpch,DEU,1991,1.5,1992,1.92785327816358,1.90344364459398
IMF,ngdp_rpch,DEU,1992,0,1992,1.79817188704809,1.90344364459398
IMF,ngdp_rpch,DEU,1992,0.5,1992,2.07354785101397,1.90344364459398
IMF,ngdp_rpch,DEU,1992,1,1993,2.59550570287472,-1.12467145668594
IMF,ngdp_rpch,DEU,1992,1.5,1993,2.97976895769663,-1.12467145668594
IMF,ngdp_rpch,DEU,1993,0,1993,-1.60749482616158,-1.12467145668594
IMF,ngdp_rpch,DEU,1993,0.5,1993,-1.3416401177034,-1.12467145668594
IMF,ngdp_rpch,DEU,1993,1,1994,1.24004233276256,2.86199948675081
IMF,ngdp_rpch,DEU,1993,1.5,1994,1.66072886513768,2.86199948675081
IMF,ngdp_rpch,DEU,1994,0,1994,2.30541643365996,2.86199948675081
IMF,ngdp_rpch,DEU,1994,0.5,1994,0.948755325766415,2.86199948675081
IMF,ngdp_rpch,DEU,1994,1,1995,2.75053167621717,1.92839161598906
IMF,ngdp_rpch,DEU,1994,1.5,1995,2.14858339191668,1.92839161598906
IMF,ngdp_rpch,DEU,1995,0,1995,2.55999769453417,1.92839161598906
IMF,ngdp_rpch,DEU,1995,0.5,1995,3.15384447609504,1.92839161598906
IMF,ngdp_rpch,DEU,1995,1,1996,2.90000058606452,1.36221816711886
IMF,ngdp_rpch,DEU,1995,1.5,1996,3.27550379170258,1.36221816711886
IMF,ngdp_rpch,DEU,1996,0,1996,1.25482019075511,1.36221816711886
IMF,ngdp_rpch,DEU,1996,0.5,1996,0.95795390969462,1.36221816711886
IMF,ngdp_rpch,DEU,1996,1,1997,2.37504805912878,2.20127207993872
IMF,ngdp_rpch,DEU,1996,1.5,1997,2.93723270493584,2.20127207993872
IMF,ngdp_rpch,DEU,1997,0,1997,2.2998530735729,2.20127207993872
IMF,ngdp_rpch,DEU,1997,0.5,1997,2.25516092717801,2.20127207993872
IMF,ngdp_rpch,DEU,1997,1,1998,2.82208146555418,2.25322206010457
IMF,ngdp_rpch,DEU,1997,1.5,1998,3.03707159941835,2.25322206010457
IMF,ngdp_rpch,DEU,1998,0,1998,2.63363145454587,2.25322206010457
IMF,ngdp_rpch,DEU,1998,0.5,1998,2.52259876951935,2.25322206010457
IMF,ngdp_rpch,DEU,1998,1,1999,2.45808122524092,1.55709813529332
IMF,ngdp_rpch,DEU,1998,1.5,1999,2.80605648841625,1.55709813529332
IMF,ngdp_rpch,DEU,1999,0,1999,1.42380776893287,1.55709813529332
IMF,ngdp_rpch,DEU,1999,0.5,1999,1.45427126585005,1.55709813529332
IMF,ngdp_rpch,DEU,1999,1,2000,2.53523136727973,3.00444111509444
IMF,ngdp_rpch,DEU,1999,1.5,2000,2.83414555132702,3.00444111509444
IMF,ngdp_rpch,DEU,2000,0,2000,2.94192414779801,3.00444111509444
IMF,ngdp_rpch,DEU,2000,0.5,2000,2.79399892745518,3.00444111509444
IMF,ngdp_rpch,DEU,2000,1,2001,3.2864174170544,0.573749682660574
IMF,ngdp_rpch,DEU,2000,1.5,2001,3.26251552136179,0.573749682660574
IMF,ngdp_rpch,DEU,2001,0,2001,0.779008147601878,0.573749682660574
IMF,ngdp_rpch,DEU,2001,0.5,2001,1.85273829721593,0.573749682660574
IMF,ngdp_rpch,DEU,2001,1,2002,1.75673728996451,0.176215889638498
IMF,ngdp_rpch,DEU,2001,1.5,2002,2.58538080225019,0.176215889638498
IMF,ngdp_rpch,DEU,2002,0,2002,0.474123888953448,0.176215889638498
IMF,ngdp_rpch,DEU,2002,0.5,2002,0.904139950963323,0.176215889638498
IMF,ngdp_rpch,DEU,2002,1,2003,2.0005313520397,-0.120748641577773
IMF,ngdp_rpch,DEU,2002,1.5,2003,2.73933397940238,-0.120748641577773
IMF,ngdp_rpch,DEU,2003,0,2003,-0.034905514267991,-0.120748641577773
IMF,ngdp_rpch,DEU,2003,0.5,2003,0.491608410037792,-0.120748641577773
IMF,ngdp_rpch,DEU,2003,1,2004,1.52922050810262,1.6228195091647
IMF,ngdp_rpch,DEU,2003,1.5,2004,1.90200239527694,1.6228195091647
IMF,ngdp_rpch,DEU,2004,0,2004,2.0497905903637,1.6228195091647
IMF,ngdp_rpch,DEU,2004,0.5,2004,1.56739545320401,1.6228195091647
IMF,ngdp_rpch,DEU,2004,1,2005,1.79066500721941,0.868252117389146
IMF,ngdp_rpch,DEU,2004,1.5,2005,1.91172716968353,0.868252117389146
IMF,ngdp_rpch,DEU,2005,0,2005,0.775914518021748,0.868252117389146
IMF,ngdp_rpch,DEU,2005,0.5,2005,0.755359441789705,0.868252117389146
IMF,ngdp_rpch,DEU,2005,1,2006,1.2388094513629,2.88232419273136
IMF,ngdp_rpch,DEU,2005,1.5,2006,1.94818542954349,2.88232419273136
IMF,ngdp_rpch,DEU,2006,0,2006,2.04748575243188,2.88232419273136
IMF,ngdp_rpch,DEU,2006,0.5,2006,1.33655808964577,2.88232419273136
IMF,ngdp_rpch,DEU,2006,1,2007,1.29916937949561,2.51098101590874
IMF,ngdp_rpch,DEU,2006,1.5,2007,1.00428678112729,2.51098101590874
IMF,ngdp_rpch,DEU,2007,0,2007,2.43921892030108,2.51098101590874
IMF,ngdp_rpch,DEU,2007,0.5,2007,1.84956344630725,2.51098101590874
IMF,ngdp_rpch,DEU,2007,1,2008,1.97244316661334,1.24809163925261
IMF,ngdp_rpch,DEU,2007,1.5,2008,1.88089824317432,1.24809163925261
IMF,ngdp_rpch,DEU,2008,0,2008,1.84960260907374,1.24809163925261
IMF,ngdp_rpch,DEU,2008,0.5,2008,1.40545885635248,1.24809163925261
IMF,ngdp_rpch,DEU,2008,1,2009,-0.00219174828463009,-4.71952350280869
IMF,ngdp_rpch,DEU,2008,1.5,2009,1.0367724572897,-4.71952350280869
IMF,ngdp_rpch,DEU,2009,0,2009,-5.29685172394461,-4.71952350280869
IMF,ngdp_rpch,DEU,2009,0.5,2009,-5.61444659023915,-4.71952350280869
IMF,ngdp_rpch,DEU,2009,1,2010,0.335833646131656,3.56151291918356
IMF,ngdp_rpch,DEU,2009,1.5,2010,-0.999769320181421,3.56151291918356
IMF,ngdp_rpch,DEU,2010,0,2010,3.33204233433746,3.56151291918356
IMF,ngdp_rpch,DEU,2010,0.5,2010,1.20987222066893,3.56151291918356
IMF,ngdp_rpch,DEU,2010,1,2011,2.0215667320215,3.0957283032254
IMF,ngdp_rpch,DEU,2010,1.5,2011,1.74750212905104,3.0957283032254
IMF,ngdp_rpch,DEU,2011,0,2011,2.72510923889684,3.0957283032254
IMF,ngdp_rpch,DEU,2011,0.5,2011,2.5413057020744,3.0957283032254
IMF,ngdp_rpch,DEU,2011,1,2012,1.27312284758028,0.896139901804083
IMF,ngdp_rpch,DEU,2011,1.5,2012,2.0916174918745,0.896139901804083
IMF,ngdp_rpch,DEU,2012,0,2012,0.935684522555702,0.896139901804083
IMF,ngdp_rpch,DEU,2012,0.5,2012,0.614936186124959,0.896139901804083
IMF,ngdp_rpch,DEU,2012,1,2013,0.852178981728224,0.53285608431759
IMF,ngdp_rpch,DEU,2012,1.5,2013,1.47281307517952,0.53285608431759
IMF,ngdp_rpch,DEU,2013,0,2013,0.491259636239394,0.53285608431759
IMF,ngdp_rpch,DEU,2013,0.5,2013,0.61294272657586,0.53285608431759
IMF,ngdp_rpch,DEU,2013,1,2014,1.3996574792642,1.58040212206323
IMF,ngdp_rpch,DEU,2013,1.5,2014,1.45457174739532,1.58040212206323
IMF,ngdp_rpch,DEU,2014,0,2014,1.39289366623585,1.58040212206323
IMF,ngdp_rpch,DEU,2014,0.5,2014,1.70948819666095,1.58040212206323
IMF,ngdp_rpch,DEU,2014,1,2015,1.45132994602022,1.48278351944102
IMF,ngdp_rpch,DEU,2014,1.5,2015,1.55932373701779,1.48278351944102
IMF,ngdp_rpch,DEU,2015,0,2015,1.50945674862666,1.48278351944102
IMF,ngdp_rpch,DEU,2015,0.5,2015,1.62002067547302,1.48278351944102
IMF,ngdp_rpch,DEU,2015,1,2016,1.57302257568313,1.85513411319862
IMF,ngdp_rpch,DEU,2015,1.5,2016,1.66502095524868,1.85513411319862
IMF,ngdp_rpch,DEU,2016,0,2016,1.74585937492453,1.85513411319862
IMF,ngdp_rpch,DEU,2016,0.5,2016,1.45608010245648,1.85513411319862
IMF,ngdp_rpch,DEU,2016,1,2017,1.42509395327071,2.45594890842831
IMF,ngdp_rpch,DEU,2016,1.5,2017,1.62332526970737,2.45594890842831
IMF,ngdp_rpch,DEU,2017,0,2017,2.04986038745694,2.45594890842831
IMF,ngdp_rpch,DEU,2017,0.5,2017,1.63372413575797,2.45594890842831
IMF,ngdp_rpch,DEU,2017,1,2018,1.84345087490034,1.52236925015754
IMF,ngdp_rpch,DEU,2017,1.5,2018,1.53235090963908,1.52236925015754
IMF,ngdp_rpch,DEU,2018,0,2018,1.91137240672834,1.52236925015754
IMF,ngdp_rpch,DEU,2018,0.5,2018,2.54126807519195,1.52236925015754
IMF,ngdp_rpch,DEU,2018,1,2019,1.85823354197594,0.55529804105785
IMF,ngdp_rpch,DEU,2018,1.5,2019,2.01102017606332,0.55529804105785
IMF,ngdp_rpch,DEU,2019,0,2019,0.54391692559459,0.55529804105785
IMF,ngdp_rpch,DEU,2019,0.5,2019,0.75387079985465,0.55529804105785
IMF,ngdp_rpch,DEU,2019,1,2020,1.24727833599052,-4.56020537412051
IMF,ngdp_rpch,DEU,2019,1.5,2020,1.44001404689893,-4.56020537412051
IMF,ngdp_rpch,DEU,2020,0,2020,-5.98281869227805,-4.56020537412051
IMF,ngdp_rpch,DEU,2020,0.5,2020,-6.95177783792058,-4.56020537412051
IMF,ngdp_rpch,DEU,2020,1,2021,4.18441242929699,2.62464165025065
IMF,ngdp_rpch,DEU,2020,1.5,2021,5.15065761536562,2.62464165025065
IMF,ngdp_rpch,DEU,2021,0,2021,3.05078085154189,2.62464165025065
IMF,ngdp_rpch,DEU,2021,0.5,2021,3.60241609951233,2.62464165025065
IMF,ngdp_rpch,DEU,2021,1,2022,4.56042507566179,1.80426632512853
IMF,ngdp_rpch,DEU,2021,1.5,2022,3.42431541314663,1.80426632512853
IMF,ngdp_rpch,DEU,2022,0,2022,1.54742703090807,1.80426632512853
IMF,ngdp_rpch,DEU,2022,0.5,2022,2.10098840479525,1.80426632512853
IMF,ngdp_rpch,DEU,2022,1,2023,-0.293739256623304,
IMF,ngdp_rpch,DEU,2022,1.5,2023,2.72128255023698,
IMF,ngdp_rpch,DEU,2023,0,2023,-0.534962241051218,
IMF,ngdp_rpch,DEU,2023,0.5,2023,-0.109427991592403,
IMF,ngdp_rpch,DEU,2023,1,2024,0.914863934272847,
IMF,ngdp_rpch,DEU,2023,1.5,2024,1.09760688172036,
IMF,ngdp_rpch,FRA,1990,0,1990,3.12287294587343,2.8054494184852
IMF,ngdp_rpch,FRA,1990,0.5,1990,3.07071026497796,2.8054494184852
IMF,ngdp_rpch,FRA,1990,1,1991,3.02799783128087,1.16190634225937
IMF,ngdp_rpch,FRA,1990,1.5,1991,3.05325844215481,1.16190634225937
IMF,ngdp_rpch,FRA,1991,0,1991,1.32481125105002,1.16190634225937
IMF,ngdp_rpch,FRA,1991,0.5,1991,2.08817956486069,1.16190634225937
IMF,ngdp_rpch,FRA,1991,1,1992,2.37778485727183,1.38998489353384
IMF,ngdp_rpch,FRA,1991,1.5,1992,2.69210160032936,1.38998489353384
IMF,ngdp_rpch,FRA,1992,0,1992,2.20717158703756,1.38998489353384
IMF,ngdp_rpch,FRA,1992,0.5,1992,1.81998808952988,1.38998489353384
IMF,ngdp_rpch,FRA,1992,1,1993,2.69703226947131,-0.961594945929267
IMF,ngdp_rpch,FRA,1992,1.5,1993,2.58356208406152,-0.961594945929267
IMF,ngdp_rpch,FRA,1993,0,1993,-0.99054735236056,-0.961594945929267
IMF,ngdp_rpch,FRA,1993,0.5,1993,0.0454109689328686,-0.961594945929267
IMF,ngdp_rpch,FRA,1993,1,1994,1.14689032840367,2.87556935810707
IMF,ngdp_rpch,FRA,1993,1.5,1994,2.29575934648081,2.87556935810707
IMF,ngdp_rpch,FRA,1994,0,1994,1.93860387768499,2.87556935810707
IMF,ngdp_rpch,FRA,1994,0.5,1994,1.21051394217115,2.87556935810707
IMF,ngdp_rpch,FRA,1994,1,1995,3.04160301583378,2.21619119028149
IMF,ngdp_rpch,FRA,1994,1.5,1995,2.55077180338017,2.21619119028149
IMF,ngdp_rpch,FRA,1995,0,1995,2.87464343159187,2.21619119028149
IMF,ngdp_rpch,FRA,1995,0.5,1995,3.20300186868667,2.21619119028149
IMF,ngdp_rpch,FRA,1995,1,1996,2.65339899281452,1.51043759098
IMF,ngdp_rpch,FRA,1995,1.5,1996,3.03199734260287,1.51043759098
IMF,ngdp_rpch,FRA,1996,0,1996,1.25999741548357,1.51043759098
IMF,ngdp_rpch,FRA,1996,0.5,1996,1.26999738752909,1.51043759098
IMF,ngdp_rpch,FRA,1996,1,1997,2.4400030489343,2.31476831316211
IMF,ngdp_rpch,FRA,1996,1.5,1997,2.77000561930092,2.31476831316211
IMF,ngdp_rpch,FRA,1997,0,1997,2.1751359941858,2.31476831316211
IMF,ngdp_rpch,FRA,1997,0.5,1997,2.4000003086321,2.31476831316211
IMF,ngdp_rpch,FRA,1997,1,1998,2.77690862989246,3.20415563041638
IMF,ngdp_rpch,FRA,1997,1.5,1998,2.96000353640951,3.20415563041638
