model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0,0.441296370955314,0.112101501614425,0.0119948229293016,0.317200046411588,2.10809605725132,3.55568727597798,2.83189166661465,0.28,0.48,0.44,0.64,0.92,0.92
ar,ngdp_rpch,0.5,1.35201730967087,0.370298769142533,0.0627971445018608,0.918921396026481,6.08345767899599,11.8317019959275,8.95757983746175,0.48,0.72,0.24,0.48,0.96,0.96
ar,ngdp_rpch,1,2.74126167254313,0.611316393193267,0.136626520642186,1.99331875870767,12.206255276608,24.3095952593426,18.2579252679753,0.52,0.68,0.28,0.4,0.92,0.96
ar,ngdp_rpch,1.5,3.12291229745002,0.63799619328428,0.464110455690122,2.02080564847562,14.1519420783595,27.0783907531018,20.6151664157306,0.36,0.56,0.28,0.4,0.76,0.84
ar,pcpi_pch,0,0.3364691459103,0.0718676340530913,0.261430470385492,0.0031710414717164,1.51059927020097,2.95288474270357,2.23174200645227,0.44,0.64,0,0.12,0.56,0.64
ar,pcpi_pch,0.5,0.595202868903867,0.284105036419414,0.299964552779455,0.0111332797049987,2.8184621428734,4.85790202089385,3.83818208188362,0.52,0.84,0,0.16,0.68,0.84
ar,pcpi_pch,1,1.23118795738074,0.616873588395939,0.534671834839467,0.0796425341453368,6.18537202468293,9.16032908590755,7.67285055529524,0.36,0.64,0.04,0.32,0.68,0.68
ar,pcpi_pch,1.5,1.36123189923686,0.798022017223245,0.481798972884906,0.0814109091287072,6.98986854004434,9.74996663462631,8.36991758733532,0.36,0.84,0,0.28,0.64,0.84
ar_annual,ngdp_rpch,0,3.63950317369015,0.590370481072204,1.27063962749385,1.7784930651241,16.2966596444596,32.0484143626541,24.1725370035568,0.36,0.4,0.28,0.32,0.68,0.68
ar_annual,ngdp_rpch,0.5,3.64884989991376,0.59171143682512,1.27993823055918,1.77720023252945,16.3386292942023,32.1304247627694,24.2345270284858,0.36,0.4,0.28,0.32,0.68,0.68
ar_annual,ngdp_rpch,1,3.15684190410562,0.55631146825432,0.827363492398787,1.77316694345251,14.2720120448342,27.4568079700269,20.8644100074305,0.28,0.44,0.28,0.32,0.6,0.72
ar_annual,ngdp_rpch,1.5,3.15784037450565,0.557831546439082,0.828118988469483,1.77188983959708,14.2784885116983,27.4605862108673,20.8695373612828,0.28,0.44,0.28,0.32,0.6,0.72
ar_annual,pcpi_pch,0,1.77523609422472,0.285607729451013,1.40701670319159,0.082611661582123,8.13552220567802,15.1659163702994,11.6507192879887,0.12,0.32,0.16,0.32,0.44,0.48
ar_annual,pcpi_pch,0.5,1.77523611715124,0.285607752377529,1.40701670319159,0.082611661582123,8.13552230988872,15.165916568303,11.6507194390958,0.12,0.32,0.16,0.32,0.44,0.48
ar_annual,pcpi_pch,1,2.39106615783604,0.285191288067693,1.99989401694906,0.105980852819294,10.6937614756102,21.0869194676954,15.8903404716528,0.08,0.24,0.16,0.24,0.32,0.4
ar_annual,pcpi_pch,1.5,2.39106582572136,0.285190955953006,1.99989401694906,0.105980852819294,10.6937599660087,21.0869165994054,15.8903382827071,0.08,0.24,0.16,0.24,0.32,0.4
ar_bic,ngdp_rpch,0,0.432699106043182,0.112124521823623,0.016079375500926,0.304495208718633,2.0724226246443,3.47292555925289,2.7726740919486,0.28,0.52,0.4,0.6,0.88,0.92
ar_bic,ngdp_rpch,0.5,1.23046402340954,0.367610924507042,0.0627971445018608,0.80005595440064,5.58660106281095,10.6427778111635,8.11468943698722,0.48,0.72,0.24,0.48,0.96,0.96
ar_bic,ngdp_rpch,1,2.68812726757114,0.611861134176118,0.136626520642186,1.93963961275284,11.9962433178901,23.7719370566975,17.8840901872938,0.52,0.68,0.28,0.4,0.92,0.96
ar_bic,ngdp_rpch,1.5,3.21621782031183,0.656131512052771,0.642233776337797,1.91785253192126,14.6092475633141,27.8012374979515,21.2052425306328,0.36,0.56,0.28,0.4,0.76,0.84
ar_bic,pcpi_pch,0,0.338652509468966,0.0597380922882947,0.274926599589675,0.00398781759099638,1.5140070937282,2.98803245505883,2.25101977439352,0.36,0.52,0.04,0.12,0.48,0.56
