model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,CAN,ngdp_rpch,0,0.34874443358884,0.0933607645187092,0,0.255383669070131,1.73316511039827,2.64197589578114,2.1875705030897,0.25,0.25,0.75,0.75,1,1
ar,CAN,ngdp_rpch,0.5,1.18968484434709,0.334603681775445,0,0.855081162571647,5.45873826792481,10.1468512171298,7.80279474252732,0.25,0.75,0.25,0.75,1,1
ar,CAN,ngdp_rpch,1,2.19256975294648,0.570368424693094,0,1.62220132825338,9.76933388141097,19.4280603554021,14.5986971184065,0.5,0.75,0.25,0.5,1,1
ar,CAN,ngdp_rpch,1.5,2.35262367215245,0.60974595271322,0.105944472105655,1.63693324733358,10.9367916466513,19.7104943264207,15.323642986536,0.25,0.75,0.25,0.5,0.75,1
ar,DEU,ngdp_rpch,0,0.340435553074867,0.10100167641513,0,0.239433876659737,1.75082171675991,2.43165676959756,2.09123924317874,0,0.5,0.5,1,1,1
ar,DEU,ngdp_rpch,0.5,1.06440127306503,0.350923066275702,0,0.71347820678933,4.97396350385687,8.85311670165849,6.91354010275768,0.25,0.75,0.25,0.75,1,1
ar,DEU,ngdp_rpch,1,1.86094681238912,0.578752610472276,0,1.28219420191684,8.7893279585334,15.2456163514488,12.0174721549911,0.5,0.75,0.25,0.5,1,1
ar,DEU,ngdp_rpch,1.5,2.01348717597954,0.605312944883389,0,1.40817423109615,9.55450175091792,16.383489142296,12.968995446607,0.5,0.75,0.25,0.5,1,1
ar,FRA,ngdp_rpch,0,0.149538936172688,0.13622996783963,0,0.0133089683330575,0.725694483171542,1.1765425155249,0.951118499348221,0.75,1,0,0.25,1,1
ar,FRA,ngdp_rpch,0.5,1.22239410029499,0.385435507835951,0,0.836958592459036,5.39852601975254,10.9515669565184,8.17504648813547,0.75,0.75,0.25,0.25,1,1
ar,FRA,ngdp_rpch,1,2.94954672889525,0.586567733038225,0.103647938313177,2.25933105754384,12.9746414019511,26.5543310730271,19.7644862374891,0.5,0.75,0.25,0.25,0.75,1
