"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.699204096,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.17332376,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.388705978,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.369593298,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.728291107,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.958252353,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.916572188,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.569945849,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.936863192,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.702947356,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.472523381,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.107512331,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.05564305,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.453077997,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.913070246,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.673361675,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.414471821,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.888052685,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.267512978,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.251460595,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.187844414,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.81026929,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.754399387,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.833143218,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.859388996,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.598469768,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.569831902,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.842905706,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.213388624,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.427680714,
