model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.634873574184189,0.345101932493666,0.0623846664692921,0.227386975221231,0.0119897959183673,,,0.543367346938776,0.780612244897959
IMF,absolute,expanding window,pcpi_pch,0.328994874755179,0.172885111748643,0.100236908623549,0.0558728543829874,-0.0581632653061225,,,0.431122448979592,0.752551020408163
IMF,absolute,leave-one-out,ngdp_rpch,0.642583332324513,0.339887421332146,0.055992899786738,0.246703011205629,-0.0166666666666667,,,0.495238095238095,0.771428571428571
IMF,absolute,leave-one-out,pcpi_pch,0.320635613827348,0.18181575293035,0.0758495478216763,0.0629703130753217,-0.0142857142857143,,,0.496825396825397,0.774603174603175
IMF,absolute,rolling window,ngdp_rpch,0.64067946333303,0.316893405765325,0.0669574505757108,0.256828606991994,-0.0364795918367347,,,0.5,0.727040816326531
IMF,absolute,rolling window,pcpi_pch,0.331051759809609,0.170712235476676,0.0992412776701171,0.0610982466628165,-0.0607142857142857,,,0.454081632653061,0.724489795918367
IMF,directional,expanding window,ngdp_rpch,0.63300751351377,0.291464306476387,0.164870471778426,0.176672735258957,-0.0696428571428572,,,0.451530612244898,0.709183673469388
IMF,directional,expanding window,pcpi_pch,0.350182106274041,0.147411722578743,0.142843039340829,0.0599273443544684,-0.125765306122449,,,0.380102040816327,0.668367346938776
IMF,directional,leave-one-out,ngdp_rpch,0.620384425947478,0.303344695549765,0.129023827997648,0.188015902400065,-0.0563492063492064,,,0.458730158730159,0.728571428571429
IMF,directional,leave-one-out,pcpi_pch,0.326269955234244,0.165804096274357,0.0723388841330485,0.0881269748268392,-0.0595238095238096,,,0.452380952380952,0.728571428571429
IMF,directional,rolling window,ngdp_rpch,0.681114639943776,0.258205986116555,0.1881677076133,0.234740946213921,-0.158928571428571,,,0.362244897959184,0.619897959183674
IMF,directional,rolling window,pcpi_pch,0.355883464442932,0.129151182975375,0.138549237815555,0.0881830436520028,-0.170408163265306,,,0.346938775510204,0.612244897959184
ar,absolute,expanding window,ngdp_rpch,0.804747616344276,0.434557308213236,0.0145900345874242,0.355600273543616,-0.0275510204081633,,,0.487244897959184,0.75765306122449
