model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,symmetric,expanding window,ngdp_rpch,0.63774222811031,0.291464306476387,0.0763331380579815,0.269944783575942,-0.0466836734693878,,,0.466836734693878,0.739795918367347
IMF,symmetric,expanding window,pcpi_pch,0.335543564976869,0.147411722578743,0.122788139554949,0.0653437028431773,-0.100255102040816,,,0.39030612244898,0.709183673469388
IMF,symmetric,leave-one-out,ngdp_rpch,0.646130832568004,0.303344695549765,0.0648569449994825,0.277929192018757,-0.0468253968253969,,,0.46984126984127,0.736507936507937
IMF,symmetric,leave-one-out,pcpi_pch,0.321468222718965,0.165804096274357,0.0870469463246741,0.0686171801199341,-0.0396825396825397,,,0.466666666666667,0.753968253968254
IMF,symmetric,rolling window,ngdp_rpch,0.642608262899624,0.258205986116555,0.0849059559208751,0.299496320862194,-0.104081632653061,,,0.415816326530612,0.676020408163265
IMF,symmetric,rolling window,pcpi_pch,0.34817142071644,0.129151182975375,0.140347342372554,0.0786728953685113,-0.148724489795918,,,0.364795918367347,0.637755102040816
ar,symmetric,expanding window,ngdp_rpch,0.888433432252971,0.26188162350667,0.0193602397885273,0.607191568957775,-0.186989795918367,,,0.341836734693878,0.584183673469388
ar,symmetric,expanding window,pcpi_pch,0.702711415286932,0.152651220797878,0.0287134833516935,0.521346711137361,-0.217602040816327,,,0.295918367346939,0.568877551020408
ar,symmetric,leave-one-out,ngdp_rpch,0.884086071941304,0.28786069128561,0.0139019107471757,0.582323469908518,-0.155555555555556,,,0.382539682539683,0.606349206349206
ar,symmetric,leave-one-out,pcpi_pch,0.730468377057015,0.165708049112695,0.0330212962257013,0.531739031718619,-0.238095238095238,,,0.290476190476191,0.533333333333333
ar,symmetric,rolling window,ngdp_rpch,0.911840395316714,0.232504071236216,0.0246009812878012,0.654735342792697,-0.249489795918367,,,0.288265306122449,0.512755102040816
ar,symmetric,rolling window,pcpi_pch,0.728306422993156,0.13288594720691,0.031589669369044,0.563830806417202,-0.262244897959184,,,0.270408163265306,0.505102040816326
bvar,symmetric,expanding window,ngdp_rpch,0.720049245579612,0.271814608565429,0.0330093826446236,0.41522525436956,-0.100255102040816,,,0.423469387755102,0.676020408163265
bvar,symmetric,expanding window,pcpi_pch,0.460827662665987,0.167817678693116,0.064433656619814,0.228576327353057,-0.151275510204082,,,0.392857142857143,0.604591836734694
bvar,symmetric,leave-one-out,ngdp_rpch,0.732999168072721,0.295978956493952,0.0246194336801474,0.412400777898622,-0.080952380952381,,,0.455555555555556,0.682539682539683
bvar,symmetric,leave-one-out,pcpi_pch,0.520917919082765,0.187372859421752,0.0542043673606042,0.279340692300409,-0.149206349206349,,,0.377777777777778,0.623809523809524
bvar,symmetric,rolling window,ngdp_rpch,0.740932397650051,0.236884835019335,0.0379592660101852,0.466088296620531,-0.147448979591837,,,0.392857142857143,0.612244897959184
bvar,symmetric,rolling window,pcpi_pch,0.486219541162198,0.141967563321191,0.0762772874879642,0.267974690353043,-0.199744897959184,,,0.339285714285714,0.561224489795918
