country,target,target_year,imf_pp,horizon,true_value,error,quantile,prediction,error_prediction,source,error_method,method
DEU,ngdp_rpch,2013,0.615060492635625,0,0.5526818655,0.062378627135625,0.1,0.378034073799875,-0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2013,0.615060492635625,0,0.5526818655,0.062378627135625,0.25,0.47185520929561,-0.143205283340015,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2013,0.615060492635625,0,0.5526818655,0.062378627135625,0.75,0.75826577597564,0.143205283340015,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2013,0.615060492635625,0,0.5526818655,0.062378627135625,0.9,0.852086911471375,0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2014,2.1046206326402,0,2.19183070975,-0.0872100771098001,0.1,1.86759421380445,-0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2014,2.1046206326402,0,2.19183070975,-0.0872100771098001,0.25,2.01266068951549,-0.09195994312471,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2014,2.1046206326402,0,2.19183070975,-0.0872100771098001,0.75,2.19658057576491,0.09195994312471,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2014,2.1046206326402,0,2.19183070975,-0.0872100771098001,0.9,2.34164705147595,0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2015,1.2291239812482,0,1.2404438215,-0.0113198402518,0.1,0.99209756241245,-0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2015,1.2291239812482,0,1.2404438215,-0.0113198402518,0.25,1.13716403812349,-0.09195994312471,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2015,1.2291239812482,0,1.2404438215,-0.0113198402518,0.75,1.32108392437291,0.09195994312471,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2015,1.2291239812482,0,1.2404438215,-0.0113198402518,0.9,1.46615040008395,0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2016,2.1438663172621,0,2.12681014925,0.0170561680121004,0.1,1.90683989842635,-0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2016,2.1438663172621,0,2.12681014925,0.0170561680121004,0.25,2.0566562401523,-0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2016,2.1438663172621,0,2.12681014925,0.0170561680121004,0.75,2.2310763943719,0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2016,2.1438663172621,0,2.12681014925,0.0170561680121004,0.9,2.38089273609785,0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2017,2.84450216621905,0,2.9499984485,-0.10549628228095,0.1,2.6074757473833,-0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2017,2.84450216621905,0,2.9499984485,-0.10549628228095,0.25,2.75729208910925,-0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2017,2.84450216621905,0,2.9499984485,-0.10549628228095,0.75,2.93171224332885,0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2017,2.84450216621905,0,2.9499984485,-0.10549628228095,0.9,3.0815285850548,0.23702641883575,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2018,0.899307001459301,0,1.0148379955,-0.115530994040699,0.1,0.692816347093711,-0.20649065436559,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2018,0.899307001459301,0,1.0148379955,-0.115530994040699,0.25,0.812096924349501,-0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2018,0.899307001459301,0,1.0148379955,-0.115530994040699,0.75,0.986517078569101,0.0872100771098001,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2018,0.899307001459301,0,1.0148379955,-0.115530994040699,0.9,1.10579765582489,0.20649065436559,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2019,1.1453673024789,0,1.107481086,0.0378862164789,0.1,0.93887664811331,-0.20649065436559,bvar_mix,absolute,rolling window
DEU,ngdp_rpch,2019,1.1453673024789,0,1.107481086,0.0378862164789,0.25,1.05340735935419,-0.09195994312471,bvar_mix,absolute,rolling window
