source,target,error_method,method
IMF,ngdp_rpch,absolute,rolling window
IMF,ngdp_rpch,directional,rolling window
IMF,pcpi_pch,absolute,rolling window
IMF,pcpi_pch,directional,rolling window
ar,ngdp_rpch,absolute,rolling window
ar,ngdp_rpch,directional,rolling window
ar,pcpi_pch,absolute,rolling window
ar,pcpi_pch,directional,rolling window
bvar,ngdp_rpch,absolute,rolling window
bvar,ngdp_rpch,directional,rolling window
bvar,pcpi_pch,absolute,rolling window
bvar,pcpi_pch,directional,rolling window
