country,target,target_year,prediction,forecast_year,forecast_season,horizon,tv_0.5,tv_1,tv_1.5,tv_2
CAN,ngdp_rpch,2025,1.376,2025,S,0.5,,,,
CAN,pcpi_pch,2025,1.982,2025,S,0.5,,,,
FRA,ngdp_rpch,2025,0.641,2025,S,0.5,,,,
FRA,pcpi_pch,2025,1.299,2025,S,0.5,,,,
DEU,ngdp_rpch,2025,-0.05,2025,S,0.5,,,,
DEU,pcpi_pch,2025,2.086,2025,S,0.5,,,,
ITA,ngdp_rpch,2025,0.44,2025,S,0.5,,,,
ITA,pcpi_pch,2025,1.707,2025,S,0.5,,,,
JPN,ngdp_rpch,2025,0.554,2025,S,0.5,,,,
JPN,pcpi_pch,2025,2.363,2025,S,0.5,,,,
GBR,ngdp_rpch,2025,1.077,2025,S,0.5,,,,
GBR,pcpi_pch,2025,3.125,2025,S,0.5,,,,
USA,ngdp_rpch,2025,1.826,2025,S,0.5,,,,
USA,pcpi_pch,2025,2.988,2025,S,0.5,,,,
CAN,ngdp_rpch,2026,1.558,2025,S,1.5,,,,
CAN,pcpi_pch,2026,2.127,2025,S,1.5,,,,
FRA,ngdp_rpch,2026,1.015,2025,S,1.5,,,,
FRA,pcpi_pch,2026,1.641,2025,S,1.5,,,,
DEU,ngdp_rpch,2026,0.922,2025,S,1.5,,,,
DEU,pcpi_pch,2026,1.946,2025,S,1.5,,,,
ITA,ngdp_rpch,2026,0.835,2025,S,1.5,,,,
ITA,pcpi_pch,2026,1.959,2025,S,1.5,,,,
JPN,ngdp_rpch,2026,0.579,2025,S,1.5,,,,
JPN,pcpi_pch,2026,1.714,2025,S,1.5,,,,
GBR,ngdp_rpch,2026,1.407,2025,S,1.5,,,,
GBR,pcpi_pch,2026,2.248,2025,S,1.5,,,,
USA,ngdp_rpch,2026,1.744,2025,S,1.5,,,,
USA,pcpi_pch,2026,2.466,2025,S,1.5,,,,
