country,target,target_year,forecast_year,forecast_season,prediction,horizon,tv_0.5,tv_1,tv_1.5,tv_2
CAN,ngdp_rpch,2026,2026,S,1.499992,0.5,,,,
CAN,ngdp_rpch,2027,2026,S,1.895884,1.5,,,,
DEU,ngdp_rpch,2026,2026,S,0.790622,0.5,,,,
DEU,ngdp_rpch,2027,2026,S,1.18283,1.5,,,,
FRA,ngdp_rpch,2026,2026,S,0.858141,0.5,,,,
FRA,ngdp_rpch,2027,2026,S,0.876108,1.5,,,,
GBR,ngdp_rpch,2026,2026,S,0.79678,0.5,,,,
GBR,ngdp_rpch,2027,2026,S,1.296787,1.5,,,,
ITA,ngdp_rpch,2026,2026,S,0.520816,0.5,,,,
ITA,ngdp_rpch,2027,2026,S,0.499864,1.5,,,,
JPN,ngdp_rpch,2026,2026,S,0.718768,0.5,,,,
JPN,ngdp_rpch,2027,2026,S,0.62325,1.5,,,,
USA,ngdp_rpch,2026,2026,S,2.323695,0.5,,,,
USA,ngdp_rpch,2027,2026,S,2.1,1.5,,,,
CAN,pcpi_pch,2026,2026,S,2.536798,0.5,,,,
CAN,pcpi_pch,2027,2026,S,2.094766,1.5,,,,
DEU,pcpi_pch,2026,2026,S,2.651394,0.5,,,,
DEU,pcpi_pch,2027,2026,S,2.29521,1.5,,,,
FRA,pcpi_pch,2026,2026,S,1.843886,0.5,,,,
FRA,pcpi_pch,2027,2026,S,1.721117,1.5,,,,
GBR,pcpi_pch,2026,2026,S,3.202959,0.5,,,,
GBR,pcpi_pch,2027,2026,S,2.417978,1.5,,,,
ITA,pcpi_pch,2026,2026,S,2.636585,0.5,,,,
ITA,pcpi_pch,2027,2026,S,2.356958,1.5,,,,
JPN,pcpi_pch,2026,2026,S,2.243277,0.5,,,,
JPN,pcpi_pch,2027,2026,S,2.340127,1.5,,,,
USA,pcpi_pch,2026,2026,S,3.22791,0.5,,,,
USA,pcpi_pch,2027,2026,S,2.141324,1.5,,,,
