country,target,target_year,true_value
CAN,gdp_growth,2018,1.879
CAN,gdp_growth,2019,1.656
CAN,gdp_growth,2020,-5.313
CAN,gdp_growth,2021,4.541
CAN,gdp_growth,2022,3.438
CAN,gdp_growth,2023,1.249
CAN,gdp_growth,2024,1.555
DEU,gdp_growth,2018,1.522
DEU,gdp_growth,2019,0.555
DEU,gdp_growth,2020,-4.56
DEU,gdp_growth,2021,2.625
DEU,gdp_growth,2022,1.804
DEU,gdp_growth,2023,-0.264
DEU,gdp_growth,2024,-0.496
FRA,gdp_growth,2018,1.725
FRA,gdp_growth,2019,1.509
FRA,gdp_growth,2020,-7.988
FRA,gdp_growth,2021,6.766
FRA,gdp_growth,2022,2.522
FRA,gdp_growth,2023,1.12
FRA,gdp_growth,2024,1.101
GBR,gdp_growth,2018,1.398
GBR,gdp_growth,2019,1.463
GBR,gdp_growth,2020,-9.847
GBR,gdp_growth,2021,7.441
GBR,gdp_growth,2022,4.102
GBR,gdp_growth,2023,0.34
GBR,gdp_growth,2024,1.102
ITA,gdp_growth,2018,0.858
ITA,gdp_growth,2019,0.301
ITA,gdp_growth,2020,-8.871
ITA,gdp_growth,2021,6.644
ITA,gdp_growth,2022,3.722
ITA,gdp_growth,2023,0.698
ITA,gdp_growth,2024,0.726
JPN,gdp_growth,2018,0.814
JPN,gdp_growth,2019,0.671
JPN,gdp_growth,2020,-4.586
JPN,gdp_growth,2021,1.657
JPN,gdp_growth,2022,1.047
JPN,gdp_growth,2023,1.679
JPN,gdp_growth,2024,0.104
USA,gdp_growth,2018,2.927
USA,gdp_growth,2019,2.161
USA,gdp_growth,2020,-3.405
USA,gdp_growth,2021,5.671
USA,gdp_growth,2022,2.062
USA,gdp_growth,2023,2.887
USA,gdp_growth,2024,2.793
CAN,inflation,2018,2.243
CAN,inflation,2019,1.949
CAN,inflation,2020,0.717
CAN,inflation,2021,3.395
CAN,inflation,2022,6.797
CAN,inflation,2023,3.879
CAN,inflation,2024,2.398
DEU,inflation,2018,1.927
DEU,inflation,2019,1.346
DEU,inflation,2020,0.371
DEU,inflation,2021,3.212
DEU,inflation,2022,8.666
DEU,inflation,2023,6.03
DEU,inflation,2024,2.489
FRA,inflation,2018,2.102
FRA,inflation,2019,1.3
FRA,inflation,2020,0.525
FRA,inflation,2021,2.064
FRA,inflation,2022,5.904
FRA,inflation,2023,5.662
FRA,inflation,2024,2.53
GBR,inflation,2018,2.478
GBR,inflation,2019,1.791
GBR,inflation,2020,0.851
GBR,inflation,2021,2.588
GBR,inflation,2022,9.067
GBR,inflation,2023,7.305
GBR,inflation,2024,2.317
ITA,inflation,2018,1.243
ITA,inflation,2019,0.634
ITA,inflation,2020,-0.145
ITA,inflation,2021,1.941
ITA,inflation,2022,8.736
ITA,inflation,2023,5.903
ITA,inflation,2024,1.089
JPN,inflation,2018,0.979
JPN,inflation,2019,0.477
JPN,inflation,2020,-0.027
JPN,inflation,2021,-0.235
JPN,inflation,2022,2.497
JPN,inflation,2023,3.269
JPN,inflation,2024,2.739
USA,inflation,2018,2.435
USA,inflation,2019,1.812
USA,inflation,2020,1.248
USA,inflation,2021,4.685
USA,inflation,2022,7.986
USA,inflation,2023,4.128
USA,inflation,2024,2.952
