country,target,target_year,prediction
CAN,gdp_growth,2025,1.153
CAN,gdp_growth,2026,1.541
DEU,gdp_growth,2025,0.191
DEU,gdp_growth,2026,0.944
FRA,gdp_growth,2025,1.308
FRA,gdp_growth,2026,1.264
GBR,gdp_growth,2025,0.671
GBR,gdp_growth,2026,0.911
ITA,gdp_growth,2025,0.546
ITA,gdp_growth,2026,0.759
JPN,gdp_growth,2025,1.076
JPN,gdp_growth,2026,0.633
USA,gdp_growth,2025,2.017
USA,gdp_growth,2026,2.102
CAN,inflation,2025,1.963
CAN,inflation,2026,2.03
DEU,inflation,2025,2.114
DEU,inflation,2026,1.756
FRA,inflation,2025,3.402
FRA,inflation,2026,2.546
GBR,inflation,2025,1.143
GBR,inflation,2026,1.526
ITA,inflation,2025,1.657
ITA,inflation,2026,2.014
JPN,inflation,2025,3.287
JPN,inflation,2026,2.144
USA,inflation,2025,2.715
USA,inflation,2026,2.435
