country,target,target_year,prediction
CAN,gdp_growth,2025,1.376
CAN,gdp_growth,2026,1.558
DEU,gdp_growth,2025,-0.05
DEU,gdp_growth,2026,0.922
FRA,gdp_growth,2025,0.641
FRA,gdp_growth,2026,1.015
GBR,gdp_growth,2025,1.077
GBR,gdp_growth,2026,1.407
ITA,gdp_growth,2025,0.44
ITA,gdp_growth,2026,0.835
JPN,gdp_growth,2025,0.554
JPN,gdp_growth,2026,0.579
USA,gdp_growth,2025,1.826
USA,gdp_growth,2026,1.744
CAN,inflation,2025,1.982
CAN,inflation,2026,2.127
DEU,inflation,2025,2.086
DEU,inflation,2026,1.946
FRA,inflation,2025,1.299
FRA,inflation,2026,1.641
GBR,inflation,2025,3.125
GBR,inflation,2026,2.248
ITA,inflation,2025,1.707
ITA,inflation,2026,1.959
JPN,inflation,2025,2.363
JPN,inflation,2026,1.714
USA,inflation,2025,2.988
USA,inflation,2026,2.466
