model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.116114828131119,0.0696343242866088,0.0128123810018175,0.0336681228426927,-0.0666666666666667,,,0.333333333333333,0.833333333333333
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.286116806900594,0.248689179146018,0.00266379638469501,0.0347638313698802,0.1,,,0.583333333333333,0.916666666666667
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.729867966423728,0.410796017944289,0.0252420641820425,0.293829884297397,0.0583333333333333,,,0.583333333333333,0.833333333333333
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,0.975059688487648,0.358078657254839,0.114932620274147,0.502048410958662,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,CAN,pcpi_pch,0,0.143914191242547,0.082232553698362,0.0190028054925666,0.0426788320516188,0.0166666666666666,,,0.583333333333333,0.75
IMF,absolute,rolling window,CAN,pcpi_pch,0.5,0.300707787397353,0.153813619247806,0.12476895707247,0.0221252110770767,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,CAN,pcpi_pch,1,0.346641064835622,0.165090981732787,0.0546524464534687,0.126897636649367,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,absolute,rolling window,CAN,pcpi_pch,1.5,0.429995504778183,0.184833472550098,0.139479435511346,0.105682596716739,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.219562890205426,0.101995460302512,0.0644647446941033,0.0531026852088106,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.540644815618727,0.208985579235968,0.247121191622879,0.0845380447598804,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.14010830313626,0.458936889262485,0.193356718105601,0.48781469576817,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.45066827765566,0.522136772673246,0.267204402205352,0.661327102777058,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,absolute,rolling window,DEU,pcpi_pch,0,0.0874470408130066,0.0680954367251391,0.0131566451865337,0.00619495890133376,0.1,,,0.583333333333333,0.916666666666667
IMF,absolute,rolling window,DEU,pcpi_pch,0.5,0.173980598684873,0.128168644431367,0.0455748867914041,0.000237067462102086,0.1,,,0.583333333333333,0.916666666666667
IMF,absolute,rolling window,DEU,pcpi_pch,1,0.42414178827549,0.255499212977986,0.12338377947169,0.0452587958258134,-0.108333333333333,,,0.5,0.583333333333333
IMF,absolute,rolling window,DEU,pcpi_pch,1.5,0.50190728843599,0.333674020683513,0.126936292066698,0.0412969756857785,-0.15,,,0.416666666666667,0.583333333333333
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.166319971492762,0.10142264702111,0.00364683189681209,0.0612504925748395,0.0583333333333333,,,0.583333333333333,0.833333333333333
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.283242797940856,0.155443177284976,0.00476380556966375,0.123035815086216,-0.025,,,0.5,0.75
IMF,absolute,rolling window,FRA,ngdp_rpch,1,0.689714618192021,0.314714881364782,0,0.374999736827238,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,0.933442615681012,0.35330467685416,0,0.580137938826852,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,FRA,pcpi_pch,0,0.0919384932370611,0.0533558915488554,0.0195395229743233,0.0190430787138824,-0.025,,,0.5,0.75
IMF,absolute,rolling window,FRA,pcpi_pch,0.5,0.190859586230312,0.126430357157304,0.0595496843780916,0.00487954469491617,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,FRA,pcpi_pch,1,0.41181315251989,0.2517612219023,0.0973695422930721,0.0626823883245178,-0.108333333333333,,,0.5,0.583333333333333
IMF,absolute,rolling window,FRA,pcpi_pch,1.5,0.413606274215033,0.269160694999718,0.0665626610990204,0.0778829181162939,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.188505802783992,0.0727562198839957,0.0637385987806535,0.0520109841193431,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,absolute,rolling window,GBR,ngdp_rpch,0.5,0.3054034412378,0.14946610220559,0.011275664561865,0.144661674470345,-0.15,,,0.333333333333333,0.666666666666667
IMF,absolute,rolling window,GBR,ngdp_rpch,1,0.74575426474757,0.237956228879275,0.0117807502498229,0.496017285618473,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,GBR,ngdp_rpch,1.5,1.0881343951818,0.237294486015976,0.0904839283709416,0.760355980794881,-0.275,,,0.25,0.5
IMF,absolute,rolling window,GBR,pcpi_pch,0,0.19801056468949,0.0562135354973118,0.0256928383194004,0.116104190872778,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,GBR,pcpi_pch,0.5,0.330581695712275,0.119304518416302,0.0957153218858879,0.115561855410085,-0.15,,,0.25,0.75
IMF,absolute,rolling window,GBR,pcpi_pch,1,0.579616134011604,0.170741118983343,0.264515717349534,0.144359297678727,-0.233333333333333,,,0.333333333333333,0.5
IMF,absolute,rolling window,GBR,pcpi_pch,1.5,0.737347394560161,0.155285851993524,0.414918438957507,0.16714310360913,-0.233333333333333,,,0.333333333333333,0.5
IMF,absolute,rolling window,ITA,ngdp_rpch,0,0.177037877062122,0.0885364490586105,0.0171511740557933,0.0713502539477186,0.0166666666666666,,,0.583333333333333,0.75
IMF,absolute,rolling window,ITA,ngdp_rpch,0.5,0.395583913592101,0.23197262545239,0.0173748821518963,0.146236405987814,-0.025,,,0.5,0.75
IMF,absolute,rolling window,ITA,ngdp_rpch,1,1.10700998258435,0.452344252301715,0,0.654665730282635,-0.191666666666667,,,0.416666666666667,0.5
IMF,absolute,rolling window,ITA,ngdp_rpch,1.5,1.3137237855016,0.541432750987699,0,0.772291034513906,-0.15,,,0.5,0.5
IMF,absolute,rolling window,ITA,pcpi_pch,0,0.0797022538612096,0.0451836533065705,0.0345186005546391,0,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,ITA,pcpi_pch,0.5,0.277465455924742,0.143938614100153,0.133526841824588,0,-0.025,,,0.5,0.75
IMF,absolute,rolling window,ITA,pcpi_pch,1,0.548142604181556,0.27142327212482,0.235257313372925,0.0414620186838114,-0.15,,,0.333333333333333,0.666666666666667
IMF,absolute,rolling window,ITA,pcpi_pch,1.5,0.500152737277947,0.358066780229129,0.12243334622452,0.0196526108242984,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,JPN,ngdp_rpch,0,0.435717223245665,0.197175678489417,0.0775411613880759,0.161000383368172,-0.025,,,0.5,0.75
IMF,absolute,rolling window,JPN,ngdp_rpch,0.5,0.711940405742192,0.453897844672623,0.126019057150027,0.132023503919542,-0.15,,,0.416666666666667,0.583333333333333
IMF,absolute,rolling window,JPN,ngdp_rpch,1,1.17875775333303,0.452875568352121,0.120499778786231,0.605382406194681,-0.025,,,0.583333333333333,0.666666666666667
IMF,absolute,rolling window,JPN,ngdp_rpch,1.5,1.3743847646085,0.59473720042156,0.195487623847417,0.584159940339526,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,JPN,pcpi_pch,0,0.081131905518935,0.0540176394005253,0.0123138984676224,0.0148003676507873,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,JPN,pcpi_pch,0.5,0.20893603222228,0.128125052861791,0.0758172377603411,0.00499374160014858,-0.025,,,0.5,0.75
IMF,absolute,rolling window,JPN,pcpi_pch,1,0.439713978102544,0.169002400212381,0.0466385820267496,0.224072995863413,-0.15,,,0.333333333333333,0.666666666666667
IMF,absolute,rolling window,JPN,pcpi_pch,1.5,0.475962414996048,0.227625620942335,0.0035109351711725,0.244825858882541,0.0166666666666666,,,0.583333333333333,0.75
IMF,absolute,rolling window,USA,ngdp_rpch,0,0.302542862587697,0.168738770855295,0.0264875861208433,0.107316505611559,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,USA,ngdp_rpch,0.5,0.33063999889384,0.231509172210588,0.0273061714725942,0.0718246552106581,0.1,,,0.666666666666667,0.833333333333333
IMF,absolute,rolling window,USA,ngdp_rpch,1,0.854311332878824,0.40768871256988,0.0798088293720183,0.366813790936925,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,USA,ngdp_rpch,1.5,1.10554523434188,0.483059007158094,0.17963455108525,0.442851676098539,-0.025,,,0.583333333333333,0.666666666666667
IMF,absolute,rolling window,USA,pcpi_pch,0,0.134953376504249,0.0732481180782428,0.00734650716227125,0.054358751263735,-0.108333333333333,,,0.5,0.583333333333333
IMF,absolute,rolling window,USA,pcpi_pch,0.5,0.29643161960947,0.148492698613102,0.147938920996369,0,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,USA,pcpi_pch,1,0.603018020515379,0.208038857459711,0.250003944206392,0.144975218849276,-0.0666666666666667,,,0.5,0.666666666666667
IMF,absolute,rolling window,USA,pcpi_pch,1.5,0.602644272984593,0.248252343366825,0.211390561053499,0.143001368564269,-0.108333333333333,,,0.5,0.583333333333333
ar,absolute,rolling window,CAN,ngdp_rpch,0,0.273350744006069,0.137358194231464,0.0402959280119004,0.0956966217627044,-0.025,,,0.583333333333333,0.666666666666667
ar,absolute,rolling window,CAN,ngdp_rpch,0.5,0.393829222308661,0.233845019962553,0,0.159984202346108,-0.025,,,0.5,0.75
ar,absolute,rolling window,CAN,ngdp_rpch,1,1.05986382392254,0.382651631555357,0,0.67721219236718,-0.0666666666666667,,,0.416666666666667,0.75
ar,absolute,rolling window,CAN,ngdp_rpch,1.5,1.07185760170013,0.352503647381641,0.000418129541468748,0.718935824777023,-0.108333333333333,,,0.333333333333333,0.75
ar,absolute,rolling window,CAN,pcpi_pch,0,0.0982961485264834,0.0434696688555279,0,0.0548264796709555,0.1,,,0.666666666666667,0.833333333333333
ar,absolute,rolling window,CAN,pcpi_pch,0.5,0.324201832796615,0.161618820258291,0.0348068157733729,0.127776196764951,0.0166666666666666,,,0.583333333333333,0.75
ar,absolute,rolling window,CAN,pcpi_pch,1,0.764106120904541,0.382806696522423,0,0.381299424382119,-0.0666666666666667,,,0.5,0.666666666666667
ar,absolute,rolling window,CAN,pcpi_pch,1.5,0.935153670063159,0.660102247767298,0,0.275051422295861,-0.0666666666666667,,,0.416666666666667,0.75
ar,absolute,rolling window,DEU,ngdp_rpch,0,0.396014087308111,0.179003429276084,0.0668183053677917,0.150192352664236,-0.191666666666667,,,0.416666666666667,0.5
ar,absolute,rolling window,DEU,ngdp_rpch,0.5,0.595168620200395,0.188940699630485,0.0919477659991621,0.314280154570748,-0.108333333333333,,,0.5,0.583333333333333
ar,absolute,rolling window,DEU,ngdp_rpch,1,1.2093667354074,0.459848674647561,0,0.749518060759836,-0.191666666666667,,,0.333333333333333,0.583333333333333
ar,absolute,rolling window,DEU,ngdp_rpch,1.5,1.39201278260563,0.583463175875311,0,0.808549606730322,-0.0666666666666667,,,0.5,0.666666666666667
ar,absolute,rolling window,DEU,pcpi_pch,0,0.119587726097028,0.0829934868929899,0.0319435347881258,0.00465070441591259,0.1,,,0.583333333333333,0.916666666666667
ar,absolute,rolling window,DEU,pcpi_pch,0.5,0.237955311448717,0.181187423952242,0,0.0567678874964754,0.0166666666666666,,,0.583333333333333,0.75
ar,absolute,rolling window,DEU,pcpi_pch,1,0.528340759548653,0.359362782612094,0,0.168977976936559,0.225,,,0.833333333333333,0.916666666666667
ar,absolute,rolling window,DEU,pcpi_pch,1.5,0.692942589825938,0.549887678340509,0,0.143054911485429,0.183333333333333,,,0.75,0.916666666666667
ar,absolute,rolling window,FRA,ngdp_rpch,0,0.227405304253017,0.155777528813428,0,0.0716277754395888,-0.15,,,0.333333333333333,0.666666666666667
ar,absolute,rolling window,FRA,ngdp_rpch,0.5,0.569125542520564,0.300966971369526,0,0.268158571151038,-0.275,,,0.25,0.5
ar,absolute,rolling window,FRA,ngdp_rpch,1,1.19092110169159,0.474261590940695,0,0.716659510750892,-0.275,,,0.25,0.5
ar,absolute,rolling window,FRA,ngdp_rpch,1.5,1.30250574567931,0.553530496910202,0,0.748975248769111,-0.191666666666667,,,0.333333333333333,0.583333333333333
ar,absolute,rolling window,FRA,pcpi_pch,0,0.0985946753802331,0.0514837795416169,0.0471108958386162,0,-0.275,,,0.25,0.5
ar,absolute,rolling window,FRA,pcpi_pch,0.5,0.255941041626622,0.166704402649732,0.0654233143447704,0.0238133246321196,0.0583333333333333,,,0.583333333333333,0.833333333333333
ar,absolute,rolling window,FRA,pcpi_pch,1,0.436392849496671,0.143705622602663,0.13235952356552,0.160327703328488,-0.191666666666667,,,0.333333333333333,0.583333333333333
ar,absolute,rolling window,FRA,pcpi_pch,1.5,0.806363783059887,0.626377786760852,0,0.179985996299035,0.183333333333333,,,0.75,0.916666666666667
ar,absolute,rolling window,GBR,ngdp_rpch,0,0.358328996895707,0.222219968909806,0.00190985130133333,0.134199176684567,-0.025,,,0.416666666666667,0.833333333333333
ar,absolute,rolling window,GBR,ngdp_rpch,0.5,0.509647683419743,0.238468697010689,0,0.271178986409054,-0.108333333333333,,,0.416666666666667,0.666666666666667
ar,absolute,rolling window,GBR,ngdp_rpch,1,0.953471437169194,0.245405038573807,0.001606449539605,0.706459949055782,-0.15,,,0.333333333333333,0.666666666666667
ar,absolute,rolling window,GBR,ngdp_rpch,1.5,1.12737739664697,0.25029118070229,0,0.877086215944683,-0.191666666666667,,,0.333333333333333,0.583333333333333
