model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0,0.229136408622325,0.140512588709075,0.0291157773637392,0.059508042549511,0.0345238095238095,,,0.535714285714286,0.833333333333333
IMF,absolute,expanding window,ngdp_rpch,0.5,0.407934575495388,0.271593228703983,0.0574129007170956,0.0789284460743094,0.0523809523809524,,,0.583333333333333,0.821428571428571
IMF,absolute,expanding window,ngdp_rpch,1,0.878472076303602,0.458400841653575,0.0368979686708533,0.383173265979174,-0.00714285714285717,,,0.523809523809524,0.761904761904762
IMF,absolute,expanding window,ngdp_rpch,1.5,1.1256859900607,0.49710684009218,0.0929726477888001,0.535606502179721,-0.0428571428571429,,,0.523809523809524,0.690476190476191
IMF,absolute,expanding window,pcpi_pch,0,0.113550245737256,0.0613065915656017,0.0185542283572731,0.0336894258143811,0.00476190476190474,,,0.5,0.80952380952381
IMF,absolute,expanding window,pcpi_pch,0.5,0.255090247955753,0.138938655226649,0.099218219163772,0.0169333735653316,-0.0547619047619048,,,0.416666666666667,0.773809523809524
IMF,absolute,expanding window,pcpi_pch,1,0.464306222634595,0.218601896570506,0.151449860351483,0.0942544657126061,-0.102380952380952,,,0.416666666666667,0.678571428571429
IMF,absolute,expanding window,pcpi_pch,1.5,0.516902824541004,0.272015027905878,0.149109288170761,0.0957785084643649,-0.0547619047619048,,,0.440476190476191,0.75
IMF,absolute,leave-one-out,ngdp_rpch,0,0.226568235793175,0.124691434430132,0.0414052307002439,0.0604715706627993,0.00413533834586464,,,0.526315789473684,0.781954887218045
IMF,absolute,leave-one-out,ngdp_rpch,0.5,0.437709509764178,0.240871808680496,0.096039027765161,0.100798673318522,-0.0109022556390978,,,0.503759398496241,0.774436090225564
IMF,absolute,leave-one-out,ngdp_rpch,1,0.784708261298307,0.426387488951408,0.0633760742235886,0.29494469812331,-0.018421052631579,,,0.473684210526316,0.789473684210526
IMF,absolute,leave-one-out,ngdp_rpch,1.5,0.944998703603352,0.471674427356157,0.0859290248390246,0.387395251408171,-0.00714285714285717,,,0.496240601503759,0.789473684210526
IMF,absolute,leave-one-out,pcpi_pch,0,0.107557770795395,0.0534224683451234,0.02094384760857,0.0331914548417016,-0.037218045112782,,,0.43609022556391,0.789473684210526
IMF,absolute,leave-one-out,pcpi_pch,0.5,0.239973844146582,0.148003239749473,0.0659391649125854,0.0260314394845238,0.00789473684210524,,,0.503759398496241,0.81203007518797
IMF,absolute,leave-one-out,pcpi_pch,1,0.426218641234771,0.269121523479699,0.0873454325723531,0.0697516851827191,0.0342105263157894,,,0.548872180451128,0.819548872180451
IMF,absolute,leave-one-out,pcpi_pch,1.5,0.483917795233172,0.321971059576302,0.0794645026699966,0.0824822329868731,0.0417293233082707,,,0.541353383458647,0.842105263157895
IMF,absolute,rolling window,ngdp_rpch,0,0.236060668938357,0.123660830523384,0.0311614504097151,0.0812383880052582,-0.0369047619047619,,,0.5,0.726190476190476
IMF,absolute,rolling window,ngdp_rpch,0.5,0.422304234895779,0.232366126983366,0.0647071630716317,0.125230944840781,-0.025,,,0.535714285714286,0.714285714285714
IMF,absolute,rolling window,ngdp_rpch,1,0.994225983545819,0.409205272680441,0.0636501773225046,0.521370533542873,-0.0845238095238095,,,0.488095238095238,0.642857142857143
IMF,absolute,rolling window,ngdp_rpch,1.5,1.25505273227263,0.493094734236667,0.127736148671268,0.634221849364697,-0.102380952380952,,,0.452380952380952,0.642857142857143
IMF,absolute,rolling window,pcpi_pch,0,0.123904322701075,0.0656409936266186,0.0214642120732821,0.0367991170011743,-0.0428571428571429,,,0.535714285714286,0.678571428571429
IMF,absolute,rolling window,pcpi_pch,0.5,0.260115930739097,0.148486293417571,0.0930145895958736,0.0186150477256528,-0.025,,,0.5,0.75
IMF,absolute,rolling window,pcpi_pch,1,0.494962209622334,0.21993182895384,0.150993416512208,0.124036964156287,-0.120238095238095,,,0.428571428571429,0.630952380952381
IMF,absolute,rolling window,pcpi_pch,1.5,0.551136261012434,0.258812309201203,0.165382954355039,0.126940997456193,-0.0845238095238095,,,0.488095238095238,0.642857142857143
IMF,directional,expanding window,ngdp_rpch,0,0.229326805703941,0.128551896006128,0.0451349118447383,0.055639997853074,-0.025,,,0.511904761904762,0.738095238095238
IMF,directional,expanding window,ngdp_rpch,0.5,0.392607899657905,0.248286842406373,0.0791994498597183,0.0651216073918144,0.0226190476190476,,,0.571428571428571,0.773809523809524
IMF,directional,expanding window,ngdp_rpch,1,0.834656719624232,0.385079678927152,0.147531415220168,0.302045625476912,-0.0666666666666667,,,0.404761904761905,0.761904761904762
IMF,directional,expanding window,ngdp_rpch,1.5,1.07976529400294,0.399523915140983,0.275696624636008,0.404544754225948,-0.126190476190476,,,0.404761904761905,0.642857142857143
IMF,directional,expanding window,pcpi_pch,0,0.11643454134938,0.0574199199879315,0.022710976494811,0.0363036448666379,-0.030952380952381,,,0.464285714285714,0.773809523809524
IMF,directional,expanding window,pcpi_pch,0.5,0.241740527381861,0.125850731322043,0.0900188766140566,0.0258709194457616,-0.0666666666666667,,,0.428571428571429,0.738095238095238
IMF,directional,expanding window,pcpi_pch,1,0.508993373006272,0.189277304369418,0.227305695179174,0.0924103734576807,-0.203571428571429,,,0.30952380952381,0.583333333333333
IMF,directional,expanding window,pcpi_pch,1.5,0.552593476665052,0.218202605718773,0.238866278813065,0.0955245921332134,-0.185714285714286,,,0.345238095238095,0.583333333333333
IMF,directional,leave-one-out,ngdp_rpch,0,0.232298664121471,0.117610243101066,0.0489730899620635,0.0657153310583413,-0.0109022556390978,,,0.518796992481203,0.759398496240602
IMF,directional,leave-one-out,ngdp_rpch,0.5,0.45831371771903,0.231039447956579,0.130267362891428,0.0970069068710223,-0.056015037593985,,,0.43609022556391,0.75187969924812
IMF,directional,leave-one-out,ngdp_rpch,1,0.761070366195815,0.392036568385356,0.163068386504992,0.205965411305467,-0.0334586466165414,,,0.458646616541353,0.774436090225564
IMF,directional,leave-one-out,ngdp_rpch,1.5,0.924039200730936,0.409787874965771,0.241020611154092,0.273230714611073,-0.0672932330827068,,,0.413533834586466,0.75187969924812
IMF,directional,leave-one-out,pcpi_pch,0,0.110815837120502,0.051450348351191,0.0236598309336892,0.0357056578356222,-0.0522556390977444,,,0.428571428571429,0.766917293233083
IMF,directional,leave-one-out,pcpi_pch,0.5,0.237218070514324,0.139383179726803,0.0467490472397786,0.0510858435477423,0.00789473684210524,,,0.503759398496241,0.81203007518797
IMF,directional,leave-one-out,pcpi_pch,1,0.426841950269729,0.263312660014892,0.0841921027242982,0.079337187530538,0.0116541353383458,,,0.526315789473684,0.796992481203008
IMF,directional,leave-one-out,pcpi_pch,1.5,0.484968829989032,0.297311898293464,0.0758795846721774,0.111777347023391,0.019172932330827,,,0.526315789473684,0.81203007518797
IMF,directional,rolling window,ngdp_rpch,0,0.266614977467729,0.0924464172560148,0.0777992800968222,0.0963692801148923,-0.20952380952381,,,0.321428571428571,0.55952380952381
IMF,directional,rolling window,ngdp_rpch,0.5,0.470517779203601,0.164504140111702,0.123423343515266,0.182590295576633,-0.20952380952381,,,0.357142857142857,0.523809523809524
IMF,directional,rolling window,ngdp_rpch,1,1.09499212882418,0.275399929119286,0.244525003462872,0.575067196242024,-0.280952380952381,,,0.30952380952381,0.428571428571429
IMF,directional,rolling window,ngdp_rpch,1.5,1.36637409714469,0.303838447685946,0.364717857155742,0.697817792303005,-0.275,,,0.30952380952381,0.440476190476191
IMF,directional,rolling window,pcpi_pch,0,0.136709821033104,0.0498938558875627,0.0351122513508198,0.0517037137947213,-0.179761904761905,,,0.380952380952381,0.55952380952381
IMF,directional,rolling window,pcpi_pch,0.5,0.258958241721819,0.0910509318457813,0.0906911039102087,0.0772162059658289,-0.20952380952381,,,0.345238095238095,0.535714285714286
IMF,directional,rolling window,pcpi_pch,1,0.574551030663376,0.146264690184629,0.222644168741295,0.205642171737452,-0.316666666666667,,,0.238095238095238,0.428571428571429
IMF,directional,rolling window,pcpi_pch,1.5,0.625717823635138,0.156988926459581,0.25591109085374,0.212817806321818,-0.328571428571429,,,0.25,0.392857142857143
ar,absolute,expanding window,ngdp_rpch,0,0.297050946836867,0.178338945772339,0.024172842530565,0.0945391585339633,-0.030952380952381,,,0.488095238095238,0.75
ar,absolute,expanding window,ngdp_rpch,0.5,0.561615257474767,0.338860816083069,0.0286385438040912,0.194115897587607,0.00476190476190474,,,0.535714285714286,0.773809523809524
ar,absolute,expanding window,ngdp_rpch,1,1.18158277988409,0.543530538307046,0.00217563952463982,0.635876602052402,-0.0547619047619048,,,0.452380952380952,0.738095238095238
ar,absolute,expanding window,ngdp_rpch,1.5,1.39737804127552,0.680164280302533,0.00120881716818393,0.716004943804808,-0.0785714285714286,,,0.452380952380952,0.690476190476191
ar,absolute,expanding window,pcpi_pch,0,0.124267444579673,0.0671883521082305,0.0254005535439962,0.0316785389274464,-0.0607142857142857,,,0.428571428571429,0.75
ar,absolute,expanding window,pcpi_pch,0.5,0.280900903569167,0.186904759413254,0.032874189491944,0.0611219546639688,0.0642857142857143,,,0.619047619047619,0.80952380952381
ar,absolute,expanding window,pcpi_pch,1,0.757046010000353,0.467237247684589,0.0251375939540477,0.264671168361717,-0.00119047619047621,,,0.55952380952381,0.738095238095238
ar,absolute,expanding window,pcpi_pch,1.5,1.0203049358475,0.843091827026055,0,0.177213108821443,0.153571428571429,,,0.761904761904762,0.845238095238095
ar,absolute,leave-one-out,ngdp_rpch,0,0.300606464967823,0.169087428350424,0.0175493544665324,0.113969682150867,-0.0409774436090226,,,0.458646616541353,0.759398496240602
ar,absolute,leave-one-out,ngdp_rpch,0.5,0.527469442401678,0.320549382133618,0.0204699903826894,0.186450069885371,0.019172932330827,,,0.533834586466166,0.804511278195489
ar,absolute,leave-one-out,ngdp_rpch,1,0.996487404445308,0.543826157823154,0.00657908401606214,0.446082162606092,0.0229323308270677,,,0.533834586466166,0.81203007518797
ar,absolute,leave-one-out,ngdp_rpch,1.5,1.19722871747176,0.662619188434115,0.00344216115057162,0.531167367887076,0.0304511278195489,,,0.541353383458647,0.819548872180451
ar,absolute,leave-one-out,pcpi_pch,0,0.117744461126146,0.0679688996267502,0.0237837913687186,0.0259917701306772,0.0304511278195489,,,0.556390977443609,0.804511278195489
ar,absolute,leave-one-out,pcpi_pch,0.5,0.279391830051736,0.177030861942057,0.0199468148670708,0.0824141532426086,0.0266917293233083,,,0.548872180451128,0.804511278195489
ar,absolute,leave-one-out,pcpi_pch,1,0.724978653935417,0.480228067618667,0.00869380708153778,0.236056779235212,0.019172932330827,,,0.526315789473684,0.81203007518797
ar,absolute,leave-one-out,pcpi_pch,1.5,1.0781918402893,0.781021530171216,0,0.297170310118087,-0.037218045112782,,,0.473684210526316,0.75187969924812
ar,absolute,rolling window,ngdp_rpch,0,0.31382838812275,0.181352318827384,0.0286484061945386,0.103827663100828,-0.0428571428571429,,,0.476190476190476,0.738095238095238
ar,absolute,rolling window,ngdp_rpch,0.5,0.590592164142679,0.309408724505662,0.0392514064652469,0.241932033171769,-0.0369047619047619,,,0.547619047619048,0.678571428571429
ar,absolute,rolling window,ngdp_rpch,1,1.26669231192493,0.512104043089827,0.00436630894276917,0.750221959892337,-0.0845238095238095,,,0.452380952380952,0.678571428571429
ar,absolute,rolling window,ngdp_rpch,1.5,1.51663922395638,0.647022010608307,0.00331612361944101,0.866301089728636,-0.102380952380952,,,0.440476190476191,0.654761904761905
ar,absolute,rolling window,pcpi_pch,0,0.126460475848269,0.0674017644087142,0.0270485480062423,0.0320101634333124,-0.0428571428571429,,,0.488095238095238,0.726190476190476
ar,absolute,rolling window,pcpi_pch,0.5,0.281091147151942,0.152100024814582,0.0365051495826383,0.0924859727547213,-0.00119047619047621,,,0.535714285714286,0.761904761904762
ar,absolute,rolling window,pcpi_pch,1,0.773887033368476,0.453611253357504,0.0224506848377336,0.297825095173239,-0.030952380952381,,,0.547619047619048,0.690476190476191
ar,absolute,rolling window,pcpi_pch,1.5,1.01339561223843,0.755894064555974,0,0.257501547682456,0.0583333333333333,,,0.619047619047619,0.797619047619048
ar,directional,expanding window,ngdp_rpch,0,0.30976587195588,0.150928681093329,0.0919542620161682,0.0668829288463822,-0.138095238095238,,,0.380952380952381,0.642857142857143
ar,directional,expanding window,ngdp_rpch,0.5,0.463981002076926,0.23342152884637,0.12326415440455,0.107295318826007,-0.0785714285714286,,,0.428571428571429,0.714285714285714
ar,directional,expanding window,ngdp_rpch,1,0.88336086256318,0.299936997039999,0.1307276540349,0.452696211488281,-0.102380952380952,,,0.428571428571429,0.666666666666667
ar,directional,expanding window,ngdp_rpch,1.5,1.04393594380231,0.354720281124141,0.162664030590658,0.526551632087511,-0.114285714285714,,,0.392857142857143,0.678571428571429
ar,directional,expanding window,pcpi_pch,0,0.107488301337811,0.0524974188291327,0.0166578171019156,0.0383330654067627,-0.114285714285714,,,0.333333333333333,0.738095238095238
ar,directional,expanding window,pcpi_pch,0.5,0.283053435333673,0.128407827535268,0.109354543045125,0.0452910647532803,-0.132142857142857,,,0.404761904761905,0.630952380952381
ar,directional,expanding window,pcpi_pch,1,0.568779804740043,0.180723071221583,0.177483642748201,0.210573090770258,-0.138095238095238,,,0.369047619047619,0.654761904761905
ar,directional,expanding window,pcpi_pch,1.5,0.590331714394462,0.240863900759674,0.248238543797815,0.101229269836974,-0.167857142857143,,,0.30952380952381,0.654761904761905
ar,directional,leave-one-out,ngdp_rpch,0,0.282239547489184,0.149030987542056,0.0675415187499737,0.0656670411971546,-0.093609022556391,,,0.390977443609023,0.721804511278195
ar,directional,leave-one-out,ngdp_rpch,0.5,0.434002576573225,0.231523782339792,0.119135226384494,0.083343567848939,-0.0259398496240602,,,0.481203007518797,0.766917293233083
ar,directional,leave-one-out,ngdp_rpch,1,0.754405354434538,0.341576544397884,0.134912742310368,0.277916067726286,-0.0484962406015038,,,0.451127819548872,0.75187969924812
ar,directional,leave-one-out,ngdp_rpch,1.5,0.868933827326094,0.383901786324161,0.156660929080491,0.328371111921442,-0.0484962406015038,,,0.443609022556391,0.759398496240602
ar,directional,leave-one-out,pcpi_pch,0,0.0981808312693735,0.0570293046518113,0.0166634215778827,0.0244881050396795,0.0154135338345864,,,0.526315789473684,0.804511278195489
ar,directional,leave-one-out,pcpi_pch,0.5,0.255055378433686,0.158039808628452,0.0333655892732529,0.0636499805319815,-0.0109022556390978,,,0.503759398496241,0.774436090225564
ar,directional,leave-one-out,pcpi_pch,1,0.492271058679557,0.257247457400352,0.0793195749037411,0.155704026375464,0.0379699248120301,,,0.548872180451128,0.827067669172932
ar,directional,leave-one-out,pcpi_pch,1.5,0.543011520844104,0.31245054530487,0.0760368810765758,0.154524094462658,-0.018421052631579,,,0.496240601503759,0.766917293233083
ar,directional,rolling window,ngdp_rpch,0,0.371234275186807,0.104909281921634,0.131930255443181,0.134394737821993,-0.298809523809524,,,0.238095238095238,0.464285714285714
ar,directional,rolling window,ngdp_rpch,0.5,0.569537625289088,0.172495032055543,0.17424629866556,0.222796294567986,-0.215476190476191,,,0.345238095238095,0.523809523809524
ar,directional,rolling window,ngdp_rpch,1,1.08226451760753,0.237238920419892,0.192796679191517,0.652228917996123,-0.245238095238095,,,0.345238095238095,0.464285714285714
ar,directional,rolling window,ngdp_rpch,1.5,1.31702231886189,0.279952398278573,0.24520349355891,0.791866427024409,-0.257142857142857,,,0.357142857142857,0.428571428571429
ar,directional,rolling window,pcpi_pch,0,0.12477180070678,0.038197801735598,0.0407914137194889,0.0457825852516932,-0.263095238095238,,,0.297619047619048,0.476190476190476
ar,directional,rolling window,pcpi_pch,0.5,0.303914937969465,0.0945524897394089,0.084613832072358,0.124748616157698,-0.239285714285714,,,0.30952380952381,0.511904761904762
ar,directional,rolling window,pcpi_pch,1,0.611183726137892,0.152570928928919,0.197833356077432,0.260779441131541,-0.292857142857143,,,0.297619047619048,0.416666666666667
ar,directional,rolling window,pcpi_pch,1.5,0.633037165925056,0.163135606148051,0.286780052768389,0.183121507008615,-0.298809523809524,,,0.297619047619048,0.404761904761905
bvar,absolute,expanding window,ngdp_rpch,0,0.292759639604883,0.178720597957801,0.0264591870838024,0.0875798545632796,-0.025,,,0.523809523809524,0.726190476190476
bvar,absolute,expanding window,ngdp_rpch,0.5,0.520507110499594,0.310433604621459,0.0468971732768198,0.163176332601315,0.0404761904761905,,,0.55952380952381,0.821428571428571
bvar,absolute,expanding window,ngdp_rpch,1,1.03308292660143,0.439341000210329,0.00925042231149351,0.584491504079612,-0.0369047619047619,,,0.488095238095238,0.738095238095238
bvar,absolute,expanding window,ngdp_rpch,1.5,1.22227407254891,0.534760527984157,0.0164196546396114,0.671093889925145,-0.0666666666666667,,,0.452380952380952,0.714285714285714
bvar,absolute,expanding window,pcpi_pch,0,0.121364840542308,0.0650044368038772,0.0298846879920607,0.0264757157463702,-0.0369047619047619,,,0.488095238095238,0.738095238095238
bvar,absolute,expanding window,pcpi_pch,0.5,0.301644264026258,0.174757030459655,0.08584697082178,0.0410402627448235,-0.0130952380952381,,,0.5,0.773809523809524
bvar,absolute,expanding window,pcpi_pch,1,0.600599714211854,0.357254191398475,0.0588382473791493,0.18450727543423,0.0226190476190476,,,0.607142857142857,0.738095238095238
bvar,absolute,expanding window,pcpi_pch,1.5,0.795043213892435,0.664445800019119,0.00465881548757363,0.125938598385743,0.183333333333333,,,0.761904761904762,0.904761904761905
bvar,absolute,leave-one-out,ngdp_rpch,0,0.298414229272972,0.166534590065034,0.0212739556759782,0.11060568353196,-0.0334586466165414,,,0.458646616541353,0.774436090225564
bvar,absolute,leave-one-out,ngdp_rpch,0.5,0.483887329966051,0.287893350834521,0.0332439663696856,0.162750012761844,0.0154135338345864,,,0.526315789473684,0.804511278195489
bvar,absolute,leave-one-out,ngdp_rpch,1,0.866135734035579,0.455707327811994,0.00739580800982019,0.403032598213765,0.0342105263157894,,,0.556390977443609,0.81203007518797
bvar,absolute,leave-one-out,ngdp_rpch,1.5,1.03406730161011,0.511401337905868,0.0176084852615671,0.505057478442677,0.0342105263157894,,,0.541353383458647,0.827067669172932
bvar,absolute,leave-one-out,pcpi_pch,0,0.115653531618715,0.0671688723027376,0.0265585220043704,0.0219261373116067,0.0417293233082707,,,0.571428571428571,0.81203007518797
bvar,absolute,leave-one-out,pcpi_pch,0.5,0.288617810381836,0.175256760238738,0.0537990478210831,0.0595620023220145,0.0116541353383458,,,0.548872180451128,0.774436090225564
bvar,absolute,leave-one-out,pcpi_pch,1,0.590257504438272,0.358601804688691,0.029857015423441,0.20179868432614,0.0266917293233083,,,0.541353383458647,0.81203007518797
bvar,absolute,leave-one-out,pcpi_pch,1.5,0.872985713716805,0.5532318473905,0.00216497989976523,0.31758888642654,-0.00338345864661656,,,0.526315789473684,0.766917293233083
bvar,absolute,rolling window,ngdp_rpch,0,0.306617658567315,0.180157834335264,0.0301383969481512,0.0963214272839,-0.030952380952381,,,0.511904761904762,0.726190476190476
