model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,rolling window,ngdp_rpch,0,0.228766450164079,0.11825683669369,0.0336706041289215,0.0768390093414674,-0.0428571428571429,,,0.5,0.714285714285714
IMF,absolute,rolling window,ngdp_rpch,0.5,0.420600711490863,0.234611716501864,0.0613189123832916,0.124670082605707,-0.0190476190476191,,,0.535714285714286,0.726190476190476
IMF,absolute,rolling window,ngdp_rpch,1,0.976275306110252,0.385714738936309,0.0708733214937736,0.519687245680169,-0.0845238095238095,,,0.476190476190476,0.654761904761905
IMF,absolute,rolling window,ngdp_rpch,1.5,1.23042372061271,0.464037901178979,0.132350657495009,0.634035161938719,-0.114285714285714,,,0.428571428571429,0.642857142857143
IMF,absolute,rolling window,pcpi_pch,0,0.122524087782664,0.0648911847203184,0.0197569899087047,0.0378759131536408,-0.0488095238095238,,,0.511904761904762,0.690476190476191
IMF,absolute,rolling window,pcpi_pch,0.5,0.261820370240316,0.143441623470517,0.10023407310139,0.0181446736684089,-0.0428571428571429,,,0.476190476190476,0.738095238095238
IMF,absolute,rolling window,pcpi_pch,1,0.492862515228372,0.209787012305399,0.163705114320395,0.119370388602579,-0.138095238095238,,,0.369047619047619,0.654761904761905
IMF,absolute,rolling window,pcpi_pch,1.5,0.540615092864858,0.248368025113048,0.17039098876971,0.1218560789821,-0.126190476190476,,,0.428571428571429,0.619047619047619
ar,absolute,rolling window,ngdp_rpch,0,0.303494496869138,0.175102196852068,0.0269227398236793,0.101469560193392,-0.0726190476190476,,,0.452380952380952,0.702380952380952
ar,absolute,rolling window,ngdp_rpch,0.5,0.59052799990423,0.285450487112907,0.046856088960291,0.258221423831032,-0.0964285714285714,,,0.440476190476191,0.666666666666667
ar,absolute,rolling window,ngdp_rpch,1,1.24349779218467,0.484594802161118,0.00262621487958125,0.756276775143973,-0.0845238095238095,,,0.428571428571429,0.702380952380952
ar,absolute,rolling window,ngdp_rpch,1.5,1.47426934779519,0.609775371740035,0.00206006134318155,0.862433914711971,-0.114285714285714,,,0.392857142857143,0.678571428571429
ar,absolute,rolling window,pcpi_pch,0,0.127533689644647,0.0649243963198758,0.0289516432050747,0.0336576501196968,-0.0666666666666667,,,0.440476190476191,0.726190476190476
ar,absolute,rolling window,pcpi_pch,0.5,0.272598391841243,0.151839010707772,0.0349210523979632,0.0858383287355082,-0.0190476190476191,,,0.535714285714286,0.726190476190476
ar,absolute,rolling window,pcpi_pch,1,0.772688071968869,0.449446841100556,0.0294181207091191,0.293823110159194,-0.025,,,0.535714285714286,0.714285714285714
ar,absolute,rolling window,pcpi_pch,1.5,1.00717737891952,0.772746008491987,0,0.234431370427532,0.0880952380952381,,,0.654761904761905,0.821428571428571
bvar,absolute,rolling window,ngdp_rpch,0,0.29816894570762,0.173601925491829,0.0319340598490731,0.0926329603667185,-0.0607142857142857,,,0.452380952380952,0.726190476190476
bvar,absolute,rolling window,ngdp_rpch,0.5,0.542986559442095,0.267667519286125,0.0657684084224158,0.209550631733554,-0.0726190476190476,,,0.452380952380952,0.702380952380952
bvar,absolute,rolling window,ngdp_rpch,1,1.10543940291533,0.370170854826242,0.0287051412465713,0.706563406842518,-0.102380952380952,,,0.428571428571429,0.666666666666667
bvar,absolute,rolling window,ngdp_rpch,1.5,1.33107072685493,0.453556175223035,0.0550530453000848,0.82246150633181,-0.126190476190476,,,0.404761904761905,0.642857142857143
bvar,absolute,rolling window,pcpi_pch,0,0.125156383127917,0.0606947857979742,0.034281161280124,0.0301804360498186,-0.102380952380952,,,0.428571428571429,0.666666666666667
bvar,absolute,rolling window,pcpi_pch,0.5,0.302250820090194,0.151021742580565,0.0981917167684776,0.0530373607411512,-0.0428571428571429,,,0.5,0.714285714285714
bvar,absolute,rolling window,pcpi_pch,1,0.605510791764422,0.305401907105288,0.0585094335277339,0.2415994511314,-0.0428571428571429,,,0.511904761904762,0.702380952380952
bvar,absolute,rolling window,pcpi_pch,1.5,0.753090371123196,0.524500740720414,0.0220672528860977,0.206522377516685,0.0702380952380952,,,0.654761904761905,0.785714285714286
