model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,ngdp_rpch,0,0.243669571452463,0.10930955604146,0.060978241484383,0.0733817739266196,-0.15,,,0.392857142857143,0.607142857142857
IMF,directional,rolling window,ngdp_rpch,0.5,0.40509809899267,0.220561526858225,0.0945612449046156,0.0899753272298293,-0.0428571428571429,,,0.511904761904762,0.702380952380952
IMF,directional,rolling window,ngdp_rpch,1,0.897001374732144,0.337485413416565,0.171323983134181,0.388191978181398,-0.126190476190476,,,0.369047619047619,0.678571428571429
IMF,directional,rolling window,ngdp_rpch,1.5,1.14542781307371,0.369669941566969,0.283581575202084,0.492176296304656,-0.173809523809524,,,0.380952380952381,0.571428571428571
IMF,directional,rolling window,pcpi_pch,0,0.121459558299191,0.0542331672274291,0.0257021698999364,0.0415242211718252,-0.108333333333333,,,0.428571428571429,0.654761904761905
IMF,directional,rolling window,pcpi_pch,0.5,0.25252039280595,0.109505796684391,0.100727879089873,0.0422867170316852,-0.114285714285714,,,0.404761904761905,0.666666666666667
IMF,directional,rolling window,pcpi_pch,1,0.504844739951908,0.16865018698305,0.219447924422324,0.116746628546534,-0.215476190476191,,,0.297619047619048,0.571428571428571
IMF,directional,rolling window,pcpi_pch,1.5,0.553451919011404,0.191472193609815,0.237507961993364,0.124471763408225,-0.191666666666667,,,0.392857142857143,0.523809523809524
ar,directional,rolling window,ngdp_rpch,0,0.315171177693893,0.140970523143996,0.0952893350283785,0.078911319521519,-0.15,,,0.380952380952381,0.619047619047619
ar,directional,rolling window,ngdp_rpch,0.5,0.491175639206712,0.201571856419841,0.140615127808624,0.148988654978246,-0.144047619047619,,,0.380952380952381,0.630952380952381
ar,directional,rolling window,ngdp_rpch,1,0.930467275944625,0.267840248653764,0.132327911141114,0.530299116149747,-0.126190476190476,,,0.416666666666667,0.630952380952381
ar,directional,rolling window,ngdp_rpch,1.5,1.08870942693868,0.319541043630052,0.174023575875889,0.595144807432738,-0.15,,,0.380952380952381,0.619047619047619
ar,directional,rolling window,pcpi_pch,0,0.113476613199521,0.0473906658812017,0.0277213821830379,0.0383645651352816,-0.179761904761905,,,0.345238095238095,0.595238095238095
ar,directional,rolling window,pcpi_pch,0.5,0.268980632505071,0.122789399920523,0.0942887157891896,0.051902516795359,-0.108333333333333,,,0.428571428571429,0.654761904761905
ar,directional,rolling window,pcpi_pch,1,0.574791913918516,0.150845196910568,0.200013796137767,0.22393292087018,-0.221428571428571,,,0.297619047619048,0.55952380952381
ar,directional,rolling window,pcpi_pch,1.5,0.593479138089877,0.209891254170056,0.268545202218486,0.115042681701335,-0.221428571428571,,,0.273809523809524,0.583333333333333
bvar,directional,rolling window,ngdp_rpch,0,0.317016924383818,0.141829969000751,0.0989193299723472,0.0762676254107193,-0.167857142857143,,,0.357142857142857,0.607142857142857
bvar,directional,rolling window,ngdp_rpch,0.5,0.524949554018745,0.205250343629096,0.170067185417079,0.149632024972571,-0.155952380952381,,,0.345238095238095,0.642857142857143
bvar,directional,rolling window,ngdp_rpch,1,0.913670159190777,0.272403314263148,0.156921783438809,0.48434506148882,-0.126190476190476,,,0.416666666666667,0.630952380952381
bvar,directional,rolling window,ngdp_rpch,1.5,1.10129195938536,0.329965222185704,0.214588832545559,0.556737904654099,-0.138095238095238,,,0.392857142857143,0.630952380952381
bvar,directional,rolling window,pcpi_pch,0,0.108197365327395,0.0463328082055012,0.0268358956757903,0.0350286614461039,-0.173809523809524,,,0.321428571428571,0.630952380952381
bvar,directional,rolling window,pcpi_pch,0.5,0.301049722020399,0.128637447974557,0.128780617337691,0.0436316567081512,-0.167857142857143,,,0.357142857142857,0.607142857142857
bvar,directional,rolling window,pcpi_pch,1,0.566740236344956,0.161698177243527,0.22858007791767,0.17646198118376,-0.179761904761905,,,0.357142857142857,0.583333333333333
bvar,directional,rolling window,pcpi_pch,1.5,0.713005135401642,0.223613844442636,0.394152854487953,0.0952384364710531,-0.263095238095238,,,0.226190476190476,0.547619047619048
