model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0,0.229136408622325,0.140512588709075,0.0291157773637392,0.059508042549511,0.0345238095238095,,,0.535714285714286,0.833333333333333
IMF,absolute,expanding window,ngdp_rpch,0.5,0.409357557580138,0.273798233392745,0.0574129007170956,0.0781464234702974,0.0583333333333333,,,0.583333333333333,0.833333333333333
IMF,absolute,expanding window,ngdp_rpch,1,0.878472076303602,0.458400841653575,0.0368979686708533,0.383173265979174,-0.00714285714285717,,,0.523809523809524,0.761904761904762
IMF,absolute,expanding window,ngdp_rpch,1.5,1.12640849417046,0.494901835403418,0.0929726477888001,0.538534010978244,-0.0547619047619048,,,0.511904761904762,0.678571428571429
IMF,absolute,expanding window,pcpi_pch,0,0.113550245737256,0.0613065915656017,0.0185542283572731,0.0336894258143811,0.00476190476190474,,,0.5,0.80952380952381
IMF,absolute,expanding window,pcpi_pch,0.5,0.255458248467834,0.13922550009879,0.0993014936837233,0.0169312546853208,-0.0547619047619048,,,0.416666666666667,0.773809523809524
IMF,absolute,expanding window,pcpi_pch,1,0.464306222634595,0.218601896570506,0.151449860351483,0.0942544657126061,-0.102380952380952,,,0.416666666666667,0.678571428571429
IMF,absolute,expanding window,pcpi_pch,1.5,0.516632498072576,0.271728183033738,0.150095551163339,0.0948087638754992,-0.0547619047619048,,,0.440476190476191,0.75
IMF,absolute,rolling window,ngdp_rpch,0,0.228766450164079,0.11825683669369,0.0336706041289215,0.0768390093414674,-0.0428571428571429,,,0.5,0.714285714285714
IMF,absolute,rolling window,ngdp_rpch,0.5,0.420600711490863,0.234611716501864,0.0613189123832916,0.124670082605707,-0.0190476190476191,,,0.535714285714286,0.726190476190476
IMF,absolute,rolling window,ngdp_rpch,1,0.976275306110252,0.385714738936309,0.0708733214937736,0.519687245680169,-0.0845238095238095,,,0.476190476190476,0.654761904761905
IMF,absolute,rolling window,ngdp_rpch,1.5,1.23042372061271,0.464037901178979,0.132350657495009,0.634035161938719,-0.114285714285714,,,0.428571428571429,0.642857142857143
IMF,absolute,rolling window,pcpi_pch,0,0.122524087782664,0.0648911847203184,0.0197569899087047,0.0378759131536408,-0.0488095238095238,,,0.511904761904762,0.690476190476191
IMF,absolute,rolling window,pcpi_pch,0.5,0.261820370240316,0.143441623470517,0.10023407310139,0.0181446736684089,-0.0428571428571429,,,0.476190476190476,0.738095238095238
IMF,absolute,rolling window,pcpi_pch,1,0.492862515228372,0.209787012305399,0.163705114320395,0.119370388602579,-0.138095238095238,,,0.369047619047619,0.654761904761905
IMF,absolute,rolling window,pcpi_pch,1.5,0.540615092864858,0.248368025113048,0.17039098876971,0.1218560789821,-0.126190476190476,,,0.428571428571429,0.619047619047619
ar,absolute,expanding window,ngdp_rpch,0,0.298192040835309,0.1780885165307,0.0248222487602827,0.0952812755443254,-0.0369047619047619,,,0.476190476190476,0.75
ar,absolute,expanding window,ngdp_rpch,0.5,0.562613545094925,0.336640160124322,0.0286385438040912,0.197334841166513,-0.00119047619047621,,,0.535714285714286,0.761904761904762
ar,absolute,expanding window,ngdp_rpch,1,1.18253247967763,0.543780967548684,0.00216430519882613,0.636587206930122,-0.0488095238095238,,,0.464285714285714,0.738095238095238
ar,absolute,expanding window,ngdp_rpch,1.5,1.3962001013447,0.68238493626128,0.00120881716818393,0.712606347915235,-0.0726190476190476,,,0.452380952380952,0.702380952380952
