model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,CAN,ngdp_rpch,0,0.146231632187417,0.0653352148148808,0.0304604755704304,0.0504359418021054,-0.15,,,0.416666666666667,0.583333333333333
IMF,directional,rolling window,CAN,ngdp_rpch,0.5,0.300179425332007,0.179074887422278,0.00740355537424042,0.113700982535489,0.0166666666666666,,,0.5,0.833333333333333
IMF,directional,rolling window,CAN,ngdp_rpch,1,0.788826631053952,0.347563194879439,0.104101995928325,0.337161440246188,-0.0666666666666667,,,0.5,0.666666666666667
IMF,directional,rolling window,CAN,ngdp_rpch,1.5,1.02816935032153,0.342245987253325,0.192727967143033,0.493195395925169,-0.0666666666666667,,,0.5,0.666666666666667
IMF,directional,rolling window,CAN,pcpi_pch,0,0.148646241178538,0.0683874613626037,0.0353445741479024,0.0449142056680317,-0.0666666666666667,,,0.5,0.666666666666667
IMF,directional,rolling window,CAN,pcpi_pch,0.5,0.321128865094278,0.131082809645272,0.0989652153477033,0.0910808401013025,-0.15,,,0.416666666666667,0.583333333333333
IMF,directional,rolling window,CAN,pcpi_pch,1,0.426065294331407,0.125965655802144,0.112612952278699,0.187486686250565,-0.15,,,0.333333333333333,0.666666666666667
IMF,directional,rolling window,CAN,pcpi_pch,1.5,0.490692914341562,0.132147289179818,0.188729007763871,0.169816617397874,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,DEU,ngdp_rpch,0,0.223753377710859,0.0832353375180209,0.0942324035943829,0.0462856365984551,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,DEU,ngdp_rpch,0.5,0.532932188166363,0.162671047575618,0.269950947027502,0.100310193563243,-0.15,,,0.25,0.75
IMF,directional,rolling window,DEU,ngdp_rpch,1,1.22855665047851,0.338626885814866,0.419282512921706,0.470647251741941,-0.275,,,0.25,0.5
IMF,directional,rolling window,DEU,ngdp_rpch,1.5,1.53441748800196,0.364563778707321,0.60714178075652,0.56271192853812,-0.441666666666667,,,0.166666666666667,0.25
IMF,directional,rolling window,DEU,pcpi_pch,0,0.0912004306308772,0.0590627102775527,0.0144176843313121,0.0177200360220125,-0.0666666666666667,,,0.5,0.666666666666667
IMF,directional,rolling window,DEU,pcpi_pch,0.5,0.143189540976433,0.0887872009428659,0.0420198624684929,0.0123824775650746,0.1,,,0.583333333333333,0.916666666666667
IMF,directional,rolling window,DEU,pcpi_pch,1,0.452598810365032,0.199983717669039,0.13434397825616,0.118271114439834,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,DEU,pcpi_pch,1.5,0.53810613638791,0.235865760180003,0.172795305863719,0.129445070344188,-0.275,,,0.333333333333333,0.416666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,0,0.164570065426595,0.0660455382899314,0.0384376535243054,0.0600868736123586,-0.108333333333333,,,0.333333333333333,0.75
IMF,directional,rolling window,FRA,ngdp_rpch,0.5,0.29987086001316,0.127585953529895,0.0377581153696042,0.134526791113662,-0.316666666666667,,,0.166666666666667,0.5
IMF,directional,rolling window,FRA,ngdp_rpch,1,0.56786483295457,0.269045113616231,0.0384678050263488,0.26035191431199,-0.191666666666667,,,0.25,0.666666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,1.5,0.801070229711671,0.248741915400317,0.130725057865289,0.421603256446065,-0.316666666666667,,,0.333333333333333,0.333333333333333
IMF,directional,rolling window,FRA,pcpi_pch,0,0.116185453286977,0.0422988367936913,0.0374781402926762,0.0364084762006092,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,FRA,pcpi_pch,0.5,0.196255713958025,0.0955856278762206,0.0431053172542666,0.0575647688275376,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,FRA,pcpi_pch,1,0.559549417702451,0.148791396670232,0.213221644345051,0.197536376687168,-0.233333333333333,,,0.333333333333333,0.5
IMF,directional,rolling window,FRA,pcpi_pch,1.5,0.552030168884075,0.169142570861202,0.176482566083204,0.20640503193967,-0.275,,,0.333333333333333,0.416666666666667
IMF,directional,rolling window,GBR,ngdp_rpch,0,0.197670967027648,0.0683009439054531,0.0696840473175433,0.0596859758046518,-0.233333333333333,,,0.166666666666667,0.666666666666667
IMF,directional,rolling window,GBR,ngdp_rpch,0.5,0.292889945494377,0.12134277672893,0.0286294388954529,0.142917729869995,-0.233333333333333,,,0.25,0.583333333333333
IMF,directional,rolling window,GBR,ngdp_rpch,1,0.727855895545299,0.240277026871486,0.00742406310407541,0.480154805569737,-0.025,,,0.5,0.75
IMF,directional,rolling window,GBR,ngdp_rpch,1.5,1.01931679396657,0.238566070049933,0.11966385866039,0.661086865256243,-0.233333333333333,,,0.25,0.583333333333333
IMF,directional,rolling window,GBR,pcpi_pch,0,0.233606717019995,0.0647952952360621,0.0455335251885016,0.123277896595431,-0.108333333333333,,,0.5,0.583333333333333
IMF,directional,rolling window,GBR,pcpi_pch,0.5,0.330501051000463,0.0942464835833701,0.133037838448236,0.103216728968857,-0.15,,,0.333333333333333,0.666666666666667
IMF,directional,rolling window,GBR,pcpi_pch,1,0.640531385865879,0.133297023269655,0.392311634915253,0.114922727680971,-0.316666666666667,,,0.25,0.416666666666667
IMF,directional,rolling window,GBR,pcpi_pch,1.5,0.871756515295687,0.143419243261658,0.573166802103854,0.155170469930176,-0.358333333333333,,,0.25,0.333333333333333
IMF,directional,rolling window,ITA,ngdp_rpch,0,0.188227925992465,0.0727313458391808,0.0490755003793909,0.0664210797738936,-0.0666666666666667,,,0.5,0.666666666666667
IMF,directional,rolling window,ITA,ngdp_rpch,0.5,0.334611532209091,0.191866662769769,0.0818603790939199,0.0608844903454013,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,directional,rolling window,ITA,ngdp_rpch,1,0.865395624138117,0.271993516271806,0.183111929407406,0.410290178458905,-0.441666666666667,,,0.0833333333333333,0.333333333333333
IMF,directional,rolling window,ITA,ngdp_rpch,1.5,1.03370417622198,0.280630137215941,0.258569563889264,0.494504475116772,-0.316666666666667,,,0.25,0.416666666666667
IMF,directional,rolling window,ITA,pcpi_pch,0,0.0663929407945559,0.0287296655936863,0.0237919249787717,0.0138713502220979,-0.15,,,0.333333333333333,0.666666666666667
IMF,directional,rolling window,ITA,pcpi_pch,0.5,0.25189833761518,0.08658500267505,0.0939010833447225,0.0714122515954071,-0.4,,,0.166666666666667,0.333333333333333
IMF,directional,rolling window,ITA,pcpi_pch,1,0.539816574433174,0.155028977007919,0.238640682671108,0.146146914754147,-0.275,,,0.25,0.5
IMF,directional,rolling window,ITA,pcpi_pch,1.5,0.528620943276568,0.180597631811534,0.168196982917884,0.179826328547149,-0.275,,,0.25,0.5
IMF,directional,rolling window,JPN,ngdp_rpch,0,0.526057252720399,0.176090267068927,0.155657291549907,0.194309694101565,-0.233333333333333,,,0.333333333333333,0.5
IMF,directional,rolling window,JPN,ngdp_rpch,0.5,0.812438860443302,0.400252885757392,0.163361925100816,0.248824049585094,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,JPN,ngdp_rpch,1,1.31244297978635,0.356647226296616,0.299361493627938,0.656434259861794,-0.233333333333333,,,0.25,0.583333333333333
IMF,directional,rolling window,JPN,ngdp_rpch,1.5,1.61021516812755,0.459676444493072,0.4750313582616,0.675507365372882,-0.15,,,0.416666666666667,0.583333333333333
IMF,directional,rolling window,JPN,pcpi_pch,0,0.0888988329119156,0.0388279504697162,0.0243262565431283,0.0257446258990711,-0.191666666666667,,,0.25,0.666666666666667
IMF,directional,rolling window,JPN,pcpi_pch,0.5,0.242624355134921,0.105467014312644,0.100402214175562,0.0367551266467151,-0.4,,,0.166666666666667,0.333333333333333
IMF,directional,rolling window,JPN,pcpi_pch,1,0.488378843605958,0.162184797544995,0.0937638708044752,0.232430175256488,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,directional,rolling window,JPN,pcpi_pch,1.5,0.538297434049753,0.153047615025134,0.14287227559265,0.242377543431969,-0.191666666666667,,,0.416666666666667,0.5
