model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.660307262620504,0.341903374789703,0.054099823635122,0.264304064195679,0.00922619047619045,,,0.541666666666667,0.776785714285714
IMF,absolute,expanding window,pcpi_pch,0.337462385217152,0.172715542817159,0.104582899010822,0.0601639433891709,-0.0517857142857143,,,0.443452380952381,0.752976190476191
IMF,absolute,leave-one-out,ngdp_rpch,0.614283497629422,0.315909689009205,0.0695374080109277,0.228836400609289,0.00178571428571426,,,0.511160714285714,0.792410714285714
IMF,absolute,leave-one-out,pcpi_pch,0.321702946428323,0.197863585316327,0.0703483782173432,0.0534909828946524,-0.0104910714285715,,,0.473214285714286,0.805803571428571
IMF,absolute,rolling window,ngdp_rpch,0.682097719268878,0.296627833290922,0.0702208132117951,0.315249072766161,-0.0800595238095238,,,0.455357142857143,0.68452380952381
IMF,absolute,rolling window,pcpi_pch,0.343832016115607,0.166038435115761,0.106239066874355,0.0715545141254912,-0.0755952380952381,,,0.455357142857143,0.693452380952381
IMF,directional,expanding window,ngdp_rpch,0.634089179747254,0.290360583120159,0.136890600390158,0.206837996236937,-0.0488095238095238,,,0.473214285714286,0.729166666666667
IMF,directional,expanding window,pcpi_pch,0.354940479600641,0.147687640349541,0.144725456775277,0.0625273824758234,-0.121726190476191,,,0.386904761904762,0.669642857142857
IMF,directional,leave-one-out,ngdp_rpch,0.605632956985579,0.287557338104893,0.141558818028966,0.176516800851719,-0.0328125,,,0.462053571428571,0.772321428571429
IMF,directional,leave-one-out,pcpi_pch,0.321105967949461,0.187653641801795,0.0641532937709805,0.069299032376685,-0.0160714285714286,,,0.477678571428571,0.790178571428571
IMF,directional,rolling window,ngdp_rpch,0.689583224765474,0.236853927562529,0.158946660481377,0.293782636721568,-0.17827380952381,,,0.357142857142857,0.586309523809524
IMF,directional,rolling window,pcpi_pch,0.366276867015927,0.12349613109664,0.140884811273112,0.101895924646175,-0.179761904761905,,,0.366071428571429,0.574404761904762
ar,absolute,expanding window,ngdp_rpch,0.859406756367812,0.435223645116247,0.01404896075687,0.410134150494695,-0.0398809523809524,,,0.482142857142857,0.738095238095238
ar,absolute,expanding window,pcpi_pch,0.545629823499173,0.391105546558032,0.020853084247497,0.133671192693644,0.0389880952380952,,,0.592261904761905,0.785714285714286
ar,absolute,leave-one-out,ngdp_rpch,0.78805211223091,0.423884928816646,0.0113435063354813,0.352823677078783,-0.00267857142857145,,,0.513392857142857,0.78125
ar,absolute,leave-one-out,pcpi_pch,0.545905686214204,0.376963493273089,0.0154800806224674,0.153462112318647,0.0162946428571428,,,0.542410714285714,0.790178571428571
ar,absolute,rolling window,ngdp_rpch,0.890683908936846,0.383408713107789,0.0217944340975918,0.485480761731466,-0.109821428571429,,,0.428571428571429,0.651785714285714
ar,absolute,rolling window,pcpi_pch,0.539322696431988,0.367752289021592,0.0235476638386733,0.148022743571723,0.0151785714285714,,,0.565476190476191,0.764880952380952
ar,directional,expanding window,ngdp_rpch,0.675260920099574,0.25975187202596,0.127152525261569,0.288356522812045,-0.108333333333333,,,0.407738095238095,0.675595238095238
ar,directional,expanding window,pcpi_pch,0.387413313951497,0.150623054586414,0.137933636673264,0.0988566226918187,-0.138095238095238,,,0.354166666666667,0.669642857142857
ar,directional,leave-one-out,ngdp_rpch,0.606644443910896,0.276184058286918,0.113868115628915,0.216592269995064,-0.0573660714285715,,,0.439732142857143,0.745535714285714
