model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.660843634169132,0.341903374789703,0.054099823635122,0.264840435744306,0.00773809523809522,,,0.538690476190476,0.776785714285714
IMF,absolute,expanding window,pcpi_pch,0.337486803728065,0.172715542817159,0.104850283388955,0.0599209775219518,-0.0517857142857143,,,0.443452380952381,0.752976190476191
IMF,absolute,rolling window,ngdp_rpch,0.724639549849086,0.314581741105965,0.0728649880299168,0.337192820713205,-0.0651785714285715,,,0.488095238095238,0.681547619047619
IMF,absolute,rolling window,pcpi_pch,0.35634967374385,0.173217856299808,0.107797264304365,0.0753345531396774,-0.0696428571428572,,,0.485119047619048,0.675595238095238
ar,absolute,expanding window,ngdp_rpch,0.859884541738141,0.435223645116247,0.014208478732846,0.410452417889049,-0.0398809523809524,,,0.482142857142857,0.738095238095238
ar,absolute,expanding window,pcpi_pch,0.545629823499173,0.391105546558032,0.020853084247497,0.133671192693644,0.0389880952380952,,,0.592261904761905,0.785714285714286
ar,absolute,rolling window,ngdp_rpch,0.918985771203447,0.412471774257795,0.0189930404251484,0.487520956520503,-0.0651785714285715,,,0.482142857142857,0.6875
ar,absolute,rolling window,pcpi_pch,0.548582658333136,0.357251776784194,0.0216373130602928,0.16969356848865,-0.00416666666666669,,,0.547619047619048,0.744047619047619
bvar,absolute,expanding window,ngdp_rpch,0.767203496674188,0.365813932693436,0.0247124063258418,0.37667715765491,-0.0220238095238095,,,0.505952380952381,0.75
bvar,absolute,expanding window,pcpi_pch,0.454663008168214,0.315365364670281,0.0448071804201409,0.0944904630777916,0.0389880952380952,,,0.589285714285714,0.788690476190476
bvar,absolute,rolling window,ngdp_rpch,0.831686734416969,0.337890450980439,0.0433625165690112,0.450433766867519,-0.0651785714285715,,,0.476190476190476,0.693452380952381
bvar,absolute,rolling window,pcpi_pch,0.451842362806415,0.261729569055482,0.0507709183938542,0.139341875357079,-0.0235119047619048,,,0.553571428571429,0.699404761904762
