model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,DEU,ngdp_rpch,0,0.51413114052063,0.068398693828371,0.103347786305076,0.342384660387183,0.504330371436248,0.777238758878967,0.640784565157608,0.347826086956522,0.478260869565217,0.304347826086957,0.391304347826087,0.739130434782609,0.782608695652174
ar,DEU,ngdp_rpch,0.5,0.719620506033816,0.259861566194269,0.0418056472074614,0.417953292632085,1.59084731850975,2.84718081918318,2.21901406884646,0.565217391304348,0.782608695652174,0.217391304347826,0.304347826086957,0.869565217391304,1
ar,DEU,ngdp_rpch,1,1.10582355716702,0.433696671341108,0.0143801644766536,0.657746721349254,2.62916133340853,4.7403595033344,3.68476041837146,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,DEU,ngdp_rpch,1.5,1.27898859435541,0.463401959716137,0.016901040135268,0.798685594504002,2.83178199053202,5.06997010442836,3.95087604748019,0.454545454545455,0.818181818181818,0.181818181818182,0.545454545454545,1,1
ar,FRA,ngdp_rpch,0,0.281123383970066,0.0765675459244676,0.0153893580365914,0.189166480009007,0.490118782402576,0.839512566168143,0.66481567428536,0.217391304347826,0.521739130434783,0.434782608695652,0.695652173913044,0.91304347826087,0.956521739130435
ar,FRA,ngdp_rpch,0.5,0.627066437364768,0.232116671156341,0.00636440368226362,0.388585362526164,1.41410170434361,2.52998813738524,1.97204492086443,0.260869565217391,0.739130434782609,0.260869565217391,0.739130434782609,1,1
ar,FRA,ngdp_rpch,1,1.1746373567991,0.36283635380302,0,0.811801002996078,2.26851623791299,3.97612072398737,3.12231848095018,0.363636363636364,0.727272727272727,0.272727272727273,0.636363636363636,1,1
ar,FRA,ngdp_rpch,1.5,1.357873542162,0.380078806464758,3.70727661736915e-05,0.977757662931069,2.41001153648537,4.17288283775469,3.29144718712003,0.272727272727273,0.590909090909091,0.409090909090909,0.727272727272727,1,1
ar,GBR,ngdp_rpch,0,0.513815251317612,0.0638752127824755,0.061523387455189,0.388416651079948,0.481029800866172,0.72800037114547,0.604515086005821,0.217391304347826,0.304347826086957,0.521739130434783,0.565217391304348,0.782608695652174,0.826086956521739
ar,GBR,ngdp_rpch,0.5,0.579200544945191,0.237708804771022,0.0204096352361174,0.321082104938051,1.43491322013534,2.59043678841233,2.01267500427384,0.434782608695652,0.782608695652174,0.217391304347826,0.521739130434783,0.956521739130435,1
