model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0,0.358927476154956,0.0819976304547106,0.042730904528273,0.234198941171973,1.70179349258074,2.92406579164727,2.31292964211401,0.269565217391304,0.443478260869565,0.4,0.51304347826087,0.782608695652174,0.843478260869565
ar,ngdp_rpch,0.5,0.519868001004944,0.308776108369504,0.00340918099775382,0.207682711637686,2.64243915225016,3.79126213947349,3.21685064586182,0.486956521739131,0.8,0.2,0.469565217391304,0.956521739130435,1
ar,ngdp_rpch,1,0.975483223974843,0.526681194475851,2.90171207881834e-05,0.448773012378204,4.87594998865632,7.31978950785605,6.09786974825619,0.545454545454545,0.809090909090909,0.190909090909091,0.445454545454545,0.990909090909091,1
ar,ngdp_rpch,1.5,1.16571322292681,0.569372669194237,4.57167192928644e-05,0.596294837013277,5.79598547924707,8.82430076041846,7.31014311983277,0.481818181818182,0.745454545454546,0.254545454545455,0.509090909090909,0.990909090909091,1
ar,pcpi_pch,0,0.155155288895404,0.0757177794236153,0.0540852624442637,0.0253522470275248,0.740300976434115,1.25235333682279,0.996327156628452,0.626086956521739,0.808695652173913,0.0521739130434783,0.121739130434783,0.747826086956522,0.860869565217391
ar,pcpi_pch,0.5,0.351838746618776,0.293803595759034,0.0282982473960819,0.0297369034636609,1.70963886655062,2.76267776599897,2.2361583162748,0.747826086956522,0.939130434782609,0.0434782608695652,0.191304347826087,0.939130434782609,0.982608695652174
ar,pcpi_pch,1,0.744161227173144,0.644262953446683,0.00657193676565168,0.0933263369608093,3.5305859586843,6.05675964675214,4.79367280271822,0.8,0.954545454545455,0.0454545454545455,0.172727272727273,0.972727272727273,1
ar,pcpi_pch,1.5,1.02345343278996,0.84295652451496,0.00147281207002464,0.179024096204979,5.12293502056686,7.66173110438211,6.39233306247448,0.536363636363636,0.945454545454546,0.0545454545454545,0.445454545454545,0.981818181818182,1
ar_bic,ngdp_rpch,0,0.357769359012247,0.0820244439182726,0.04417727951072,0.231567635583255,1.69908841489545,2.90766614300631,2.30337727895088,0.269565217391304,0.434782608695652,0.4,0.51304347826087,0.782608695652174,0.834782608695652
ar_bic,ngdp_rpch,0.5,0.511341449000892,0.30875781835987,0.00526705306098795,0.197316577580034,2.59262015328688,3.74527859680063,3.16894937504376,0.51304347826087,0.8,0.2,0.434782608695652,0.947826086956522,1
ar_bic,ngdp_rpch,1,0.962307877881757,0.530583352356895,2.90171207881834e-05,0.431695508404074,4.81680966442801,7.20413339656513,6.01047153049657,0.563636363636364,0.809090909090909,0.190909090909091,0.427272727272727,0.990909090909091,1
ar_bic,ngdp_rpch,1.5,1.1571539531441,0.577521696595297,4.57167192928644e-05,0.57958653982951,5.74599376106455,8.7780946602206,7.26204421064258,0.509090909090909,0.754545454545455,0.245454545454545,0.481818181818182,0.990909090909091,1
ar_bic,pcpi_pch,0,0.154563124460847,0.0655528087143947,0.062612618143119,0.026397697603333,0.731770510039187,1.26183621411897,0.996803362079076,0.530434782608696,0.782608695652174,0.0608695652173913,0.11304347826087,0.643478260869565,0.843478260869565
ar_bic,pcpi_pch,0.5,0.298875012334616,0.232029740698766,0.0463500073662844,0.0204952642695658,1.45128629628626,2.34928450597668,1.90028540113147,0.669565217391304,0.930434782608696,0.0260869565217391,0.156521739130435,0.826086956521739,0.956521739130435
ar_bic,pcpi_pch,1,0.654543469400241,0.497499926407938,0.0250404442253497,0.132003098766953,3.14065001356701,5.2392443540873,4.18994718382715,0.736363636363636,0.9,0.0727272727272727,0.154545454545455,0.890909090909091,0.972727272727273
ar_bic,pcpi_pch,1.5,0.823226878276383,0.680518754520231,0.028753828688758,0.113954295067394,4.02784323913318,6.3949294676947,5.21138635341394,0.681818181818182,0.927272727272727,0.0454545454545455,0.245454545454545,0.927272727272727,0.972727272727273
bvar_ciss,ngdp_rpch,0,0.382707082916355,0.0482833297498252,0.111778167067884,0.222645586098646,1.71000131864548,3.37913836171338,2.54456984017943,0.116666666666667,0.266666666666667,0.433333333333333,0.483333333333333,0.6,0.7
bvar_ciss,ngdp_rpch,0.5,0.588953113951055,0.223739652411173,0.168186182602125,0.197027278937756,2.9302471316639,4.45344444986135,3.69184579076262,0.35,0.633333333333333,0.25,0.45,0.8,0.883333333333333
bvar_ciss,ngdp_rpch,1,0.750696285644237,0.422606890641181,0.0373429605538171,0.290746434449239,3.73537446777271,5.67548954345297,4.70543200561284,0.527272727272727,0.8,0.163636363636364,0.363636363636364,0.890909090909091,0.963636363636364
bvar_ciss,ngdp_rpch,1.5,1.41205380098338,0.542403556142978,0.284163874347522,0.585486370492878,6.98662646170805,10.7745098653975,8.88056816355275,0.436363636363636,0.727272727272727,0.236363636363636,0.418181818181818,0.854545454545455,0.963636363636364
bvar_ciss,pcpi_pch,0,0.138857980547108,0.0360655845665566,0.0758420359814031,0.0269503599991479,0.660130416631434,1.12683356936357,0.893481992997501,0.266666666666667,0.466666666666667,0.166666666666667,0.283333333333333,0.55,0.633333333333333
