model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0,0.217067754298172,0.106983980272222,0.0511424704128204,0.0589413036131289,0.521147029122881,0.935801926433578,0.72847447777823,0.45,0.666666666666667,0.2,0.283333333333333,0.733333333333333,0.866666666666667
IMF,directional,rolling window,ngdp_rpch,0.5,0.360033656651212,0.187990251649505,0.0950700517851637,0.0769733532165442,0.939080933215011,1.57168597011021,1.25538345166261,0.483333333333333,0.65,0.2,0.333333333333333,0.816666666666667,0.85
IMF,directional,rolling window,ngdp_rpch,1,0.839455134520593,0.310571309091904,0.13784104029513,0.39104278513356,1.61849654808426,2.62683309441391,2.12266482124909,0.366666666666667,0.7,0.216666666666667,0.433333333333333,0.8,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,1.5,1.09285181671261,0.334497359095638,0.242128198316202,0.516226259300771,1.80993131555897,2.7933397777007,2.30163554662984,0.35,0.516666666666667,0.333333333333333,0.4,0.75,0.85
IMF,directional,rolling window,pcpi_pch,0,0.124708100997424,0.0532616517926075,0.0274619718700235,0.0439844773347929,0.271391916191261,0.449291866661665,0.360341891426463,0.4,0.633333333333333,0.15,0.266666666666667,0.666666666666667,0.783333333333333
IMF,directional,rolling window,pcpi_pch,0.5,0.244841309956694,0.105859861893851,0.100459485174292,0.0385219628885513,0.529604544070402,0.913399937122736,0.721502240596569,0.4,0.666666666666667,0.0666666666666667,0.166666666666667,0.566666666666667,0.733333333333333
IMF,directional,rolling window,pcpi_pch,1,0.531478118751556,0.174967528812725,0.264170893212134,0.0923396967266971,0.929580333301933,1.48261763670758,1.20609898500476,0.316666666666667,0.533333333333333,0.116666666666667,0.15,0.466666666666667,0.65
IMF,directional,rolling window,pcpi_pch,1.5,0.570039087246261,0.208798870408199,0.265719802528393,0.095520414309669,1.07627880876144,1.79435881585786,1.43531881230965,0.366666666666667,0.516666666666667,0.1,0.116666666666667,0.483333333333333,0.616666666666667
ar,directional,rolling window,ngdp_rpch,0,0.286669169276225,0.133180118038764,0.0762941821071844,0.0771948691302762,0.695708915547993,1.05881937536777,0.877264145457884,0.416666666666667,0.666666666666667,0.15,0.266666666666667,0.683333333333333,0.816666666666667
ar,directional,rolling window,ngdp_rpch,0.5,0.424784502718044,0.17422267008847,0.0864223333923003,0.164139499237274,0.879950685545228,1.50064162275948,1.19029615415235,0.45,0.616666666666667,0.233333333333333,0.316666666666667,0.766666666666667,0.85
ar,directional,rolling window,ngdp_rpch,1,0.851295895743176,0.235038473896359,0.0653355515905276,0.55092187025629,1.2210770235387,2.16038212561009,1.69072957457439,0.416666666666667,0.666666666666667,0.233333333333333,0.433333333333333,0.85,0.9
ar,directional,rolling window,ngdp_rpch,1.5,1.03009747515921,0.286123423054646,0.0856868941669714,0.658287157937588,1.52922898753339,2.50813390886311,2.01868144819825,0.366666666666667,0.566666666666667,0.333333333333333,0.45,0.816666666666667,0.9
ar,directional,rolling window,pcpi_pch,0,0.118240380148497,0.0562331220354758,0.0284683888454289,0.0335388692675928,0.282081101506274,0.475375175027308,0.378728138266791,0.366666666666667,0.633333333333333,0.166666666666667,0.283333333333333,0.65,0.8
ar,directional,rolling window,pcpi_pch,0.5,0.257046739150412,0.120951722853534,0.104476169111745,0.0316188471851328,0.611286262881376,1.01548444801289,0.813385355447135,0.416666666666667,0.65,0.0833333333333333,0.183333333333333,0.6,0.733333333333333
ar,directional,rolling window,pcpi_pch,1,0.584752234430464,0.143567682526325,0.220773332538252,0.220411219365886,0.753445920927379,1.34223780772447,1.04784186432592,0.383333333333333,0.566666666666667,0.15,0.2,0.583333333333333,0.716666666666667
ar,directional,rolling window,pcpi_pch,1.5,0.651757833098742,0.203831437440042,0.322850130324186,0.125076265334514,1.04872829642412,1.83461950276954,1.44167389959683,0.25,0.533333333333333,0.116666666666667,0.15,0.4,0.65
ar_bic,directional,rolling window,ngdp_rpch,0,0.289760919657983,0.132928369896497,0.0803495253123599,0.0764830244491258,0.694487975906818,1.05899491419232,0.876741445049571,0.433333333333333,0.666666666666667,0.15,0.25,0.683333333333333,0.816666666666667
