target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.160591862074402,0.109019607654057,0.051572254420345,0,0.833632661833304,1.12775558690477,0.980694124369039,0.6,0.8,0,0,0.6,0.8
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.120320495414309,0.112480722258228,0,0.0078397731560804,0.580725440218283,0.954596307740468,0.767660873979376,0.6,1,0,0.4,1,1
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.105348968222018,0.102812771525505,0,0.00253619669651299,0.482272634656829,0.90129777779828,0.691785206227555,0.8,1,0,0.2,1,1
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.100403784790182,0.100403784790182,0,0,0.454412402586583,0.87204468933718,0.663228545961881,1,1,0,0,1,1
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.22475312405311,0.100022958786403,0.124730165266707,0,1.09393176920879,1.76023305804022,1.42708241362451,0.6,0.8,0,0,0.6,0.8
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.134493491017463,0.0918069144000049,0,0.042686576617458,0.730196499846236,0.864378570733668,0.797287535289952,0.6,0.8,0.2,0.4,1,1
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.123986560945666,0.0904685731187027,0.033517987826963,0,0.636670353231957,0.88805533583342,0.762362844532689,0.6,0.8,0,0,0.6,0.8
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.05373309862637,0.0794063789893175,0.974326719637052,0,4.51062628854647,9.79809625116121,7.15436126985384,0.2,0.2,0,0,0.2,0.2
2021,ngdp_rpch,0,rolling window,absolute,IMF,0.376462381561275,0.0908590605654643,0.255197035407858,0.0304062855879529,1.77895647064112,3.08185645462269,2.43040646263191,0,0.2,0.2,0.4,0.4,0.4
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.213100803165696,0.0965231056178209,0.116577697547875,0,1.07958252652597,1.56305974699899,1.32132113676248,0.2,0.6,0,0,0.2,0.6
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.186797280877311,0.105617232554973,0.0811800483223376,0,0.936102335588919,1.39568977857391,1.16589605708142,0.4,0.8,0,0,0.4,0.8
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.299107310925867,0.195190163661491,0.103917147264376,0,1.54347243908057,2.12346512081592,1.83346877994824,0.6,0.8,0,0,0.6,0.8
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.341644493336884,0.207996338021405,0,0.133648155315479,1.79714072902678,2.34003804417073,2.06858938659876,0.6,0.6,0.4,0.4,1,1
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.213273277363431,0.196257388328394,0,0.017015889035037,1.0309552751012,1.68807735951563,1.35951631730841,0.8,1,0,0.2,1,1
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.2990942941815,0.196257388328394,0.011785029506302,0.091051876346804,1.42730025471513,2.41363524684219,1.92046775077866,0.6,0.8,0.2,0.2,0.8,1
