target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,absolute,IMF,0.253701129771927
ngdp_rpch,0.5,rolling window,absolute,IMF,0.46305342255313
ngdp_rpch,1,rolling window,absolute,IMF,1.02909585715899
ngdp_rpch,1.5,rolling window,absolute,IMF,1.28712469886898
pcpi_pch,0,rolling window,absolute,IMF,0.141782936226639
pcpi_pch,0.5,rolling window,absolute,IMF,0.311877518909885
pcpi_pch,1,rolling window,absolute,IMF,0.590402610893665
pcpi_pch,1.5,rolling window,absolute,IMF,0.659130134529703
ngdp_rpch,0,rolling window,absolute,ar,0.355936984639823
ngdp_rpch,0.5,rolling window,absolute,ar,0.623972443593963
ngdp_rpch,1,rolling window,absolute,ar,1.27320664053468
ngdp_rpch,1.5,rolling window,absolute,ar,1.5208475722113
pcpi_pch,0,rolling window,absolute,ar,0.164418945739262
pcpi_pch,0.5,rolling window,absolute,ar,0.318935207495053
pcpi_pch,1,rolling window,absolute,ar,0.81258556779354
pcpi_pch,1.5,rolling window,absolute,ar,1.25042754292548
ngdp_rpch,0,rolling window,absolute,ar-direct,0.371005589367771
ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.585863236333629
ngdp_rpch,1,rolling window,absolute,ar-direct,1.23315891291289
ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.48021679248819
pcpi_pch,0,rolling window,absolute,ar-direct,0.143115559845387
pcpi_pch,0.5,rolling window,absolute,ar-direct,0.323014550624308
pcpi_pch,1,rolling window,absolute,ar-direct,0.800536135690964
pcpi_pch,1.5,rolling window,absolute,ar-direct,1.12720085070019
ngdp_rpch,0,rolling window,absolute,ar_bic,0.353896243849401
ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.606859526563224
ngdp_rpch,1,rolling window,absolute,ar_bic,1.25321761389406
ngdp_rpch,1.5,rolling window,absolute,ar_bic,1.50746227857372
pcpi_pch,0,rolling window,absolute,ar_bic,0.159180115158583
pcpi_pch,0.5,rolling window,absolute,ar_bic,0.282577784247221
pcpi_pch,1,rolling window,absolute,ar_bic,0.726499406218265
pcpi_pch,1.5,rolling window,absolute,ar_bic,0.885955019777485
ngdp_rpch,0,rolling window,absolute,ar_bic-direct,0.369366847335953
ngdp_rpch,0.5,rolling window,absolute,ar_bic-direct,0.563257208983513
ngdp_rpch,1,rolling window,absolute,ar_bic-direct,1.19938013354884
ngdp_rpch,1.5,rolling window,absolute,ar_bic-direct,1.45304801777018
pcpi_pch,0,rolling window,absolute,ar_bic-direct,0.143714770927189
pcpi_pch,0.5,rolling window,absolute,ar_bic-direct,0.279395726604465
pcpi_pch,1,rolling window,absolute,ar_bic-direct,0.705021579076884
pcpi_pch,1.5,rolling window,absolute,ar_bic-direct,0.795875756816145
ngdp_rpch,0,rolling window,absolute,bvar,0.350725741176051
ngdp_rpch,0.5,rolling window,absolute,bvar,0.581234692934087
ngdp_rpch,1,rolling window,absolute,bvar,1.12201050012723
ngdp_rpch,1.5,rolling window,absolute,bvar,1.34485686111666
pcpi_pch,0,rolling window,absolute,bvar,0.167872420240434
pcpi_pch,0.5,rolling window,absolute,bvar,0.329838233972719
pcpi_pch,1,rolling window,absolute,bvar,0.653819150653547
pcpi_pch,1.5,rolling window,absolute,bvar,0.943818975507265
ngdp_rpch,0,rolling window,absolute,bvar_const,0.353224379696256
ngdp_rpch,0.5,rolling window,absolute,bvar_const,0.598187581728266
ngdp_rpch,1,rolling window,absolute,bvar_const,1.19736774379086
ngdp_rpch,1.5,rolling window,absolute,bvar_const,1.40804379577678
pcpi_pch,0,rolling window,absolute,bvar_const,0.16609154348814
pcpi_pch,0.5,rolling window,absolute,bvar_const,0.333169197429358
pcpi_pch,1,rolling window,absolute,bvar_const,0.788447024352169
pcpi_pch,1.5,rolling window,absolute,bvar_const,1.26216072564215
ngdp_rpch,0,rolling window,absolute,bvar_const-direct,0.376937270381509
ngdp_rpch,0.5,rolling window,absolute,bvar_const-direct,0.560025038173458
ngdp_rpch,1,rolling window,absolute,bvar_const-direct,1.1277408986429
ngdp_rpch,1.5,rolling window,absolute,bvar_const-direct,1.34153221848687
pcpi_pch,0,rolling window,absolute,bvar_const-direct,0.144687488191823
pcpi_pch,0.5,rolling window,absolute,bvar_const-direct,0.337935850993653
pcpi_pch,1,rolling window,absolute,bvar_const-direct,0.793453304954239
pcpi_pch,1.5,rolling window,absolute,bvar_const-direct,1.15436195709732
ngdp_rpch,0,rolling window,absolute,bvar_qu-direct,0.393631698095965
ngdp_rpch,0.5,rolling window,absolute,bvar_qu-direct,0.555699041269783
ngdp_rpch,1,rolling window,absolute,bvar_qu-direct,1.06007603199586
ngdp_rpch,1.5,rolling window,absolute,bvar_qu-direct,1.30330826920486
pcpi_pch,0,rolling window,absolute,bvar_qu-direct,0.152297364314445
pcpi_pch,0.5,rolling window,absolute,bvar_qu-direct,0.299023486436959
pcpi_pch,1,rolling window,absolute,bvar_qu-direct,0.621797242128012
pcpi_pch,1.5,rolling window,absolute,bvar_qu-direct,0.826843371738439
ngdp_rpch,0,rolling window,absolute,mean_ensemble,0.275832590655171
ngdp_rpch,0.5,rolling window,absolute,mean_ensemble,0.51180907271638
ngdp_rpch,1,rolling window,absolute,mean_ensemble,1.12184894676782
ngdp_rpch,1.5,rolling window,absolute,mean_ensemble,1.34730664026118
pcpi_pch,0,rolling window,absolute,mean_ensemble,0.138966556383853
pcpi_pch,0.5,rolling window,absolute,mean_ensemble,0.265803424996559
pcpi_pch,1,rolling window,absolute,mean_ensemble,0.610681382853518
pcpi_pch,1.5,rolling window,absolute,mean_ensemble,0.860280741127697
