target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,absolute,IMF,0.288488805066998
ngdp_rpch,0.5,rolling window,absolute,IMF,0.562149060450163
ngdp_rpch,1,rolling window,absolute,IMF,1.31001488206448
ngdp_rpch,1.5,rolling window,absolute,IMF,1.43841858356542
pcpi_pch,0,rolling window,absolute,IMF,0.108442726521118
pcpi_pch,0.5,rolling window,absolute,IMF,0.479989655479997
pcpi_pch,1,rolling window,absolute,IMF,1.02178556200075
pcpi_pch,1.5,rolling window,absolute,IMF,1.26473839572424
ngdp_rpch,0,rolling window,absolute,ar,0.363757736690701
ngdp_rpch,0.5,rolling window,absolute,ar,0.802439324888254
ngdp_rpch,1,rolling window,absolute,ar,1.56980990865475
ngdp_rpch,1.5,rolling window,absolute,ar,1.83908740487435
pcpi_pch,0,rolling window,absolute,ar,0.241745073547364
pcpi_pch,0.5,rolling window,absolute,ar,0.495286863944433
pcpi_pch,1,rolling window,absolute,ar,1.14680386841854
pcpi_pch,1.5,rolling window,absolute,ar,1.4550333886632
ngdp_rpch,0,rolling window,absolute,ar-direct,0.327291073156043
ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.744513080120433
ngdp_rpch,1,rolling window,absolute,ar-direct,1.48348104810195
ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.73797857794641
pcpi_pch,0,rolling window,absolute,ar-direct,0.232160572701633
pcpi_pch,0.5,rolling window,absolute,ar-direct,0.480043498532416
pcpi_pch,1,rolling window,absolute,ar-direct,1.11602241127598
pcpi_pch,1.5,rolling window,absolute,ar-direct,1.40294041397039
ngdp_rpch,0,rolling window,absolute,ar_annual-direct,1.83834460448996
ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,1.84220023658164
ngdp_rpch,1,rolling window,absolute,ar_annual-direct,1.64858827216259
ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,1.64971209224488
pcpi_pch,0,rolling window,absolute,ar_annual-direct,1.13281057236712
pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,1.13318783422122
pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.55753954949724
pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.55738196314463
ngdp_rpch,0,rolling window,absolute,ar_bic,0.360992280176414
ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.741563840959129
ngdp_rpch,1,rolling window,absolute,ar_bic,1.51830458388016
ngdp_rpch,1.5,rolling window,absolute,ar_bic,1.89043136349961
pcpi_pch,0,rolling window,absolute,ar_bic,0.226721035555105
pcpi_pch,0.5,rolling window,absolute,ar_bic,0.520828929369423
pcpi_pch,1,rolling window,absolute,ar_bic,1.02771560572416
pcpi_pch,1.5,rolling window,absolute,ar_bic,1.20355107182512
ngdp_rpch,0,rolling window,absolute,ar_bic-direct,0.324295618101935
ngdp_rpch,0.5,rolling window,absolute,ar_bic-direct,0.696477490368671
ngdp_rpch,1,rolling window,absolute,ar_bic-direct,1.43221220334687
ngdp_rpch,1.5,rolling window,absolute,ar_bic-direct,1.76497072212395
