model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.64653529811536,0.284771152824065,0.0605495134933812,0.301214631797914,3.20783553778068,4.91111711785551,4.05947632781809,0.4625,0.708333333333333,0.229166666666667,0.3875,0.85,0.9375
IMF,absolute,rolling window,pcpi_pch,0.357026468111677,0.172105775337692,0.132451122280278,0.0524695704937068,1.79918074768121,2.64257749303052,2.22087912035587,0.416666666666667,0.6875,0.0833333333333333,0.141666666666667,0.558333333333333,0.770833333333333
ar,absolute,rolling window,ngdp_rpch,0.811494300534866,0.331748316152536,0.0111303515165737,0.468615632865757,3.9518614237022,6.35023245144183,5.15104693757202,0.4125,0.695833333333333,0.283333333333333,0.504166666666667,0.916666666666667,0.979166666666667
ar,absolute,rolling window,pcpi_pch,0.49939896947524,0.33483458179894,0.0312747108966235,0.133289676779677,2.5615194133648,3.58418085609282,3.07285013472881,0.575,0.770833333333333,0.133333333333333,0.25,0.825,0.904166666666667
ar_bic,absolute,rolling window,ngdp_rpch,0.799138689922901,0.3297578352826,0.0121444390565005,0.457236415583801,3.88554736845303,6.26890537732545,5.07722637288924,0.433333333333333,0.704166666666667,0.275,0.475,0.908333333333333,0.979166666666667
ar_bic,absolute,rolling window,pcpi_pch,0.424228550009872,0.222506509141108,0.0711924173587205,0.130529623510044,2.08693944047099,3.26722239901997,2.67708091974548,0.533333333333333,0.745833333333333,0.1125,0.191666666666667,0.725,0.858333333333333
bvar,absolute,rolling window,ngdp_rpch,0.742453257953016,0.274212917865292,0.0222965254625838,0.44594381462514,3.58740440935085,5.8805541356832,4.73397927251702,0.4,0.708333333333333,0.2625,0.5,0.9,0.970833333333333
bvar,absolute,rolling window,pcpi_pch,0.418632592627172,0.259883092319999,0.059636884975566,0.0991126153316069,2.12501612840338,3.060111531535,2.59256382996919,0.545833333333333,0.745833333333333,0.0958333333333333,0.1875,0.733333333333333,0.841666666666667
bvar_const,absolute,rolling window,ngdp_rpch,0.770477706860204,0.301754396924226,0.0203019290852937,0.448421380850685,3.7530709570198,6.0268767446546,4.8899738508372,0.4125,0.704166666666667,0.275,0.504166666666667,0.916666666666667,0.979166666666667
bvar_const,absolute,rolling window,pcpi_pch,0.500098947554113,0.33508710892967,0.0419418138245606,0.123070024799882,2.56692753695332,3.58466010869896,3.07579382282614,0.566666666666667,0.75,0.133333333333333,0.229166666666667,0.795833333333333,0.883333333333333
mean_ensemble,absolute,rolling window,ngdp_rpch,0.706656779196877,0.306091288633609,0.0170076856012387,0.383557804962029,3.44633903616019,5.51728799353707,4.48181351484863,0.5125,0.741666666666667,0.2375,0.425,0.9375,0.979166666666667
mean_ensemble,absolute,rolling window,pcpi_pch,0.393056236580093,0.280675822022101,0.0267613518578884,0.0856190627001039,2.00157200331141,2.85719472332333,2.42938336331737,0.7125,0.8375,0.0875,0.129166666666667,0.841666666666667,0.925
