model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0.627352090545647,0.235010725027317,0.131545440202329,0.260795925316001,3.06960902615808,4.87301924551774,3.97131413583791,0.4125,0.633333333333333,0.2375,0.3625,0.775,0.870833333333333
IMF,directional,rolling window,pcpi_pch,0.367766654237984,0.135721978226845,0.164453038196211,0.0675916378149276,1.79709472773466,2.86259626542302,2.32984549657884,0.370833333333333,0.5875,0.108333333333333,0.175,0.545833333333333,0.695833333333333
ar,directional,rolling window,ngdp_rpch,0.648211760724163,0.20714117126956,0.0784347403142459,0.362635849140357,3.07924299212216,5.26612773417786,4.17268536315001,0.4125,0.629166666666667,0.2375,0.366666666666667,0.779166666666667,0.866666666666667
ar,directional,rolling window,pcpi_pch,0.402949296707029,0.131145991213844,0.169142005204903,0.102661300288282,1.91932994254194,3.26066107778572,2.58999551016383,0.354166666666667,0.595833333333333,0.129166666666667,0.204166666666667,0.558333333333333,0.725
ar_bic,directional,rolling window,ngdp_rpch,0.6555330626749,0.207261530934648,0.0937475978724217,0.35452393386783,3.11121472569205,5.33262443926789,4.22191958247997,0.404166666666667,0.6375,0.220833333333333,0.354166666666667,0.758333333333333,0.858333333333333
ar_bic,directional,rolling window,pcpi_pch,0.430919355111549,0.143629130776868,0.168901345801568,0.118388878533113,2.07347539706885,3.43469860955887,2.75408700331386,0.366666666666667,0.608333333333333,0.125,0.195833333333333,0.5625,0.733333333333333
bvar,directional,rolling window,ngdp_rpch,0.64731705262095,0.212689185962318,0.0975122980415336,0.337115568617099,3.05979661776789,5.29684950799928,4.17832306288359,0.4125,0.654166666666667,0.2,0.341666666666667,0.754166666666667,0.854166666666667
bvar,directional,rolling window,pcpi_pch,0.420822969088674,0.131955914849287,0.20505219850182,0.0838148557375669,2.05233206156966,3.28562922784935,2.6689806447095,0.295833333333333,0.591666666666667,0.104166666666667,0.204166666666667,0.5,0.695833333333333
bvar_const,directional,rolling window,ngdp_rpch,0.645691189085974,0.208565037992773,0.102682981710204,0.334443169382996,3.05582533128009,5.27426045351924,4.16504289239967,0.395833333333333,0.6375,0.208333333333333,0.341666666666667,0.7375,0.845833333333333
bvar_const,directional,rolling window,pcpi_pch,0.431412425806905,0.133608408563605,0.203123539132268,0.0946804781110319,2.06942853910473,3.45467716837627,2.7620528537405,0.320833333333333,0.575,0.125,0.220833333333333,0.541666666666667,0.7
mean_ensemble,directional,rolling window,ngdp_rpch,0.598188159442996,0.218280360753065,0.080343927349614,0.299563871340317,2.87416977541855,4.77833875031354,3.82625426286605,0.45,0.7,0.175,0.341666666666667,0.791666666666667,0.875
mean_ensemble,directional,rolling window,pcpi_pch,0.359294926761968,0.132941294763326,0.150766271261391,0.0755873607372506,1.74447381885589,2.82471398809963,2.28459390347776,0.3875,0.658333333333333,0.0958333333333333,0.175,0.5625,0.754166666666667
