model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.801314304895142,0.266428743567447,0.128774133862499,0.406111427465197,3.66795827303383,6.85639041531829,5.26217434417606,0.55,0.731818181818182,0.131818181818182,0.209090909090909,0.759090909090909,0.863636363636364
IMF,absolute,rolling window,pcpi_pch,0.634157766566223,0.212304452847084,0.381921892951295,0.0399314207678436,2.95493755193261,5.29581145149292,4.12537450171277,0.495454545454546,0.722727272727273,0.0863636363636364,0.245454545454545,0.740909090909091,0.809090909090909
ar,absolute,rolling window,ngdp_rpch,0.992160866098419,0.381571131007632,0.0883992410622495,0.522190494028537,4.62252492389596,8.2869050122285,6.45471496806223,0.545454545454545,0.795454545454545,0.163636363636364,0.386363636363636,0.931818181818182,0.959090909090909
ar,absolute,rolling window,pcpi_pch,0.706897308266926,0.316723524940918,0.225381662435974,0.164792120890034,3.54270856462473,5.28117475377668,4.4119416592007,0.372727272727273,0.65,0.186363636363636,0.395454545454545,0.768181818181818,0.836363636363636
ar_bic,absolute,rolling window,ngdp_rpch,0.985985476683996,0.358238347572226,0.119570862514241,0.508176266597529,4.56076138865638,8.31780606203897,6.43928372534767,0.540909090909091,0.795454545454545,0.159090909090909,0.386363636363636,0.927272727272727,0.954545454545455
ar_bic,absolute,rolling window,pcpi_pch,0.658320897756895,0.220775833738401,0.325046360575979,0.112498703442515,3.14911160060732,5.2936389536196,4.22137527711346,0.336363636363636,0.627272727272727,0.15,0.327272727272727,0.663636363636364,0.777272727272727
bvar,absolute,rolling window,ngdp_rpch,1.006089626387,0.318100821239109,0.104267622064798,0.583721183083096,4.60269801201193,8.61504749771024,6.60887275486108,0.509090909090909,0.777272727272727,0.190909090909091,0.413636363636364,0.922727272727273,0.968181818181818
bvar,absolute,rolling window,pcpi_pch,0.683089909847421,0.23700581328156,0.319909737042644,0.126174359523217,3.29402593285203,5.42673336481834,4.36037964883519,0.363636363636364,0.631818181818182,0.177272727272727,0.35,0.713636363636364,0.809090909090909
bvar_const,absolute,rolling window,ngdp_rpch,0.960582230275652,0.336101543583626,0.139154353270665,0.485326333421362,4.42739757432361,8.14315066970402,6.28527412201381,0.527272727272727,0.813636363636364,0.136363636363636,0.372727272727273,0.9,0.95
bvar_const,absolute,rolling window,pcpi_pch,0.709423805414075,0.30437019525153,0.251531423471609,0.153522186690936,3.54728591064703,5.32026133166393,4.43377362115548,0.363636363636364,0.663636363636364,0.172727272727273,0.386363636363636,0.75,0.836363636363636
mean_ensemble,absolute,rolling window,ngdp_rpch,0.846650101794123,0.328033806052902,0.088468289080542,0.430148006660679,3.88799502553922,7.21301447203441,5.55050474878682,0.636363636363636,0.818181818181818,0.131818181818182,0.281818181818182,0.918181818181818,0.95
mean_ensemble,absolute,rolling window,pcpi_pch,0.626344553058781,0.277799391013177,0.254370727245245,0.0941744348003592,3.09933200444302,4.77856105006807,3.93894652725554,0.436363636363636,0.695454545454545,0.145454545454545,0.318181818181818,0.754545454545455,0.840909090909091
