model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,DEU,ngdp_rpch,0,0.51413114052063,0.068398693828371,0.103347786305076,0.342384660387183,0.504330371436248,0.777238758878967,0.0869565217391304,0.0869565217391304,0.173913043478261,0.260869565217391,0.347826086956522,0.347826086956522,0.347826086956522,0.478260869565217,0.521739130434783,0.260869565217391,0.304347826086957,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.478260869565217,0.478260869565217,0.565217391304348,0.565217391304348,0.608695652173913,0.695652173913044,0.739130434782609,0.739130434782609,0.739130434782609,0.782608695652174,0.782608695652174
ar,DEU,ngdp_rpch,0.5,0.719620506033816,0.259861566194269,0.0418056472074614,0.417953292632085,1.59084731850975,2.84718081918318,0.173913043478261,0.347826086956522,0.347826086956522,0.521739130434783,0.565217391304348,0.695652173913044,0.782608695652174,0.782608695652174,0.91304347826087,0.0869565217391304,0.217391304347826,0.217391304347826,0.260869565217391,0.304347826086957,0.347826086956522,0.478260869565217,0.478260869565217,0.608695652173913,0.782608695652174,0.826086956521739,0.826086956521739,0.869565217391304,0.869565217391304,0.956521739130435,1,1,1
ar,DEU,ngdp_rpch,1,1.10582355716702,0.433696671341108,0.0143801644766536,0.657746721349254,2.62916133340853,4.7403595033344,0.181818181818182,0.181818181818182,0.318181818181818,0.363636363636364,0.545454545454545,0.681818181818182,0.727272727272727,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.318181818181818,0.454545454545455,0.590909090909091,0.636363636363636,0.772727272727273,0.772727272727273,0.954545454545455,0.954545454545455,0.954545454545455,0.954545454545455,1,1,1,1,1
ar,DEU,ngdp_rpch,1.5,1.27898859435541,0.463401959716137,0.016901040135268,0.798685594504002,2.83178199053202,5.06997010442836,0.136363636363636,0.181818181818182,0.272727272727273,0.318181818181818,0.454545454545455,0.636363636363636,0.727272727272727,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.363636363636364,0.545454545454545,0.636363636363636,0.681818181818182,0.727272727272727,0.772727272727273,0.909090909090909,0.909090909090909,0.954545454545455,0.954545454545455,1,1,1,1,1
ar,FRA,ngdp_rpch,0,0.281123383970066,0.0765675459244676,0.0153893580365914,0.189166480009007,0.490118782402576,0.839512566168143,0.0434782608695652,0.130434782608696,0.130434782608696,0.173913043478261,0.217391304347826,0.260869565217391,0.347826086956522,0.521739130434783,0.739130434782609,0.260869565217391,0.434782608695652,0.608695652173913,0.695652173913044,0.695652173913044,0.739130434782609,0.782608695652174,0.782608695652174,0.826086956521739,0.869565217391304,0.91304347826087,0.91304347826087,0.91304347826087,0.91304347826087,0.956521739130435,0.956521739130435,0.956521739130435,1
ar,FRA,ngdp_rpch,0.5,0.627066437364768,0.232116671156341,0.00636440368226362,0.388585362526164,1.41410170434361,2.52998813738524,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.130434782608696,0.260869565217391,0.391304347826087,0.652173913043478,0.739130434782609,0.91304347826087,0.0869565217391304,0.260869565217391,0.347826086956522,0.608695652173913,0.739130434782609,0.826086956521739,0.869565217391304,0.869565217391304,0.869565217391304,0.91304347826087,0.956521739130435,0.956521739130435,0.956521739130435,1,1,1,1,1
ar,FRA,ngdp_rpch,1,1.1746373567991,0.36283635380302,0,0.811801002996078,2.26851623791299,3.97612072398737,0.0909090909090909,0.181818181818182,0.181818181818182,0.227272727272727,0.363636363636364,0.5,0.545454545454545,0.727272727272727,0.772727272727273,0.227272727272727,0.272727272727273,0.454545454545455,0.5,0.636363636363636,0.772727272727273,0.818181818181818,0.818181818181818,0.909090909090909,1,1,1,1,1,1,1,1,1
ar,FRA,ngdp_rpch,1.5,1.357873542162,0.380078806464758,3.70727661736915e-05,0.977757662931069,2.41001153648537,4.17288283775469,0.0909090909090909,0.0909090909090909,0.136363636363636,0.181818181818182,0.272727272727273,0.454545454545455,0.5,0.590909090909091,0.772727272727273,0.227272727272727,0.409090909090909,0.5,0.545454545454545,0.727272727272727,0.818181818181818,0.863636363636364,0.909090909090909,0.909090909090909,1,1,1,1,1,1,1,1,1
ar,GBR,ngdp_rpch,0,0.513815251317612,0.0638752127824755,0.061523387455189,0.388416651079948,0.481029800866172,0.72800037114547,0.0869565217391304,0.130434782608696,0.130434782608696,0.130434782608696,0.217391304347826,0.217391304347826,0.217391304347826,0.304347826086957,0.391304347826087,0.521739130434783,0.521739130434783,0.565217391304348,0.565217391304348,0.565217391304348,0.608695652173913,0.608695652173913,0.608695652173913,0.652173913043478,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.782608695652174,0.782608695652174,0.782608695652174,0.826086956521739,0.91304347826087
ar,GBR,ngdp_rpch,0.5,0.579200544945191,0.237708804771022,0.0204096352361174,0.321082104938051,1.43491322013534,2.59043678841233,0.173913043478261,0.217391304347826,0.217391304347826,0.304347826086957,0.434782608695652,0.565217391304348,0.695652173913044,0.782608695652174,0.869565217391304,0.130434782608696,0.217391304347826,0.304347826086957,0.434782608695652,0.521739130434783,0.608695652173913,0.652173913043478,0.652173913043478,0.695652173913044,0.869565217391304,0.869565217391304,0.869565217391304,0.91304347826087,0.956521739130435,1,1,1,1
ar,GBR,ngdp_rpch,1,0.965265042366585,0.394415307671224,0.0261756151288922,0.544674119566468,2.38849063160804,4.31334943363294,0.0909090909090909,0.363636363636364,0.454545454545455,0.681818181818182,0.681818181818182,0.727272727272727,0.727272727272727,0.863636363636364,0.909090909090909,0.0909090909090909,0.136363636363636,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.409090909090909,0.5,0.727272727272727,0.818181818181818,0.863636363636364,0.863636363636364,0.954545454545455,0.954545454545455,1,1,1,1
ar,GBR,ngdp_rpch,1.5,1.12760275716071,0.419349927596136,0.0283385875239629,0.67991424204061,2.5623023259214,4.59616858516971,0.0909090909090909,0.318181818181818,0.454545454545455,0.636363636363636,0.681818181818182,0.727272727272727,0.772727272727273,0.863636363636364,0.863636363636364,0.136363636363636,0.136363636363636,0.227272727272727,0.272727272727273,0.272727272727273,0.318181818181818,0.454545454545455,0.545454545454545,0.681818181818182,0.772727272727273,0.863636363636364,0.909090909090909,0.954545454545455,0.954545454545455,1,1,1,1
ar,ITA,ngdp_rpch,0,0.266416883345395,0.0617750048783447,0.0228467685287139,0.181795109938336,0.404283127255722,0.684411240770093,0.130434782608696,0.260869565217391,0.304347826086957,0.347826086956522,0.434782608695652,0.521739130434783,0.565217391304348,0.652173913043478,0.695652173913044,0.260869565217391,0.304347826086957,0.347826086956522,0.347826086956522,0.434782608695652,0.478260869565217,0.478260869565217,0.521739130434783,0.565217391304348,0.695652173913044,0.782608695652174,0.782608695652174,0.826086956521739,0.869565217391304,0.869565217391304,0.91304347826087,0.956521739130435,0.956521739130435
ar,ITA,ngdp_rpch,0.5,0.64836923935775,0.262291387880708,0.0030674312926989,0.383010420184343,1.58271072886035,2.86221815183515,0.0434782608695652,0.173913043478261,0.260869565217391,0.391304347826087,0.478260869565217,0.652173913043478,0.695652173913044,0.782608695652174,0.91304347826087,0.0869565217391304,0.217391304347826,0.304347826086957,0.347826086956522,0.521739130434783,0.608695652173913,0.739130434782609,0.782608695652174,0.826086956521739,0.869565217391304,0.956521739130435,1,1,1,1,1,1,1
ar,ITA,ngdp_rpch,1,1.33634023595491,0.475678024611304,0,0.860662211343601,2.91419816254617,5.19419606821389,0.0454545454545455,0.0909090909090909,0.136363636363636,0.227272727272727,0.363636363636364,0.545454545454545,0.636363636363636,0.818181818181818,0.863636363636364,0.136363636363636,0.181818181818182,0.363636363636364,0.454545454545455,0.636363636363636,0.772727272727273,0.863636363636364,0.909090909090909,0.954545454545455,1,1,1,1,1,1,1,1,1
ar,ITA,ngdp_rpch,1.5,1.76468934037276,0.526437217601793,0,1.23825212277096,3.30500732630643,5.76834386411958,0,0.0909090909090909,0.136363636363636,0.181818181818182,0.227272727272727,0.409090909090909,0.545454545454545,0.636363636363636,0.818181818181818,0.181818181818182,0.363636363636364,0.454545454545455,0.590909090909091,0.772727272727273,0.818181818181818,0.863636363636364,0.909090909090909,1,1,1,1,1,1,1,1,1,1
ar,USA,ngdp_rpch,0,0.376383736234885,0.0552879299271788,0.0840782792498159,0.23701752705789,0.399144601709458,0.622471754125891,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.130434782608696,0.130434782608696,0.173913043478261,0.217391304347826,0.260869565217391,0.478260869565217,0.304347826086957,0.434782608695652,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.521739130434783,0.565217391304348,0.565217391304348,0.608695652173913,0.608695652173913,0.652173913043478,0.695652173913044,0.695652173913044,0.782608695652174
ar,USA,ngdp_rpch,0.5,0.436112239112636,0.235270307133214,0.0386284445238201,0.162213487455602,1.38217902079296,2.56004097877016,0.0869565217391304,0.304347826086957,0.391304347826087,0.478260869565217,0.695652173913044,0.739130434782609,0.91304347826087,0.91304347826087,0.956521739130435,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.217391304347826,0.260869565217391,0.347826086956522,0.347826086956522,0.391304347826087,0.521739130434783,0.608695652173913,0.695652173913044,0.739130434782609,0.826086956521739,0.956521739130435,0.956521739130435,1,1,1
