target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,directional,IMF,0.244110494092443
ngdp_rpch,0.5,rolling window,directional,IMF,0.410914028388232
ngdp_rpch,1,rolling window,directional,IMF,0.951902453911023
ngdp_rpch,1.5,rolling window,directional,IMF,1.19950631204206
pcpi_pch,0,rolling window,directional,IMF,0.138399301001012
pcpi_pch,0.5,rolling window,directional,IMF,0.274203725805149
pcpi_pch,1,rolling window,directional,IMF,0.599080828740311
pcpi_pch,1.5,rolling window,directional,IMF,0.646343577347872
ngdp_rpch,0,rolling window,directional,ar,0.328580168975304
ngdp_rpch,0.5,rolling window,directional,ar,0.464344269155186
ngdp_rpch,1,rolling window,directional,ar,0.922304561645018
ngdp_rpch,1.5,rolling window,directional,ar,1.10654173373003
pcpi_pch,0,rolling window,directional,ar,0.138126718382137
pcpi_pch,0.5,rolling window,directional,ar,0.296531223124408
pcpi_pch,1,rolling window,directional,ar,0.624025027883935
pcpi_pch,1.5,rolling window,directional,ar,0.700876627755859
ngdp_rpch,0,rolling window,directional,ar_bic,0.331436312823909
ngdp_rpch,0.5,rolling window,directional,ar_bic,0.482144909829234
ngdp_rpch,1,rolling window,directional,ar_bic,0.914084327700701
ngdp_rpch,1.5,rolling window,directional,ar_bic,1.12874568512794
pcpi_pch,0,rolling window,directional,ar_bic,0.136940266276138
pcpi_pch,0.5,rolling window,directional,ar_bic,0.27485755149489
pcpi_pch,1,rolling window,directional,ar_bic,0.68601024034295
pcpi_pch,1.5,rolling window,directional,ar_bic,0.822123353428133
ngdp_rpch,0,rolling window,directional,bvar,0.332968217872731
ngdp_rpch,0.5,rolling window,directional,bvar,0.49735171597731
ngdp_rpch,1,rolling window,directional,bvar,0.884792475571246
ngdp_rpch,1.5,rolling window,directional,bvar,1.11371171835357
pcpi_pch,0,rolling window,directional,bvar,0.135279122719758
pcpi_pch,0.5,rolling window,directional,bvar,0.312494636973396
pcpi_pch,1,rolling window,directional,bvar,0.609373587235735
pcpi_pch,1.5,rolling window,directional,bvar,0.807914160971159
ngdp_rpch,0,rolling window,directional,bvar_const,0.330023072944859
ngdp_rpch,0.5,rolling window,directional,bvar_const,0.495791190952151
ngdp_rpch,1,rolling window,directional,bvar_const,0.891341307460721
ngdp_rpch,1.5,rolling window,directional,bvar_const,1.10509153875141
pcpi_pch,0,rolling window,directional,bvar_const,0.136243087171874
pcpi_pch,0.5,rolling window,directional,bvar_const,0.331893766822982
pcpi_pch,1,rolling window,directional,bvar_const,0.619270711924986
pcpi_pch,1.5,rolling window,directional,bvar_const,0.810477931260472
ngdp_rpch,0,rolling window,directional,mean_ensemble,0.236756128330028
ngdp_rpch,0.5,rolling window,directional,mean_ensemble,0.393567747744606
ngdp_rpch,1,rolling window,directional,mean_ensemble,0.896793018279601
ngdp_rpch,1.5,rolling window,directional,mean_ensemble,1.10561302391634
pcpi_pch,0,rolling window,directional,mean_ensemble,0.119108774860006
pcpi_pch,0.5,rolling window,directional,mean_ensemble,0.239284973752243
pcpi_pch,1,rolling window,directional,mean_ensemble,0.567318651120876
pcpi_pch,1.5,rolling window,directional,mean_ensemble,0.672902187564614
