target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,ar,0.0780458740769191,0.0780458740769191,0,0,0.35475145803373,0.674038836454057,0.514395147243894,1,1,0,0,1,1
2014,ngdp_rpch,0,ar,0.0798110147009676,0.077507428952554,0,0.0023035857484136,0.370732683534512,0.669388585183072,0.520060634358792,0.6,1,0,0.4,1,1
2015,ngdp_rpch,0,ar,0.0769504338886572,0.0769504338886572,0,0,0.349772219751488,0.664578128394424,0.507175174072956,1,1,0,0,1,1
2016,ngdp_rpch,0,ar,0.0763623234829992,0.0763623234829992,0,0,0.347099009586831,0.659498945692905,0.503298977639868,1,1,0,0,1,1
2017,ngdp_rpch,0,ar,0.0757408322448768,0.0757408322448768,0,0,0.344274069441222,0.65413147129448,0.499202770367851,1,1,0,0,1,1
2018,ngdp_rpch,0,ar,0.0752981647111788,0.0752981647111788,0,0,0.342261958553095,0.650308397840838,0.496285178196967,1,1,0,0,1,1
2019,ngdp_rpch,0,ar,0.0947477616215973,0.0747632148115476,0,0.0199845468100497,0.499706759819486,0.645688332883232,0.572697546351359,0.6,1,0,0.4,1,1
2020,ngdp_rpch,0,ar,0.554460214941952,0.117526218893323,0.419357844477995,0.017576151570634,2.5861424401078,4.62384819856954,3.60499531933867,0.2,0.6,0,0.2,0.4,0.6
2021,ngdp_rpch,0,ar,0.12165037722626,0.11634833628361,0.00530204094264999,0,0.571268652210286,1.00483591399948,0.788052283104881,0.8,1,0,0,0.8,1
2022,ngdp_rpch,0,ar,0.117653011030571,0.115588254084323,0,0.00206475694624801,0.541915485645194,0.998271506498438,0.770093496071816,0.8,1,0,0.2,1,1
2023,ngdp_rpch,0,ar,0.114802622679982,0.114802622679982,0,0,0.521826403554419,0.991486444713597,0.756656424134008,1,1,0,0,1,1
2013,ngdp_rpch,0.5,ar,0.305831978699046,0.305831978699046,0,0,1.3901355022291,2.64130081840817,2.01571816031863,1,1,0,0,1,1
