model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0.928836722521687,0.392328017584119,0.143707088053355,0.392801616884213,4.29463433384707,7.84014861581606,6.06739147483157,0.668181818181818,0.877272727272727,0.0772727272727273,0.240909090909091,0.909090909090909,0.954545454545455
ar,pcpi_pch,0.604843144800205,0.448093835450557,0.0823051155436944,0.0744441938059536,3.06228038567007,4.44116193182894,3.7517211587495,0.559090909090909,0.881818181818182,0.0590909090909091,0.318181818181818,0.877272727272727,0.940909090909091
ar_annual,ngdp_rpch,1.63399142282231,0.514153206651011,0.567760863934547,0.552077352236749,7.40505877031796,14.1671815306513,10.7861201504846,0.654545454545455,0.772727272727273,0.1,0.127272727272727,0.781818181818182,0.872727272727273
ar_annual,pcpi_pch,1.02319363480553,0.27107249173667,0.546608207264647,0.205512935804212,4.87414900709448,8.2785001783744,6.57632459273444,0.263636363636364,0.563636363636364,0.236363636363636,0.481818181818182,0.745454545454546,0.8
ar_bic,ngdp_rpch,0.925236356665165,0.403678393119882,0.16394837449059,0.357609589054693,4.24181008208899,7.90020192808084,6.07100600508491,0.709090909090909,0.890909090909091,0.0636363636363636,0.2,0.909090909090909,0.954545454545455
ar_bic,pcpi_pch,0.546136393996409,0.331846786873128,0.16005512696479,0.054234480158492,2.68476572737513,4.21081356149036,3.44778964443274,0.581818181818182,0.845454545454546,0.05,0.240909090909091,0.822727272727273,0.895454545454546
arx_annual,ngdp_rpch,0.977372969884076,0.283088469723058,0.343828371664832,0.350456128496186,4.58115923387476,8.09456131299464,6.3378602734347,0.4,0.631818181818182,0.109090909090909,0.172727272727273,0.572727272727273,0.740909090909091
arx_annual,pcpi_pch,0.672424712453426,0.166479697628099,0.304699932437154,0.201245082388173,3.20323149332137,5.44041551576509,4.32182350454323,0.277272727272727,0.531818181818182,0.313636363636364,0.486363636363636,0.763636363636364,0.845454545454546
bvar_ciss,ngdp_rpch,1.08947238601762,0.641741211496263,0.0803906682158526,0.367340506305502,4.77951963209285,9.84064864012024,7.31008413610655,0.695454545454545,0.881818181818182,0.0954545454545455,0.231818181818182,0.927272727272727,0.977272727272727
bvar_ciss,pcpi_pch,0.578651732117244,0.259753857585757,0.204131630329295,0.114766244202192,2.95323037641692,4.18995870130258,3.57159453885975,0.359090909090909,0.659090909090909,0.227272727272727,0.445454545454545,0.804545454545455,0.886363636363636
bvar_const,ngdp_rpch,0.909836045933087,0.330944847585704,0.217618786552699,0.361272411794684,4.16234351115572,7.79086214077244,5.97660282596408,0.640909090909091,0.85,0.0818181818181818,0.231818181818182,0.872727272727273,0.931818181818182
bvar_const,pcpi_pch,0.604555070451305,0.462548511851995,0.0822500435498508,0.0597565150494594,3.04262523536574,4.48453832061175,3.76358177798874,0.531818181818182,0.854545454545455,0.0863636363636364,0.318181818181818,0.85,0.940909090909091
bvar_mix,ngdp_rpch,0.883549121885053,0.277341438413656,0.21844957118253,0.387758112288866,4.01367935383758,7.63678405310711,5.82523170347234,0.554545454545455,0.822727272727273,0.109090909090909,0.3,0.854545454545455,0.931818181818182
bvar_mix,pcpi_pch,0.520746261850918,0.356510481150621,0.083429093659595,0.080806687040702,2.66399541770804,3.75493669274824,3.20946605522814,0.468181818181818,0.818181818181818,0.122727272727273,0.372727272727273,0.840909090909091,0.940909090909091
bvar_qu,ngdp_rpch,1.06235855041999,0.61253602939921,0.0812079575110569,0.368614563509719,4.68678399566009,9.53021101924951,7.1084975074548,0.686363636363636,0.886363636363636,0.0954545454545455,0.25,0.936363636363636,0.981818181818182
bvar_qu,pcpi_pch,0.569215667309891,0.423187266984432,0.0727360632668682,0.0732923370585913,2.81338478610224,4.35085138094222,3.58211808352223,0.522727272727273,0.840909090909091,0.113636363636364,0.336363636363636,0.859090909090909,0.954545454545455
