model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0,0.398678932692937,0.185807698897047,0.0802056165361342,0.132665617259755,1.99565227979773,2.98444795436441,2.49005011708107,0.433333333333333,0.65,0.266666666666667,0.35,0.783333333333333,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,0.5,0.484839249213221,0.246169987696684,0.121406940537853,0.117262320978685,2.4227256453249,3.63997087095217,3.03134825813854,0.45,0.733333333333333,0.2,0.333333333333333,0.783333333333333,0.933333333333333
IMF,directional,rolling window,ngdp_rpch,1,1.0008510850895,0.34051980374193,0.196213749997958,0.464117531349609,4.82255540742886,7.96063318321781,6.39159429532333,0.366666666666667,0.65,0.25,0.4,0.766666666666667,0.9
IMF,directional,rolling window,ngdp_rpch,1.5,1.23848617053117,0.352699454059262,0.295428766770432,0.590357949701474,5.90543216945263,10.0061429869918,7.95578757822221,0.35,0.55,0.3,0.416666666666667,0.766666666666667,0.85
IMF,directional,rolling window,pcpi_pch,0,0.145913993053367,0.0701705861057346,0.0272275388278717,0.0485158681197602,0.7451579943774,1.05538487512383,0.900271434750615,0.45,0.633333333333333,0.166666666666667,0.266666666666667,0.716666666666667,0.8
IMF,directional,rolling window,pcpi_pch,0.5,0.237862244824499,0.105966366666,0.100712188123873,0.0311836900346266,1.19026581973171,1.78158034716072,1.48592308344622,0.366666666666667,0.683333333333333,0.1,0.2,0.566666666666667,0.783333333333333
IMF,directional,rolling window,pcpi_pch,1,0.490963264218398,0.16684017237649,0.249497612111058,0.0746254797308499,2.44006530251781,3.71910202807342,3.07958366529562,0.316666666666667,0.55,0.1,0.166666666666667,0.483333333333333,0.65
IMF,directional,rolling window,pcpi_pch,1.5,0.537667366113255,0.201040827274573,0.257376312395837,0.079250226442845,2.66228290361043,4.09764006323904,3.37996148342473,0.333333333333333,0.516666666666667,0.1,0.15,0.483333333333333,0.616666666666667
ar,directional,rolling window,ngdp_rpch,0,0.0999321343411864,0.0379102491119899,0.00824209572744967,0.0537797895017468,0.469557968247189,0.824747766205755,0.647152867226472,0.4,0.716666666666667,0.2,0.433333333333333,0.833333333333333,0.916666666666667
ar,directional,rolling window,ngdp_rpch,0.5,0.407845307378555,0.155619950272201,0.0538855453770069,0.198339811729347,1.94213787394354,3.30156146271226,2.6218496683279,0.416666666666667,0.716666666666667,0.216666666666667,0.4,0.816666666666667,0.933333333333333
ar,directional,rolling window,ngdp_rpch,1,0.98783070390757,0.258351801137339,0.0982843665952892,0.631194536174942,4.45433062399512,8.62078751816359,6.53755907107935,0.416666666666667,0.683333333333333,0.233333333333333,0.466666666666667,0.883333333333333,0.916666666666667
ar,directional,rolling window,ngdp_rpch,1.5,1.15999321016267,0.299192928799739,0.133793143767002,0.727007137595932,5.27133829113962,10.0215184754044,7.64642838327202,0.5,0.666666666666667,0.25,0.383333333333333,0.883333333333333,0.916666666666667
