model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0,0.486207080570766,0.174665730486506,0.307876400316641,0.00366494976761991,2.28176647920176,4.01972541341094,3.15074594630635,0.472727272727273,0.709090909090909,0,0.0363636363636364,0.509090909090909,0.709090909090909
IMF,absolute,rolling window,ngdp_rpch,0.5,0.626780673759858,0.217068197713257,0.340040089145427,0.0696723869011735,2.90886931131197,5.26344019691722,4.0861547541146,0.563636363636364,0.745454545454546,0.0727272727272727,0.109090909090909,0.672727272727273,0.818181818181818
IMF,absolute,rolling window,ngdp_rpch,1,1.19977543298342,0.366910448522575,0.194292326491195,0.638572657969654,5.40865302267803,10.4738761029734,7.94126456282571,0.636363636363636,0.727272727272727,0.145454545454545,0.163636363636364,0.8,0.872727272727273
IMF,absolute,rolling window,ngdp_rpch,1.5,1.25856088875096,0.444025871437767,0.197222564594151,0.617312452719047,5.6914246189039,10.9426562277595,8.31704042333172,0.581818181818182,0.8,0.145454545454545,0.309090909090909,0.890909090909091,0.945454545454546
IMF,absolute,rolling window,pcpi_pch,0,0.215763089403218,0.0647624851196777,0.00847323625289642,0.142527368030644,0.988145238332207,1.84489869223384,1.41652196528302,0.418181818181818,0.654545454545455,0.309090909090909,0.418181818181818,0.836363636363636,0.963636363636364
IMF,absolute,rolling window,pcpi_pch,0.5,0.316586010831922,0.12689675471775,0.148630261393884,0.0410589947202871,1.52967619179392,2.50752973715364,2.01860296447378,0.509090909090909,0.672727272727273,0.127272727272727,0.272727272727273,0.781818181818182,0.8
IMF,absolute,rolling window,pcpi_pch,1,0.805341138002084,0.268089086227092,0.420823885189305,0.116428166585687,3.77244617055208,6.67570733366147,5.22407675210678,0.436363636363636,0.690909090909091,0.145454545454545,0.345454545454545,0.781818181818182,0.836363636363636
IMF,absolute,rolling window,pcpi_pch,1.5,0.970850646432243,0.302683805821455,0.58756039188613,0.080606448724659,4.55150469277297,8.03825119671244,6.29487794474271,0.345454545454545,0.6,0.181818181818182,0.363636363636364,0.709090909090909,0.781818181818182
ar,absolute,rolling window,ngdp_rpch,0,0.12687794803957,0.043866413047348,0.0600196611116537,0.0229918738805683,0.600010477907587,1.03753276602243,0.818771621965009,0.509090909090909,0.745454545454546,0.163636363636364,0.345454545454545,0.854545454545455,0.909090909090909
ar,absolute,rolling window,ngdp_rpch,0.5,0.659375277620146,0.209972570718516,0.159159028248841,0.290243678652789,2.99901229757296,5.68997480847053,4.34449355302175,0.472727272727273,0.727272727272727,0.163636363636364,0.418181818181818,0.890909090909091,0.890909090909091
