model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.719549715522467,0.357307301846945,0.0920154727305753,0.270226940944946,3.56126148697944,5.48784059300073,4.52455103999009,0.529166666666667,0.754166666666667,0.175,0.3125,0.841666666666667,0.929166666666667
IMF,absolute,rolling window,pcpi_pch,0.319850774878775,0.180925003761051,0.0817300197066766,0.0571957514110472,1.64974467841968,2.2726538015263,1.96119923997299,0.495833333333333,0.729166666666667,0.116666666666667,0.2,0.695833333333333,0.845833333333333
ar,absolute,rolling window,ngdp_rpch,0.765934760610102,0.285637554560189,0.00747282814789619,0.472824377902017,3.65135965367475,6.19029607801516,4.92082786584495,0.425,0.708333333333333,0.279166666666667,0.520833333333333,0.945833333333333,0.9875
ar,absolute,rolling window,pcpi_pch,0.49377332989839,0.349016265051545,0.0150033025859942,0.129753762260851,2.57454693189175,3.43909926823844,3.00682310006509,0.5625,0.770833333333333,0.183333333333333,0.35,0.9125,0.954166666666667
ar_bic,absolute,rolling window,ngdp_rpch,0.750930095527482,0.284003864104411,0.00853515881364066,0.458391072609431,3.57099493526329,6.0911145723914,4.83105475382735,0.4375,0.725,0.258333333333333,0.491666666666667,0.929166666666667,0.983333333333333
ar_bic,absolute,rolling window,pcpi_pch,0.392703953244139,0.216388590039807,0.0393476470563886,0.136967716147943,1.92697636070166,3.03663816312862,2.48180726191514,0.566666666666667,0.7375,0.175,0.270833333333333,0.8375,0.9125
bvar,absolute,rolling window,ngdp_rpch,0.700777977795488,0.232525816415538,0.0240483736929491,0.444203787687001,3.32422034480037,5.70500869390884,4.5146145193546,0.4375,0.695833333333333,0.270833333333333,0.483333333333333,0.920833333333333,0.966666666666667
bvar,absolute,rolling window,pcpi_pch,0.401467787615148,0.266097820594938,0.033019993683369,0.10234997333684,2.04445799337596,2.91821076886305,2.4813343811195,0.604166666666667,0.754166666666667,0.154166666666667,0.241666666666667,0.845833333333333,0.908333333333333
bvar_const,absolute,rolling window,ngdp_rpch,0.736643456381554,0.2472273448052,0.0226124395792626,0.466803671997092,3.50613266733739,5.96753745928762,4.73683506331251,0.420833333333333,0.7,0.266666666666667,0.516666666666667,0.9375,0.966666666666667
bvar_const,absolute,rolling window,pcpi_pch,0.493456458899682,0.348179436846685,0.0232510911600106,0.122025930892986,2.55923249814712,3.47104793262584,3.01514021538648,0.5875,0.770833333333333,0.175,0.308333333333333,0.895833333333333,0.945833333333333
mean_ensemble,absolute,rolling window,ngdp_rpch,0.701654158658478,0.296724067070778,0.0268881386061883,0.378041952981511,3.36308749117763,5.62536444522549,4.49422596820156,0.554166666666667,0.779166666666667,0.191666666666667,0.370833333333333,0.925,0.970833333333333
mean_ensemble,absolute,rolling window,pcpi_pch,0.389777515934847,0.292706901886427,0.013873805401892,0.083196808646528,2.01931473717881,2.74726347574992,2.38328910646436,0.708333333333333,0.866666666666667,0.104166666666667,0.225,0.933333333333333,0.970833333333333
