model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.892831019016253,0.300667562040026,0.259857845136853,0.332305611839374,4.07267835802391,7.67492448526528,5.8738014216446,0.563636363636364,0.745454545454546,0.0909090909090909,0.154545454545455,0.718181818181818,0.836363636363636
IMF,absolute,rolling window,pcpi_pch,0.577135221167367,0.190608032971494,0.291371943680554,0.0951552445153193,2.7104430733628,4.76659673994034,3.73851990665157,0.427272727272727,0.654545454545455,0.190909090909091,0.35,0.777272727272727,0.845454545454546
ar,absolute,rolling window,ngdp_rpch,0.933947089240558,0.320913889457297,0.184048070686791,0.428985129096469,4.27836765409824,7.98302264956556,6.1306951518319,0.513636363636364,0.754545454545455,0.159090909090909,0.368181818181818,0.881818181818182,0.913636363636364
ar,absolute,rolling window,pcpi_pch,0.582001056992425,0.327792000893433,0.112935475143491,0.141273580955501,3.03274572181907,4.05815683530082,3.54545127855995,0.390909090909091,0.627272727272727,0.25,0.468181818181818,0.859090909090909,0.877272727272727
ar_bic,absolute,rolling window,ngdp_rpch,0.929692734363953,0.301795073282315,0.217339879404543,0.410557781677095,4.22126119001197,8.04070171224914,6.13098145113055,0.527272727272727,0.745454545454546,0.163636363636364,0.340909090909091,0.868181818181818,0.909090909090909
ar_bic,absolute,rolling window,pcpi_pch,0.54717642140627,0.205298282209588,0.211273060840079,0.130605078356603,2.67548567829591,4.25481423238562,3.46514995534077,0.304545454545455,0.618181818181818,0.218181818181818,0.445454545454545,0.75,0.836363636363636
bvar,absolute,rolling window,ngdp_rpch,0.893046174999593,0.266291646238001,0.170612227709431,0.456142301052161,4.02889849527723,7.78867726179877,5.908787878538,0.536363636363636,0.754545454545455,0.195454545454545,0.35,0.886363636363636,0.95
bvar,absolute,rolling window,pcpi_pch,0.551064648848856,0.229223877129515,0.200780916910705,0.121059854808636,2.73079890276259,4.19429572007065,3.46254731141662,0.336363636363636,0.609090909090909,0.222727272727273,0.445454545454545,0.781818181818182,0.831818181818182
bvar_const,absolute,rolling window,ngdp_rpch,0.926742706734317,0.281190219153458,0.250028951873259,0.3955235357076,4.18553238923241,8.07102316160529,6.12827777541885,0.527272727272727,0.745454545454546,0.15,0.318181818181818,0.845454545454546,0.895454545454546
bvar_const,absolute,rolling window,pcpi_pch,0.585423787528079,0.314342597244953,0.137480079153748,0.133601111129378,3.01956188324776,4.15957104244218,3.58956646284497,0.354545454545455,0.640909090909091,0.213636363636364,0.472727272727273,0.827272727272727,0.854545454545455
bvar_mix,absolute,rolling window,ngdp_rpch,0.91373255191017,0.269972233079508,0.250941510459946,0.392818808370716,4.11529676182703,7.98640913363581,6.05085294773142,0.527272727272727,0.75,0.15,0.313636363636364,0.840909090909091,0.9
bvar_mix,absolute,rolling window,pcpi_pch,0.523928025259497,0.251696417237035,0.140432829322354,0.131798778700108,2.6592705108901,3.83038422796467,3.24482736942739,0.35,0.622727272727273,0.222727272727273,0.454545454545455,0.804545454545455,0.845454545454546
mean_ensemble,absolute,rolling window,ngdp_rpch,0.849487252656913,0.300923890216927,0.202356281409291,0.346207081030695,3.84200069168401,7.38474332392826,5.61337200780613,0.609090909090909,0.827272727272727,0.0727272727272727,0.204545454545455,0.813636363636364,0.9
mean_ensemble,absolute,rolling window,pcpi_pch,0.514978637851205,0.277580877036627,0.146697939134756,0.0906998216798222,2.6136251840648,3.76550979686209,3.18956749046345,0.445454545454545,0.722727272727273,0.177272727272727,0.413636363636364,0.859090909090909,0.9
