source,target,country,horizon,ae,sque
IMF,ngdp_rpch,CAN,0,0.444470683693681,0.462939220989205
IMF,ngdp_rpch,DEU,0,0.751211892648961,0.832845841053374
IMF,ngdp_rpch,FRA,0,0.49562105651532,0.621257566055903
IMF,ngdp_rpch,GBR,0,0.701461274601797,1.01587481291626
IMF,ngdp_rpch,ITA,0,0.617617182462428,0.849577638610638
IMF,ngdp_rpch,JPN,0,0.807801556113439,0.996755889059707
IMF,ngdp_rpch,USA,0,0.399661286535061,0.432616956295264
IMF,pcpi_pch,CAN,0,0.178450111092232,0.0531017267979587
IMF,pcpi_pch,DEU,0,0.267408769268897,0.205875624460016
IMF,pcpi_pch,FRA,0,0.226171763543997,0.0999757356718283
IMF,pcpi_pch,GBR,0,0.419390790358401,0.347265231673009
IMF,pcpi_pch,ITA,0,0.192630163563954,0.0728566820252167
IMF,pcpi_pch,JPN,0,0.132739058827317,0.0322109200984869
IMF,pcpi_pch,USA,0,0.174862696165787,0.0531009505185355
IMF,ngdp_rpch,CAN,0.5,0.574356372737716,0.476899024235366
IMF,ngdp_rpch,DEU,0.5,0.884734322967596,1.59257321166854
IMF,ngdp_rpch,FRA,0.5,0.483236745473752,0.368933342841846
IMF,ngdp_rpch,GBR,0.5,0.809245355327225,1.6466982525124
IMF,ngdp_rpch,ITA,0.5,0.830070649097883,1.5230009387945
IMF,ngdp_rpch,JPN,0.5,0.986717495676762,1.34174173247629
IMF,ngdp_rpch,USA,0.5,0.635534510772065,1.07958825847684
IMF,pcpi_pch,CAN,0.5,0.449634382900157,0.36328866883257
IMF,pcpi_pch,DEU,0.5,0.270491796180635,0.151126206637154
IMF,pcpi_pch,FRA,0.5,0.296713702223814,0.140154212534019
IMF,pcpi_pch,GBR,0.5,0.436530536837928,0.314182629164642
IMF,pcpi_pch,ITA,0.5,0.478617499146925,0.523392771545173
IMF,pcpi_pch,JPN,0.5,0.288040702657676,0.127074931088046
IMF,pcpi_pch,USA,0.5,0.44738313137233,0.433446808802591
IMF,ngdp_rpch,CAN,1,1.10868175653291,3.13791239626132
IMF,ngdp_rpch,DEU,1,1.69818451422858,4.97333550462584
IMF,ngdp_rpch,FRA,1,1.15413360205684,3.8870294436123
IMF,ngdp_rpch,GBR,1,1.35619053776232,6.87170362358542
IMF,ngdp_rpch,ITA,1,1.59703820365482,6.60429159054824
IMF,ngdp_rpch,JPN,1,1.40471740878701,4.17548576494965
IMF,ngdp_rpch,USA,1,1.0967069386549,2.47872044203151
IMF,pcpi_pch,CAN,1,0.755003706821356,1.29007501857359
IMF,pcpi_pch,DEU,1,0.860519621831346,1.79959430454179
IMF,pcpi_pch,FRA,1,0.733206938211421,0.99296389245699
IMF,pcpi_pch,GBR,1,0.991397431733992,1.98117937645788
IMF,pcpi_pch,ITA,1,0.957069610771011,2.26969752264635
IMF,pcpi_pch,JPN,1,0.614156653870279,0.664321034734483
IMF,pcpi_pch,USA,1,0.901374656536669,1.81407130904195
IMF,ngdp_rpch,CAN,1.5,1.30980200083733,3.9443278278921
IMF,ngdp_rpch,DEU,1.5,2.0412001137378,6.77960114138339
IMF,ngdp_rpch,FRA,1.5,1.37747125486819,4.89260891323688
IMF,ngdp_rpch,GBR,1.5,1.63108953745268,8.86317102819763
IMF,ngdp_rpch,ITA,1.5,1.82201372171284,8.04052334241139
IMF,ngdp_rpch,JPN,1.5,1.62056764593463,5.52452345901958
IMF,ngdp_rpch,USA,1.5,1.12568072004077,2.3350730584189
IMF,pcpi_pch,CAN,1.5,0.836675538917955,1.64070326511471
IMF,pcpi_pch,DEU,1.5,1.01458926300033,2.39190439376993
IMF,pcpi_pch,FRA,1.5,0.883827878679951,1.55160121820462
IMF,pcpi_pch,GBR,1.5,1.10138819078367,2.43871597960446
IMF,pcpi_pch,ITA,1.5,1.18114700209825,3.23923060862743
IMF,pcpi_pch,JPN,1.5,0.699901589052002,0.85250926130448
IMF,pcpi_pch,USA,1.5,1.06896163539438,2.39643264334641
ar,ngdp_rpch,CAN,0,0.112421711299672,0.0245539230692803
ar,ngdp_rpch,DEU,0,0.148002324643044,0.0362896551497389
ar,ngdp_rpch,FRA,0,0.205423783450406,0.119740179267492
ar,ngdp_rpch,GBR,0,0.186809082607302,0.15921210666778
ar,ngdp_rpch,ITA,0,0.162103295292757,0.0503651298424394
ar,ngdp_rpch,JPN,0,0.248044656148435,0.106833814038094
ar,ngdp_rpch,USA,0,0.103714669202636,0.0275264958661176
ar,pcpi_pch,CAN,0,0.144292746506155,0.0386216425093042
ar,pcpi_pch,DEU,0,0.143114790633203,0.0268933856459433
ar,pcpi_pch,FRA,0,0.0731773678908818,0.00806681980655449
ar,pcpi_pch,GBR,0,0.0848176424759051,0.0121619876766428
ar,pcpi_pch,ITA,0,0.145313507971464,0.0362657984795753
ar,pcpi_pch,JPN,0,0.120932393121636,0.0237972958618974
ar,pcpi_pch,USA,0,0.179071844064153,0.0701659165261673
ar,ngdp_rpch,CAN,0.5,0.616176814935267,0.799382254818197
ar,ngdp_rpch,DEU,0.5,0.760937601542064,1.00936459764378
ar,ngdp_rpch,FRA,0.5,0.851943351449365,1.10290941037196
ar,ngdp_rpch,GBR,0.5,1.01126101372161,4.14781974407888
ar,ngdp_rpch,ITA,0.5,0.765049721552699,1.24961452450956
ar,ngdp_rpch,JPN,0.5,1.52181984276003,3.52502464926328
ar,ngdp_rpch,USA,0.5,0.551400379357384,0.533779863205578
ar,pcpi_pch,CAN,0.5,0.472433625874611,0.35683122900852
ar,pcpi_pch,DEU,0.5,0.502412311497449,0.428169994061647
ar,pcpi_pch,FRA,0.5,0.38992759369786,0.22026732129311
ar,pcpi_pch,GBR,0.5,0.413450297331358,0.393506301889237
