model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,CAN,ngdp_rpch,0,0.29615216063218,0.0518036953434873,0.0875584034385046,0.156790061850188,0.357595562506374,0.578759607982054,0.468177585244214,0.166666666666667,0.583333333333333,0.25,0.416666666666667,0.583333333333333,0.833333333333333
ar,CAN,ngdp_rpch,0.5,0.414940936353726,0.223591327521589,0.00836059784923367,0.182989010982903,1.31638942870744,2.42979135788339,1.87309039329542,0.583333333333333,0.833333333333333,0.166666666666667,0.416666666666667,1,1
ar,CAN,ngdp_rpch,1,1.15285849070004,0.415476841513813,0.0215272167091681,0.715854432477056,2.54539732808063,4.54735204929085,3.54637468868574,0.583333333333333,0.75,0.25,0.416666666666667,1,1
ar,CAN,ngdp_rpch,1.5,1.16340430329451,0.466768752104171,0.00704233423011944,0.689593216960215,2.82624341152061,5.10330584841837,3.96477462996949,0.583333333333333,0.833333333333333,0.166666666666667,0.416666666666667,1,1
ar,DEU,ngdp_rpch,0,0.46947500478553,0.066610533225403,0.130896019337441,0.271968452222685,0.485145407741676,0.753932643825462,0.619539025783569,0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,0.75,0.75
ar,DEU,ngdp_rpch,0.5,0.572480204994215,0.256017826170464,0.0542292747407785,0.262233104082973,1.53772407912556,2.79122819809443,2.16447613860999,0.583333333333333,0.75,0.25,0.25,0.833333333333333,1
ar,DEU,ngdp_rpch,1,1.27408041307934,0.428433237221204,0.0262002098955069,0.819446965962634,2.64058118364164,4.69390541018642,3.66724329691403,0.416666666666667,0.833333333333333,0.166666666666667,0.583333333333333,1,1
ar,DEU,ngdp_rpch,1.5,1.47324783943363,0.458096193295506,0.0308637700336122,0.984287876104515,2.85655437854359,5.02600823462463,3.94128130658411,0.416666666666667,0.75,0.25,0.583333333333333,1,1
ar,FRA,ngdp_rpch,0,0.326495302762569,0.0723891719858176,0.00593218673475746,0.248173944041994,0.479957961324494,0.797482276186137,0.638720118755315,0.0833333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.916666666666667,1
ar,FRA,ngdp_rpch,0.5,0.70214364765065,0.22422845000412,0,0.47791519764653,1.39303900238787,2.44605673984958,1.91954787111872,0.0833333333333333,0.666666666666667,0.333333333333333,0.916666666666667,1,1
ar,FRA,ngdp_rpch,1,1.33803318561603,0.352475325434345,0,0.985557860181688,2.24878868884575,3.8727099481127,3.06074931847922,0.25,0.666666666666667,0.333333333333333,0.75,1,1
ar,FRA,ngdp_rpch,1.5,1.53298250264763,0.369197855387713,0,1.16378464725992,2.39509703792626,4.06414593728164,3.22962148760395,0.0833333333333333,0.5,0.5,0.916666666666667,1,1
ar,GBR,ngdp_rpch,0,0.516710466733118,0.0609588543620212,0.099670740375821,0.356080871995275,0.465984392683001,0.695685500458305,0.580834946570653,0.0833333333333333,0.25,0.5,0.583333333333333,0.666666666666667,0.75
ar,GBR,ngdp_rpch,0.5,0.569823614993379,0.229591759347426,0.0186689816009807,0.321562874044973,1.38585407275878,2.50417923548475,1.94501665412177,0.5,0.833333333333333,0.166666666666667,0.5,1,1
