model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0,0.344421719271693,0.0792814556046741,0.0817679177011237,0.183372345965895,1.65525440875713,2.75029836354105,2.20277638614909,0.214285714285714,0.380952380952381,0.369047619047619,0.440476190476191,0.654761904761905,0.75
ar,ngdp_rpch,0.5,0.54860385474877,0.31394571431156,0.0301354603186726,0.204522680118537,2.78715216204274,4.00419668986854,3.39567442595564,0.511904761904762,0.773809523809524,0.214285714285714,0.440476190476191,0.952380952380952,0.988095238095238
ar,ngdp_rpch,1,1.16651536954668,0.55398944714537,0,0.61252592240131,5.83500084767329,8.74280527175038,7.28890305971183,0.464285714285714,0.773809523809524,0.226190476190476,0.535714285714286,1,1
ar,ngdp_rpch,1.5,1.40741641420461,0.608904892789152,0,0.798511521415456,6.96867014934797,10.7266529107223,8.84766153003511,0.404761904761905,0.690476190476191,0.30952380952381,0.595238095238095,1,1
ar,pcpi_pch,0,0.122601850809983,0.0756605578907301,0.0268941303085778,0.0200471626106753,0.601531336693803,0.948208674465158,0.77487000557948,0.654761904761905,0.845238095238095,0.0476190476190476,0.154761904761905,0.80952380952381,0.892857142857143
ar,pcpi_pch,0.5,0.340891199301492,0.300524497883824,0.00897858177022749,0.031388119647441,1.63486274404308,2.73066712592214,2.18276493498261,0.797619047619048,0.952380952380952,0.0476190476190476,0.130952380952381,0.928571428571429,1
ar,pcpi_pch,1,0.842055247813913,0.650429672302437,0.000388018261275415,0.1912375572502,4.12429468824908,6.53036823565555,5.32733146195232,0.690476190476191,0.940476190476191,0.0595238095238095,0.297619047619048,0.988095238095238,1
ar,pcpi_pch,1.5,1.04972912285432,0.838260109095596,0,0.211469013758727,5.34391355811219,7.63479856180598,6.48935605995909,0.595238095238095,0.916666666666667,0.0833333333333333,0.404761904761905,1,1
ar_bic,ngdp_rpch,0,0.346452394363628,0.0786805115017322,0.0920819346023792,0.175689948259517,1.66589719310135,2.7643049045192,2.21510104881027,0.214285714285714,0.369047619047619,0.369047619047619,0.440476190476191,0.654761904761905,0.738095238095238
ar_bic,ngdp_rpch,0.5,0.547240193179501,0.303421292172913,0.0622286349235132,0.181590266083075,2.75471418237796,4.05801840764511,3.40636629501153,0.511904761904762,0.773809523809524,0.214285714285714,0.392857142857143,0.904761904761905,0.988095238095238
