model,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,ngdp_rpch,0,0.382707082916355,0.0482833297498252,0.111778167067884,0.222645586098646,-0.458333333333333,,,0.116666666666667,0.266666666666667
bvar_ciss,ngdp_rpch,0.5,0.588953113951055,0.223739652411173,0.168186182602125,0.197027278937756,-0.158333333333333,,,0.35,0.633333333333333
bvar_ciss,ngdp_rpch,1,0.750696285644237,0.422606890641181,0.0373429605538171,0.290746434449239,0.0136363636363636,,,0.527272727272727,0.8
bvar_ciss,ngdp_rpch,1.5,1.41205380098338,0.542403556142978,0.284163874347522,0.585486370492878,-0.0681818181818182,,,0.436363636363636,0.727272727272727
bvar_ciss,pcpi_pch,0,0.138857980547108,0.0360655845665566,0.0758420359814031,0.0269503599991479,-0.283333333333333,,,0.266666666666667,0.466666666666667
bvar_ciss,pcpi_pch,0.5,0.24511291504229,0.171870344650808,0.0549088602388399,0.0183337101526413,0.05,,,0.55,0.85
bvar_ciss,pcpi_pch,1,0.576565054522405,0.313305395090998,0.058720824657251,0.204538834774156,0.0772727272727273,,,0.618181818181818,0.836363636363636
bvar_ciss,pcpi_pch,1.5,0.565984194569664,0.394503808954931,0.0499276894235151,0.121552696191218,0.122727272727273,,,0.690909090909091,0.854545454545455
bvar_qu,ngdp_rpch,0,0.375033866532677,0.0495540240904127,0.0862711373309508,0.239208705111314,-0.458333333333333,,,0.15,0.233333333333333
bvar_qu,ngdp_rpch,0.5,0.502047368262901,0.218661271911831,0.0236514369283143,0.259734659422755,-0.133333333333333,,,0.416666666666667,0.616666666666667
bvar_qu,ngdp_rpch,1,0.967856965851825,0.390768896776024,0.00798771759201533,0.569100351483786,-0.0916666666666667,,,0.433333333333333,0.683333333333333
bvar_qu,ngdp_rpch,1.5,1.18996006325336,0.444981580423631,0.00693271455083933,0.738045768278893,-0.075,,,0.466666666666667,0.683333333333333
bvar_qu,pcpi_pch,0,0.140487597883758,0.0398955166811515,0.0804711158523497,0.0201209653502571,-0.2,,,0.35,0.55
bvar_qu,pcpi_pch,0.5,0.279268933259116,0.222121461933113,0.0349355896578039,0.0222118816681984,0.15,,,0.7,0.9
bvar_qu,pcpi_pch,1,0.583064385632369,0.476217040140981,0.010999248765939,0.0958480967254496,0.166666666666667,,,0.683333333333333,0.95
bvar_qu,pcpi_pch,1.5,0.76435439858697,0.63042852594516,0.001193507324893,0.132732365316917,0.183333333333333,,,0.716666666666667,0.95
