model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0,0.203710301746603,0.138387510303328,0.0205822687180875,0.044740522725188,0.0416666666666666,,,0.55,0.833333333333333
IMF,absolute,expanding window,ngdp_rpch,0.5,0.363498993145856,0.240419357666639,0.0439351280323892,0.0791445074468276,0.05,,,0.566666666666667,0.833333333333333
IMF,absolute,expanding window,ngdp_rpch,1,0.864812725911304,0.415057729919267,0.0422789406770649,0.407476055314973,-0.05,,,0.45,0.75
IMF,absolute,expanding window,ngdp_rpch,1.5,1.1239390580992,0.436220469729873,0.0992724980368422,0.588446090332485,-0.108333333333333,,,0.45,0.633333333333333
IMF,absolute,expanding window,pcpi_pch,0,0.116688158864072,0.0603595180014606,0.0188589719172753,0.0374696689453358,-0.00833333333333336,,,0.483333333333333,0.8
IMF,absolute,expanding window,pcpi_pch,0.5,0.255153318916001,0.139592369466531,0.0968465557295024,0.0187143937199667,-0.05,,,0.416666666666667,0.783333333333333
IMF,absolute,expanding window,pcpi_pch,1,0.495237808151805,0.221046693715756,0.202417421439498,0.0717736929965506,-0.158333333333333,,,0.366666666666667,0.616666666666667
IMF,absolute,expanding window,pcpi_pch,1.5,0.541307460492502,0.278237211777705,0.188109854230527,0.0749603944842702,-0.108333333333333,,,0.366666666666667,0.716666666666667
IMF,absolute,leave-one-out,ngdp_rpch,0,0.200011800515982,0.120321244638734,0.0253038966900342,0.0543866591872132,0.0166666666666666,,,0.516666666666667,0.816666666666667
IMF,absolute,leave-one-out,ngdp_rpch,0.5,0.356853744837345,0.218042827464558,0.0531076782071087,0.085703239165678,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,leave-one-out,ngdp_rpch,1,0.860544317381796,0.401489814552865,0.0459633333469444,0.413091169481987,-0.0833333333333334,,,0.416666666666667,0.716666666666667
IMF,absolute,leave-one-out,ngdp_rpch,1.5,1.09235181620839,0.44090526675912,0.0942798033444043,0.557166746104866,-0.0833333333333334,,,0.433333333333333,0.7
IMF,absolute,leave-one-out,pcpi_pch,0,0.112772332015104,0.0524119254578442,0.0212183384701921,0.0391420680870677,-0.0416666666666667,,,0.416666666666667,0.8
IMF,absolute,leave-one-out,pcpi_pch,0.5,0.253627040202693,0.148858487474019,0.0869541951100855,0.0178143576185887,-0.0166666666666667,,,0.466666666666667,0.8
IMF,absolute,leave-one-out,pcpi_pch,1,0.484034475255618,0.281907587282996,0.149962280306196,0.0521646076664256,-0.0333333333333334,,,0.466666666666667,0.766666666666667
IMF,absolute,leave-one-out,pcpi_pch,1.5,0.522237770058279,0.341860183391881,0.134699915409768,0.0456776712566303,-2.22017499870719e-17,,,0.466666666666667,0.833333333333333
IMF,absolute,rolling window,ngdp_rpch,0,0.209017928107389,0.115797337458482,0.0308728455422036,0.0623477451067025,-0.025,,,0.5,0.75
IMF,absolute,rolling window,ngdp_rpch,0.5,0.375008485868881,0.21682205567188,0.0588345297165901,0.0993519004804111,-0.0166666666666667,,,0.516666666666667,0.75
IMF,absolute,rolling window,ngdp_rpch,1,0.877000507827212,0.384251320471066,0.0512078639593996,0.441541323396747,-0.0916666666666667,,,0.4,0.716666666666667
IMF,absolute,rolling window,ngdp_rpch,1.5,1.12594960668904,0.422213897694833,0.101840048556885,0.601895660437327,-0.125,,,0.416666666666667,0.633333333333333
IMF,absolute,rolling window,pcpi_pch,0,0.118522419720191,0.0589621178137342,0.0208217945645338,0.0387385073419233,-0.025,,,0.483333333333333,0.766666666666667
IMF,absolute,rolling window,pcpi_pch,0.5,0.25775061174341,0.133395026709833,0.105303149250738,0.0190524357828386,-0.0666666666666667,,,0.433333333333333,0.733333333333333
