model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.638990269725741,0.307521266904777,0.0515172088660959,0.279951793954868,-0.0166666666666667,,,0.504166666666667,0.7625
IMF,absolute,expanding window,pcpi_pch,0.352096686606095,0.174808948240363,0.126558200829201,0.0507295375365309,-0.08125,,,0.408333333333333,0.729166666666667
IMF,absolute,leave-one-out,ngdp_rpch,0.627440419735879,0.29518978835382,0.0546636778971229,0.277586953484936,-0.0333333333333334,,,0.466666666666667,0.766666666666667
IMF,absolute,leave-one-out,pcpi_pch,0.343167904382924,0.206259545901685,0.0982086823240605,0.0386996761571781,-0.0229166666666667,,,0.454166666666667,0.8
IMF,absolute,rolling window,ngdp_rpch,0.646744132123132,0.284771152824065,0.0606888219437695,0.301284157355297,-0.0645833333333334,,,0.458333333333333,0.7125
IMF,absolute,rolling window,pcpi_pch,0.356659914758323,0.172105775337692,0.132089542848815,0.0524645965718162,-0.0979166666666667,,,0.416666666666667,0.6875
IMF,directional,expanding window,ngdp_rpch,0.598347978616327,0.25774786974841,0.121062608564074,0.219537500303843,-0.0708333333333334,,,0.441666666666667,0.716666666666667
IMF,directional,expanding window,pcpi_pch,0.368647097946748,0.149152366527386,0.161116454688954,0.0583782767304077,-0.125,,,0.3875,0.6625
IMF,directional,leave-one-out,ngdp_rpch,0.586689021605426,0.269727479139364,0.10438565301229,0.212575889453772,-0.0416666666666667,,,0.433333333333333,0.783333333333333
IMF,directional,leave-one-out,pcpi_pch,0.329682430120257,0.195628503169986,0.0820736322713122,0.0519802946789584,0.00416666666666664,,,0.495833333333333,0.8125
IMF,directional,rolling window,ngdp_rpch,0.627352090545647,0.235010725027317,0.131545440202329,0.260795925316001,-0.127083333333333,,,0.4125,0.633333333333333
IMF,directional,rolling window,pcpi_pch,0.367766654237984,0.135721978226845,0.164453038196211,0.0675916378149276,-0.170833333333333,,,0.370833333333333,0.5875
ar,absolute,expanding window,ngdp_rpch,0.805650622813374,0.350054716261937,0.00860746542535588,0.446988441126081,-0.0729166666666667,,,0.45,0.704166666666667
