model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.63974118989382,0.307521266904777,0.0515172088660959,0.280702714122947,-0.01875,,,0.5,0.7625
IMF,absolute,expanding window,pcpi_pch,0.352130872521374,0.174808948240363,0.126932538958586,0.0503893853224241,-0.08125,,,0.408333333333333,0.729166666666667
IMF,absolute,rolling window,ngdp_rpch,0.64702352457641,0.284771152824065,0.0604753388189847,0.30177703293336,-0.0625,,,0.4625,0.7125
IMF,absolute,rolling window,pcpi_pch,0.356805043350889,0.172105775337692,0.132853508953777,0.0518457590594192,-0.0979166666666667,,,0.416666666666667,0.6875
ar,absolute,expanding window,ngdp_rpch,0.806319522331836,0.350054716261937,0.00883079059172232,0.447434015478176,-0.0729166666666667,,,0.45,0.704166666666667
ar,absolute,expanding window,pcpi_pch,0.501688584275015,0.345196089825592,0.0284099731364885,0.128082521312934,0.03125,,,0.583333333333333,0.779166666666667
ar,absolute,rolling window,ngdp_rpch,0.811699450231046,0.331748316152536,0.0111855612071294,0.468765572871381,-0.102083333333333,,,0.408333333333333,0.6875
ar,absolute,rolling window,pcpi_pch,0.49939896947524,0.334834581798939,0.0312747108966236,0.133289676779677,0.0229166666666666,,,0.575,0.770833333333333
bvar,absolute,expanding window,ngdp_rpch,0.734553579918423,0.29258370140741,0.019331023150888,0.422638855360125,-0.0604166666666667,,,0.454166666666667,0.725
bvar,absolute,expanding window,pcpi_pch,0.424402579862025,0.278992926901639,0.0547789090477233,0.0906307439126624,0.01875,,,0.570833333333333,0.766666666666667
bvar,absolute,rolling window,ngdp_rpch,0.742015088772882,0.274212917865286,0.0222017953141953,0.445600375593401,-0.09375,,,0.404166666666667,0.708333333333333
bvar,absolute,rolling window,pcpi_pch,0.418632592627141,0.259883092319984,0.0596368849755658,0.0991126153315914,-0.00416666666666669,,,0.545833333333333,0.745833333333333
