model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0,0.228913192178836,0.122486712438753,0.0351368405512665,0.0712896391888163,1.1346996313836,1.74151476511771,1.43810719825065,0.488095238095238,0.761904761904762,0.130952380952381,0.297619047619048,0.785714285714286,0.892857142857143
IMF,absolute,rolling window,ngdp_rpch,0.5,0.4122875821138,0.255403554872755,0.0650364109291814,0.091847616311864,2.13179679245378,2.91625966114157,2.52402822679767,0.55952380952381,0.75,0.178571428571429,0.30952380952381,0.869047619047619,0.928571428571429
IMF,absolute,rolling window,ngdp_rpch,1,0.909080963623421,0.414712023024995,0.0527136835451652,0.441655257053261,4.52095253898709,6.8792379250007,5.7000952319939,0.488095238095238,0.726190476190476,0.238095238095238,0.392857142857143,0.880952380952381,0.964285714285714
IMF,absolute,rolling window,ngdp_rpch,1.5,1.13656651293327,0.46516123164745,0.103348649385366,0.568056631900458,5.52646016759352,8.91517983968167,7.2208200036376,0.5,0.642857142857143,0.297619047619048,0.380952380952381,0.880952380952381,0.940476190476191
IMF,absolute,rolling window,pcpi_pch,0,0.117354162250078,0.0619553994788384,0.0205555983757391,0.0348431643955002,0.574863932519518,0.909923413702758,0.742393673111138,0.523809523809524,0.761904761904762,0.119047619047619,0.214285714285714,0.738095238095238,0.880952380952381
IMF,absolute,rolling window,pcpi_pch,0.5,0.257395984628226,0.136209689323085,0.102626730538918,0.0185595647662219,1.28235845925533,1.9420235444262,1.61219100184076,0.428571428571429,0.75,0.0119047619047619,0.119047619047619,0.547619047619048,0.761904761904762
IMF,absolute,rolling window,pcpi_pch,1,0.470891552901596,0.216820332100756,0.153360944378265,0.100710276422574,2.37573811409858,3.47848577278546,2.92711194344202,0.404761904761905,0.666666666666667,0.119047619047619,0.166666666666667,0.571428571428571,0.785714285714286
IMF,absolute,rolling window,pcpi_pch,1.5,0.521334669367945,0.259401800221847,0.162456992148903,0.0994758769971946,2.60588063398727,3.91199180239073,3.258936218189,0.416666666666667,0.666666666666667,0.107142857142857,0.154761904761905,0.571428571428571,0.773809523809524
ar,absolute,rolling window,ngdp_rpch,0,0.294138964254951,0.176845463373158,0.0248425600679141,0.092450940813879,1.5231800966303,2.07482904352329,1.79900457007679,0.476190476190476,0.797619047619048,0.166666666666667,0.321428571428571,0.797619047619048,0.964285714285714
ar,absolute,rolling window,ngdp_rpch,0.5,0.569749017073487,0.311191493255831,0.0343489338878232,0.224208589929832,2.90399799907725,4.1349853437766,3.51949167142693,0.476190476190476,0.726190476190476,0.238095238095238,0.452380952380952,0.928571428571429,0.964285714285714
ar,absolute,rolling window,ngdp_rpch,1,1.19927994059729,0.505363578192733,0.00317898766377107,0.690737374740783,5.8702932937506,9.30986557756924,7.59007943565992,0.392857142857143,0.738095238095238,0.261904761904762,0.55952380952381,0.952380952380952,1
ar,absolute,rolling window,ngdp_rpch,1.5,1.41481431609288,0.627472338871843,0.00176773370974745,0.785574243511285,6.95170878847843,10.9170143506614,8.93436156956993,0.416666666666667,0.666666666666667,0.321428571428571,0.571428571428571,0.988095238095238,0.988095238095238
ar,absolute,rolling window,pcpi_pch,0,0.126444966521353,0.0653672975243588,0.028040634880858,0.033037034116136,0.634056298027802,0.943758585357549,0.788907441692676,0.428571428571429,0.714285714285714,0.142857142857143,0.297619047619048,0.726190476190476,0.857142857142857
