model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0,0.244745550108722,0.11141188620237,0.0606915492019666,0.0726421147043847,1.18717550251683,1.92697224588235,1.55707387419959,0.428571428571429,0.654761904761905,0.178571428571429,0.285714285714286,0.714285714285714,0.833333333333333
IMF,directional,rolling window,ngdp_rpch,0.5,0.409727704735418,0.225227749641621,0.0951971462274063,0.0893028088663902,2.08175573364863,2.99016476058677,2.5359602471177,0.535714285714286,0.666666666666667,0.178571428571429,0.273809523809524,0.80952380952381,0.845238095238095
IMF,directional,rolling window,ngdp_rpch,1,0.884236987115969,0.345620605655149,0.152211156512251,0.386405224948569,4.36072083628408,6.78293765160918,5.57182924394663,0.416666666666667,0.702380952380952,0.202380952380952,0.369047619047619,0.785714285714286,0.904761904761905
IMF,directional,rolling window,ngdp_rpch,1.5,1.1469628353715,0.375947460942831,0.268679768300764,0.502335606127905,5.49007050265904,9.21408045078239,7.35207547672072,0.404761904761905,0.547619047619048,0.297619047619048,0.345238095238095,0.75,0.845238095238095
IMF,directional,rolling window,pcpi_pch,0,0.122985460186888,0.0544484002082047,0.0275126089028081,0.041024451075875,0.600552885823304,0.958326989179492,0.779439937501398,0.440476190476191,0.642857142857143,0.154761904761905,0.261904761904762,0.702380952380952,0.797619047619048
IMF,directional,rolling window,pcpi_pch,0.5,0.25128441275148,0.111702111629859,0.101644191162102,0.0379381099595187,1.246529574589,1.9093643185571,1.57794694657305,0.392857142857143,0.654761904761905,0.0833333333333333,0.202380952380952,0.595238095238095,0.738095238095238
IMF,directional,rolling window,pcpi_pch,1,0.503151030537654,0.171446462266859,0.220847011829995,0.1108575564408,2.46555802510499,3.89912554799061,3.1823417865478,0.30952380952381,0.535714285714286,0.130952380952381,0.178571428571429,0.488095238095238,0.666666666666667
IMF,directional,rolling window,pcpi_pch,1.5,0.550518799442036,0.198032663912157,0.235190658136322,0.117295477393557,2.65779327019321,4.3658928133577,3.51184304177545,0.380952380952381,0.535714285714286,0.119047619047619,0.130952380952381,0.511904761904762,0.654761904761905
ar,directional,rolling window,ngdp_rpch,0,0.31357462805016,0.143345827440852,0.0949793027183284,0.0752494978909797,1.58114685944209,2.31862541239797,1.94988613592003,0.392857142857143,0.654761904761905,0.130952380952381,0.238095238095238,0.630952380952381,0.785714285714286
ar,directional,rolling window,ngdp_rpch,0.5,0.485846552721814,0.208261947650819,0.138586300750074,0.13899830432092,2.39340465639169,3.73341941345705,3.06341203492437,0.440476190476191,0.654761904761905,0.178571428571429,0.285714285714286,0.726190476190476,0.833333333333333
ar,directional,rolling window,ngdp_rpch,1,0.928688366434953,0.271399634473815,0.129405036602099,0.527883695359039,4.38212794480226,7.61844746669343,6.00028770574784,0.404761904761905,0.630952380952381,0.214285714285714,0.392857142857143,0.797619047619048,0.845238095238095
ar,directional,rolling window,ngdp_rpch,1.5,1.09040752635807,0.322622074124729,0.171865866732765,0.595919585500572,5.18034931462912,8.8572772405885,7.01881327760881,0.392857142857143,0.607142857142857,0.273809523809524,0.392857142857143,0.785714285714286,0.880952380952381
ar,directional,rolling window,pcpi_pch,0,0.109253786997079,0.0486791417209985,0.0236046590882931,0.0369699861877873,0.540615110954633,0.833537962554994,0.687076536754814,0.369047619047619,0.654761904761905,0.166666666666667,0.30952380952381,0.678571428571429,0.821428571428571
ar,directional,rolling window,pcpi_pch,0.5,0.269257208747425,0.123134298398864,0.0967062996106089,0.0494166107379525,1.36300906633294,1.97762150911616,1.67031528772455,0.416666666666667,0.630952380952381,0.119047619047619,0.202380952380952,0.619047619047619,0.75
ar,directional,rolling window,pcpi_pch,1,0.580295401877207,0.15380770119094,0.206639118201512,0.219848582484755,2.69481138245568,4.86887958140493,3.78184548193031,0.345238095238095,0.55952380952381,0.154761904761905,0.226190476190476,0.571428571428571,0.714285714285714
ar,directional,rolling window,pcpi_pch,1.5,0.601748449040532,0.217741051026203,0.278352824827065,0.105654573187263,2.93795724351952,4.69007587201185,3.81401655776568,0.273809523809524,0.55952380952381,0.119047619047619,0.166666666666667,0.440476190476191,0.678571428571429
ar_bic,directional,rolling window,ngdp_rpch,0,0.313742186858563,0.144232625598739,0.0978488544810021,0.0716607067788222,1.59150909703981,2.29607099457175,1.94379004580578,0.404761904761905,0.654761904761905,0.130952380952381,0.226190476190476,0.630952380952381,0.785714285714286
ar_bic,directional,rolling window,ngdp_rpch,0.5,0.521195572370917,0.207750340182593,0.172987725958445,0.140457506229879,2.55147321046134,4.04522842126498,3.29835081586316,0.404761904761905,0.642857142857143,0.166666666666667,0.285714285714286,0.690476190476191,0.80952380952381
ar_bic,directional,rolling window,ngdp_rpch,1,0.930937454680158,0.278656704818335,0.130406993692859,0.521873756168964,4.41150669781688,7.58998234906096,6.00074452343892,0.392857142857143,0.630952380952381,0.202380952380952,0.392857142857143,0.785714285714286,0.833333333333333
ar_bic,directional,rolling window,ngdp_rpch,1.5,1.19973561390174,0.342322955721596,0.263988843215249,0.593423814964892,5.66533757267741,9.83136834634122,7.74835295950932,0.392857142857143,0.607142857142857,0.273809523809524,0.404761904761905,0.797619047619048,0.880952380952381
ar_bic,directional,rolling window,pcpi_pch,0,0.108609850869171,0.0508306296311332,0.0246376540276821,0.0331415672103556,0.542832544495677,0.815115656144225,0.678974100319951,0.452380952380952,0.654761904761905,0.154761904761905,0.226190476190476,0.678571428571429,0.80952380952381
