model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,rolling window,ngdp_rpch,0,0.265394415100254,0.107142524915137,0.135851762194227,0.0224001279908901,-0.0216216216216216,,,0.5,0.756756756756757
IMF,absolute,rolling window,ngdp_rpch,0.5,0.461539870681594,0.208035894695432,0.155413567737664,0.0980904082484977,-0.0216216216216216,,,0.540540540540541,0.716216216216216
IMF,absolute,rolling window,ngdp_rpch,1,1.12526369999927,0.332888176827533,0.069019791723051,0.723355731448691,0.0121621621621621,,,0.567567567567568,0.756756756756757
IMF,absolute,rolling window,ngdp_rpch,1.5,1.20794182912767,0.449499318902702,0.0752454345605777,0.683197075664395,0.0527027027027027,,,0.621621621621622,0.783783783783784
IMF,absolute,rolling window,pcpi_pch,0,0.0926797252615428,0.050795683779861,0.0188278893119793,0.0230561521697025,0.0256756756756757,,,0.567567567567568,0.783783783783784
IMF,absolute,rolling window,pcpi_pch,0.5,0.386687811499908,0.141072270927288,0.226937153479186,0.0186783870934335,-0.0148648648648649,,,0.567567567567568,0.702702702702703
IMF,absolute,rolling window,pcpi_pch,1,0.824930278878165,0.284964381703414,0.451700740385593,0.0882651567891582,-0.0689189189189189,,,0.432432432432432,0.72972972972973
IMF,absolute,rolling window,pcpi_pch,1.5,1.01350647725762,0.310920994768904,0.618109799469794,0.084475683018919,-0.12972972972973,,,0.418918918918919,0.621621621621622
ar,absolute,rolling window,ngdp_rpch,0,0.296843325351175,0.165118975920776,0.00494377292235481,0.126780576508044,0.0256756756756757,,,0.540540540540541,0.810810810810811
ar,absolute,rolling window,ngdp_rpch,0.5,0.741571836754155,0.281244847792304,0.0349513519254528,0.425375637036398,-0.0216216216216216,,,0.513513513513514,0.743243243243243
ar,absolute,rolling window,ngdp_rpch,1,1.36983366173169,0.53743344824079,0.0610221546565978,0.771378058834304,0.0189189189189189,,,0.5,0.837837837837838
ar,absolute,rolling window,ngdp_rpch,1.5,1.59234505700599,0.631750313567455,0.172037661139693,0.788557082298838,-0.0216216216216216,,,0.5,0.756756756756757
ar,absolute,rolling window,pcpi_pch,0,0.177113566120888,0.0624783687877269,0.0896251106050467,0.0250100867281141,-0.0418918918918919,,,0.472972972972973,0.743243243243243
ar,absolute,rolling window,pcpi_pch,0.5,0.40471194646901,0.143922215534127,0.19747276904126,0.0633169618936231,-0.12972972972973,,,0.405405405405405,0.635135135135135
ar,absolute,rolling window,pcpi_pch,1,0.904388710331672,0.44173461193867,0.231616676941384,0.231037421451618,-0.116216216216216,,,0.378378378378378,0.689189189189189
ar,absolute,rolling window,pcpi_pch,1.5,1.14175127262333,0.679980757149201,0.198549623457949,0.263220892016177,-0.102702702702703,,,0.432432432432432,0.662162162162162
bvar,absolute,rolling window,ngdp_rpch,0,0.387206297384928,0.163926656142623,0.00339563157220297,0.219884009670102,-0.00810810810810813,,,0.540540540540541,0.743243243243243
bvar,absolute,rolling window,ngdp_rpch,0.5,0.636395759989645,0.235328703044402,0.0490395600782581,0.352027496866985,-0.00810810810810813,,,0.513513513513514,0.77027027027027
bvar,absolute,rolling window,ngdp_rpch,1,1.41611888580367,0.436704133475701,0,0.979414752327965,-0.00810810810810813,,,0.5,0.783783783783784
bvar,absolute,rolling window,ngdp_rpch,1.5,1.52634123350362,0.484886070378703,0.281331048546146,0.760124114578774,-0.0148648648648649,,,0.513513513513514,0.756756756756757
bvar,absolute,rolling window,pcpi_pch,0,0.183466759242866,0.0596364676013028,0.093537280937475,0.0302930107040887,-0.0891891891891892,,,0.405405405405405,0.716216216216216
bvar,absolute,rolling window,pcpi_pch,0.5,0.423934991859143,0.149245283354461,0.24540470779206,0.0292850007126227,-0.12972972972973,,,0.378378378378378,0.662162162162162
bvar,absolute,rolling window,pcpi_pch,1,0.803959625915138,0.325831000572224,0.301627840144638,0.176500785198276,-0.109459459459459,,,0.391891891891892,0.689189189189189
bvar,absolute,rolling window,pcpi_pch,1.5,1.01757019234841,0.430477367174533,0.373565718333669,0.213527106840213,-0.17027027027027,,,0.364864864864865,0.594594594594595
