target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,directional,IMF,0.288171520777267
ngdp_rpch,0.5,rolling window,directional,IMF,0.499818889227479
ngdp_rpch,1,rolling window,directional,IMF,1.02052696439524
ngdp_rpch,1.5,rolling window,directional,IMF,1.29621215238696
pcpi_pch,0,rolling window,directional,IMF,0.144320800017912
pcpi_pch,0.5,rolling window,directional,IMF,0.295554479736461
pcpi_pch,1,rolling window,directional,IMF,0.571080514701948
pcpi_pch,1.5,rolling window,directional,IMF,0.627941126813474
ngdp_rpch,0,rolling window,directional,ar,0.370668428057788
ngdp_rpch,0.5,rolling window,directional,ar,0.568826490252478
ngdp_rpch,1,rolling window,directional,ar,1.03538749959247
ngdp_rpch,1.5,rolling window,directional,ar,1.21763730939098
pcpi_pch,0,rolling window,directional,ar,0.128348129612353
pcpi_pch,0.5,rolling window,directional,ar,0.318100123923325
pcpi_pch,1,rolling window,directional,ar,0.639991631233949
pcpi_pch,1.5,rolling window,directional,ar,0.686832502213502
ngdp_rpch,0,rolling window,directional,ar_bic,0.371396157577105
ngdp_rpch,0.5,rolling window,directional,ar_bic,0.604171768094255
ngdp_rpch,1,rolling window,directional,ar_bic,1.04064006652374
ngdp_rpch,1.5,rolling window,directional,ar_bic,1.33538380137476
pcpi_pch,0,rolling window,directional,ar_bic,0.12860957920829
pcpi_pch,0.5,rolling window,directional,ar_bic,0.301561597610925
pcpi_pch,1,rolling window,directional,ar_bic,0.714136954482584
pcpi_pch,1.5,rolling window,directional,ar_bic,0.775800968009824
ngdp_rpch,0,rolling window,directional,bvar,0.373544733862583
ngdp_rpch,0.5,rolling window,directional,bvar,0.600208921280658
ngdp_rpch,1,rolling window,directional,bvar,1.02282507325461
ngdp_rpch,1.5,rolling window,directional,bvar,1.22888605417803
pcpi_pch,0,rolling window,directional,bvar,0.122765058126927
pcpi_pch,0.5,rolling window,directional,bvar,0.358568255221964
pcpi_pch,1,rolling window,directional,bvar,0.634342759293848
pcpi_pch,1.5,rolling window,directional,bvar,0.81746970758041
ngdp_rpch,0,rolling window,directional,bvar_const,0.371056614899018
ngdp_rpch,0.5,rolling window,directional,bvar_const,0.595879231903902
ngdp_rpch,1,rolling window,directional,bvar_const,1.01546586592618
ngdp_rpch,1.5,rolling window,directional,bvar_const,1.22167226432373
pcpi_pch,0,rolling window,directional,bvar_const,0.12475939011258
pcpi_pch,0.5,rolling window,directional,bvar_const,0.376353150318558
pcpi_pch,1,rolling window,directional,bvar_const,0.640151891030921
pcpi_pch,1.5,rolling window,directional,bvar_const,0.816562354273571
ngdp_rpch,0,rolling window,directional,mean_ensemble,0.275495132820852
ngdp_rpch,0.5,rolling window,directional,mean_ensemble,0.493587369223621
ngdp_rpch,1,rolling window,directional,mean_ensemble,1.00044875890675
ngdp_rpch,1.5,rolling window,directional,mean_ensemble,1.21328600778222
pcpi_pch,0,rolling window,directional,mean_ensemble,0.116594363192141
pcpi_pch,0.5,rolling window,directional,mean_ensemble,0.267568623909536
pcpi_pch,1,rolling window,directional,mean_ensemble,0.571943677449729
pcpi_pch,1.5,rolling window,directional,mean_ensemble,0.665844106755966
