target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,absolute,IMF,0.31111787164722
ngdp_rpch,0.5,rolling window,absolute,IMF,0.546042194252901
ngdp_rpch,1,rolling window,absolute,IMF,1.25445982799812
ngdp_rpch,1.5,rolling window,absolute,IMF,1.37737336934162
pcpi_pch,0,rolling window,absolute,IMF,0.112517017891774
pcpi_pch,0.5,rolling window,absolute,IMF,0.442305723271663
pcpi_pch,1,rolling window,absolute,IMF,0.937684517418392
pcpi_pch,1.5,rolling window,absolute,IMF,1.13844978475624
ngdp_rpch,0,rolling window,absolute,ar,0.363815518524095
ngdp_rpch,0.5,rolling window,absolute,ar,0.851387599478898
ngdp_rpch,1,rolling window,absolute,ar,1.57699923089543
ngdp_rpch,1.5,rolling window,absolute,ar,1.83784899065747
pcpi_pch,0,rolling window,absolute,ar,0.202099898467876
pcpi_pch,0.5,rolling window,absolute,ar,0.461639206031227
pcpi_pch,1,rolling window,absolute,ar,1.0822393376324
pcpi_pch,1.5,rolling window,absolute,ar,1.41923644391316
ngdp_rpch,0,rolling window,absolute,ar-direct,0.338369065730154
ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.869182454381783
ngdp_rpch,1,rolling window,absolute,ar-direct,1.60835617687394
ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.84785584171424
pcpi_pch,0,rolling window,absolute,ar-direct,0.210765741878907
pcpi_pch,0.5,rolling window,absolute,ar-direct,0.533362137493529
pcpi_pch,1,rolling window,absolute,ar-direct,1.15777865213838
pcpi_pch,1.5,rolling window,absolute,ar-direct,1.45069488164501
ngdp_rpch,0,rolling window,absolute,ar_annual-direct,1.76426135443101
ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,1.76751909952959
ngdp_rpch,1,rolling window,absolute,ar_annual-direct,1.62932641866921
ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,1.62983460485889
pcpi_pch,0,rolling window,absolute,ar_annual-direct,1.00274291385491
pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,1.00232538583226
pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.30552948314509
pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.30544000077001
ngdp_rpch,0,rolling window,absolute,ar_bic,0.360806686591612
ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.772591485323463
ngdp_rpch,1,rolling window,absolute,ar_bic,1.51410087618036
ngdp_rpch,1.5,rolling window,absolute,ar_bic,1.8417643068145
pcpi_pch,0,rolling window,absolute,ar_bic,0.187636908066511
pcpi_pch,0.5,rolling window,absolute,ar_bic,0.484881587418192
pcpi_pch,1,rolling window,absolute,ar_bic,0.9749787109296
pcpi_pch,1.5,rolling window,absolute,ar_bic,1.11966049002479
ngdp_rpch,0,rolling window,absolute,ar_bic-direct,0.332577327289557
ngdp_rpch,0.5,rolling window,absolute,ar_bic-direct,0.804147420744796
ngdp_rpch,1,rolling window,absolute,ar_bic-direct,1.56808857067584
ngdp_rpch,1.5,rolling window,absolute,ar_bic-direct,1.83654655036086
pcpi_pch,0,rolling window,absolute,ar_bic-direct,0.193357062431039
pcpi_pch,0.5,rolling window,absolute,ar_bic-direct,0.51552013269012
pcpi_pch,1,rolling window,absolute,ar_bic-direct,1.02343829384886
pcpi_pch,1.5,rolling window,absolute,ar_bic-direct,1.2414761521899
ngdp_rpch,0,rolling window,absolute,arx_annual-direct,0.347847203023725
ngdp_rpch,0.5,rolling window,absolute,arx_annual-direct,0.553859611898795
ngdp_rpch,1,rolling window,absolute,arx_annual-direct,1.53899219864305
ngdp_rpch,1.5,rolling window,absolute,arx_annual-direct,1.50515636264873
pcpi_pch,0,rolling window,absolute,arx_annual-direct,0.146132248953308
pcpi_pch,0.5,rolling window,absolute,arx_annual-direct,0.47476044010258
pcpi_pch,1,rolling window,absolute,arx_annual-direct,1.06084764348842
pcpi_pch,1.5,rolling window,absolute,arx_annual-direct,1.24507014000533
ngdp_rpch,0,rolling window,absolute,bvar,0.452930594903373
ngdp_rpch,0.5,rolling window,absolute,bvar,0.728769430004593
ngdp_rpch,1,rolling window,absolute,bvar,1.57900682601834
ngdp_rpch,1.5,rolling window,absolute,bvar,1.70723548002088
pcpi_pch,0,rolling window,absolute,bvar,0.20698235480855
pcpi_pch,0.5,rolling window,absolute,bvar,0.480789303634917
pcpi_pch,1,rolling window,absolute,bvar,0.932523575467939
pcpi_pch,1.5,rolling window,absolute,bvar,1.18867199909908
ngdp_rpch,0,rolling window,absolute,bvar_const,0.34782092251906
