model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0.671418269332902,0.264551925610493,0.144194905060597,0.262671438661812,3.27993064377714,5.22853877721518,4.25423471049616,0.446428571428571,0.642857142857143,0.214285714285714,0.318452380952381,0.764880952380952,0.857142857142857
IMF,directional,rolling window,pcpi_pch,0.356984925729514,0.13390740950427,0.146298617507807,0.0767788987174377,1.74260843892763,2.78317741727123,2.26289292809943,0.380952380952381,0.592261904761905,0.12202380952381,0.193452380952381,0.574404761904762,0.714285714285714
ar,directional,rolling window,ngdp_rpch,0.704629268391248,0.236407370922554,0.133709126700817,0.334512770767878,3.38425719381629,5.63194238328424,4.50809978855026,0.407738095238095,0.636904761904762,0.199404761904762,0.327380952380952,0.735119047619048,0.836309523809524
ar,directional,rolling window,pcpi_pch,0.390138711665561,0.135840548084251,0.15132572543187,0.10297243814944,1.88409820081569,3.09252873127198,2.48831346604384,0.351190476190476,0.601190476190476,0.139880952380952,0.226190476190476,0.577380952380952,0.741071428571429
ar_bic,directional,rolling window,ngdp_rpch,0.741402706952844,0.243240656580316,0.166308104336889,0.331853946035639,3.55495664449886,5.94066252780973,4.7478095861543,0.398809523809524,0.633928571428571,0.193452380952381,0.327380952380952,0.726190476190476,0.827380952380952
ar_bic,directional,rolling window,pcpi_pch,0.423576298472205,0.144895561359509,0.156986177676748,0.121694559435948,2.04628030755279,3.35582520056213,2.70105275405746,0.37797619047619,0.619047619047619,0.133928571428571,0.211309523809524,0.589285714285714,0.752976190476191
bvar,directional,rolling window,ngdp_rpch,0.710783509051924,0.242033251664901,0.158413095906181,0.310337161480842,3.40233257998787,5.7098387310688,4.55608565552833,0.407738095238095,0.645833333333333,0.172619047619048,0.297619047619048,0.705357142857143,0.818452380952381
bvar,directional,rolling window,pcpi_pch,0.426923022247387,0.143893458565293,0.199795633531827,0.0832339301502666,2.09544222842,3.29985487389775,2.69764855115887,0.318452380952381,0.595238095238095,0.113095238095238,0.214285714285714,0.532738095238095,0.708333333333333
bvar_const,directional,rolling window,ngdp_rpch,0.707193408753748,0.237295257188526,0.156137664551942,0.31376048701328,3.38155243207804,5.68998709487985,4.53576976347895,0.398809523809524,0.633928571428571,0.178571428571429,0.306547619047619,0.705357142857143,0.8125
bvar_const,directional,rolling window,pcpi_pch,0.432967398998219,0.143648121950701,0.19172274265485,0.0975965343926674,2.08749475631178,3.44061108918492,2.76405292274835,0.330357142857143,0.586309523809524,0.133928571428571,0.244047619047619,0.574404761904762,0.720238095238095
mean_ensemble,directional,rolling window,ngdp_rpch,0.647755163054005,0.247664182732649,0.120797951727267,0.279293028594089,3.13907329131286,5.10742003279795,4.1232466620554,0.455357142857143,0.702380952380952,0.151785714285714,0.300595238095238,0.755952380952381,0.854166666666667
mean_ensemble,directional,rolling window,pcpi_pch,0.351393655334658,0.137880472051271,0.135997761289743,0.0775154219936436,1.72323048046952,2.71979690551936,2.22151369299444,0.401785714285714,0.660714285714286,0.110119047619048,0.18452380952381,0.586309523809524,0.770833333333333
