target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
2013,ngdp_rpch,0,ar,0.197760022776487,0.062772407239504,0.0048274552572113,0.130160160279772,0.87780961485078,1.32696648298121,0.965363962693348,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1
2014,ngdp_rpch,0,ar,0.367684582449438,0.0624556325968145,0,0.305228949852623,1.60234448387289,2.61671616074732,1.86791768434617,0,0,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,ngdp_rpch,0,ar,0.278103992322254,0.0620736237027535,0.0326343477927432,0.183396020826757,1.20748013776217,2.11442571701839,1.46759788795541,0,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1
2016,ngdp_rpch,0,ar,0.206016444122026,0.0616700009117272,0.0383440039391823,0.106002439271116,0.91019528032046,1.27765134660161,0.96094459422963,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1
2017,ngdp_rpch,0,ar,0.221261693686605,0.0611909313253899,0.000555095519391758,0.159515666841824,0.952684318985204,1.64848855674805,1.14831189847078,0,0.142857142857143,0.142857142857143,0.428571428571429,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1
2018,ngdp_rpch,0,ar,0.243092336207778,0.0608459180422678,0.0575704858389474,0.124675932326563,1.05463529808059,1.99428362687729,1.32539029560747,0,0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
2019,ngdp_rpch,0,ar,0.295908149898727,0.0604393898311209,0.00693430525274481,0.228534454814862,1.32313900348897,1.82553179633479,1.38648093320596,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.571428571428571,0.428571428571429,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1
2020,ngdp_rpch,0,ar,0.535030463354813,0.0896507362623971,0.0439537086828303,0.401426018409586,2.38046010852475,3.74753320753818,2.71908650866522,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.571428571428571,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1
2021,ngdp_rpch,0,ar,0.956233227979412,0.089491198482729,0,0.866742029496683,4.05864939063776,8.09895671597309,5.37721340244484,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,1,1,1,1,1,1
2022,ngdp_rpch,0,ar,0.245369846779921,0.0888990533277318,0.0021243662392664,0.154346427212923,1.10131788751882,1.3152046764685,1.09881931298845,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,1,1,1,1
