model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90
IMF,absolute,rolling window,ngdp_rpch,0,0.258887721640974,0.12161360755479,0.0500102040275226,0.0872639100586622,0.0291005291005291,,,0.166666666666667,0.238095238095238,0.392857142857143,0.476190476190476,0.523809523809524,0.595238095238095,0.678571428571429,0.773809523809524,0.916666666666667
IMF,absolute,rolling window,ngdp_rpch,0.5,0.482250109449812,0.25558353163931,0.0898711158817881,0.136795461928713,0.0621693121693122,,,0.214285714285714,0.261904761904762,0.380952380952381,0.523809523809524,0.595238095238095,0.666666666666667,0.761904761904762,0.797619047619048,0.857142857142857
IMF,absolute,rolling window,ngdp_rpch,1,1.0108745253184,0.369363519387787,0.0890457959317271,0.55246520999889,-0.0211640211640212,,,0.166666666666667,0.25,0.333333333333333,0.392857142857143,0.464285714285714,0.535714285714286,0.642857142857143,0.726190476190476,0.797619047619048
IMF,absolute,rolling window,ngdp_rpch,1.5,1.28481252224158,0.413938997643832,0.151537371334628,0.719336153263119,-0.0634920634920635,,,0.154761904761905,0.19047619047619,0.285714285714286,0.357142857142857,0.476190476190476,0.523809523809524,0.619047619047619,0.642857142857143,0.678571428571429
IMF,absolute,rolling window,pcpi_pch,0,0.136355587992265,0.0635450298313639,0.0297005846890809,0.0431099734718204,0.0621693121693122,,,0.25,0.333333333333333,0.416666666666667,0.5,0.547619047619048,0.619047619047619,0.738095238095238,0.797619047619048,0.857142857142857
IMF,absolute,rolling window,pcpi_pch,0.5,0.297622612730968,0.129638961302538,0.13950032735258,0.0284833240758498,-0.0224867724867725,,,0.166666666666667,0.226190476190476,0.30952380952381,0.369047619047619,0.428571428571429,0.547619047619048,0.630952380952381,0.761904761904762,0.857142857142857
IMF,absolute,rolling window,pcpi_pch,1,0.556659011716392,0.179424706765341,0.243989838185047,0.133244466766004,-0.113756613756614,,,0.154761904761905,0.202380952380952,0.25,0.273809523809524,0.392857142857143,0.452380952380952,0.511904761904762,0.583333333333333,0.654761904761905
IMF,absolute,rolling window,pcpi_pch,1.5,0.607761917621788,0.238326322969407,0.24668127810994,0.122754316542441,-0.0568783068783069,,,0.166666666666667,0.238095238095238,0.30952380952381,0.369047619047619,0.416666666666667,0.511904761904762,0.595238095238095,0.642857142857143,0.738095238095238
ar,absolute,rolling window,ngdp_rpch,0,0.349183989331753,0.178204981960056,0.0442806337637448,0.126698373607952,0.00529100529100529,,,0.142857142857143,0.238095238095238,0.321428571428571,0.380952380952381,0.5,0.571428571428571,0.678571428571429,0.821428571428571,0.892857142857143
ar,absolute,rolling window,ngdp_rpch,0.5,0.658629118989362,0.294140969776828,0.0525682315449979,0.311919917667536,0.00264550264550265,,,0.142857142857143,0.25,0.357142857142857,0.440476190476191,0.523809523809524,0.583333333333333,0.654761904761905,0.761904761904762,0.80952380952381
ar,absolute,rolling window,ngdp_rpch,1,1.38601184550583,0.484798690570813,0.0129990450552226,0.888214109879797,-0.0806878306878307,,,0.154761904761905,0.202380952380952,0.238095238095238,0.285714285714286,0.380952380952381,0.476190476190476,0.583333333333333,0.702380952380952,0.75
ar,absolute,rolling window,ngdp_rpch,1.5,1.63979974446309,0.637318209242965,0.0108894614202764,0.991592073799847,-0.0873015873015873,,,0.130952380952381,0.19047619047619,0.273809523809524,0.321428571428571,0.380952380952381,0.488095238095238,0.571428571428571,0.630952380952381,0.726190476190476
ar,absolute,rolling window,pcpi_pch,0,0.140679582953029,0.0568423475295781,0.0414735393148512,0.0423636961085993,-0.0423280423280423,,,0.130952380952381,0.19047619047619,0.261904761904762,0.345238095238095,0.440476190476191,0.547619047619048,0.642857142857143,0.726190476190476,0.833333333333333
ar,absolute,rolling window,pcpi_pch,0.5,0.315543780193435,0.172519074782676,0.0487875802467148,0.0942371251640443,0.0621693121693122,,,0.202380952380952,0.333333333333333,0.416666666666667,0.523809523809524,0.55952380952381,0.654761904761905,0.726190476190476,0.797619047619048,0.845238095238095
ar,absolute,rolling window,pcpi_pch,1,0.909625240528587,0.506502005366826,0.0483505382822666,0.354772696879494,0.037037037037037,,,0.25,0.333333333333333,0.416666666666667,0.476190476190476,0.583333333333333,0.583333333333333,0.666666666666667,0.726190476190476,0.797619047619048
ar,absolute,rolling window,pcpi_pch,1.5,1.26345242092062,0.978904464774039,0.000889098265671137,0.283658857880907,0.181216931216931,,,0.321428571428571,0.488095238095238,0.595238095238095,0.654761904761905,0.738095238095238,0.785714285714286,0.833333333333333,0.833333333333333,0.880952380952381
bvar,absolute,rolling window,ngdp_rpch,0,0.353037023042208,0.188762902002641,0.0501692108289933,0.114104910210574,0.0476190476190476,,,0.166666666666667,0.226190476190476,0.30952380952381,0.464285714285714,0.595238095238095,0.654761904761905,0.75,0.857142857142857,0.904761904761905
bvar,absolute,rolling window,ngdp_rpch,0.5,0.602120423827408,0.269627098067946,0.0826470619481352,0.249846263811327,0.00661375661375661,,,0.166666666666667,0.214285714285714,0.297619047619048,0.392857142857143,0.511904761904762,0.630952380952381,0.690476190476191,0.785714285714286,0.869047619047619
bvar,absolute,rolling window,ngdp_rpch,1,1.19209239628098,0.345910593094253,0.0292512288533503,0.816930574333372,-0.0687830687830688,,,0.154761904761905,0.19047619047619,0.273809523809524,0.345238095238095,0.416666666666667,0.523809523809524,0.583333333333333,0.642857142857143,0.75
bvar,absolute,rolling window,ngdp_rpch,1.5,1.40433236540643,0.439754953931506,0.0493376092922936,0.915239802182628,-0.0753968253968254,,,0.166666666666667,0.214285714285714,0.273809523809524,0.345238095238095,0.357142857142857,0.464285714285714,0.595238095238095,0.654761904761905,0.75
bvar,absolute,rolling window,pcpi_pch,0,0.13642600933605,0.0523615363781324,0.0476188624377907,0.0364456105201271,-0.0515873015873016,,,0.107142857142857,0.178571428571429,0.273809523809524,0.345238095238095,0.440476190476191,0.55952380952381,0.630952380952381,0.702380952380952,0.797619047619048
bvar,absolute,rolling window,pcpi_pch,0.5,0.333903420420574,0.153664518174634,0.116412170373898,0.0638267318720426,0.0224867724867725,,,0.166666666666667,0.273809523809524,0.380952380952381,0.440476190476191,0.5,0.619047619047619,0.690476190476191,0.785714285714286,0.845238095238095
bvar,absolute,rolling window,pcpi_pch,1,0.700777270807213,0.348491021340693,0.0886038013525107,0.263682448114009,0.0582010582010582,,,0.226190476190476,0.392857142857143,0.428571428571429,0.523809523809524,0.583333333333333,0.630952380952381,0.690476190476191,0.726190476190476,0.821428571428571
bvar,absolute,rolling window,pcpi_pch,1.5,0.931716963592971,0.665399257213035,0.0296038543709359,0.236713852009,0.202380952380952,,,0.392857142857143,0.55952380952381,0.595238095238095,0.702380952380952,0.726190476190476,0.773809523809524,0.80952380952381,0.845238095238095,0.916666666666667
