model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_40,coverage_50,coverage_60,coverage_80,coverage_90
IMF,directional,rolling window,ngdp_rpch,0,,,,0.105471670335764,,,,0.0952380952380952,,,,0.5,,0.75
IMF,directional,rolling window,ngdp_rpch,0.5,,,,0.145910339122768,,,,0.130952380952381,,,,0.607142857142857,,0.797619047619048
IMF,directional,rolling window,ngdp_rpch,1,,,,0.468028845141982,,,,0.107142857142857,,,,0.488095238095238,,0.773809523809524
IMF,directional,rolling window,ngdp_rpch,1.5,,,,0.586518002682206,,,,0.0952380952380952,,,,0.464285714285714,,0.702380952380952
IMF,directional,rolling window,pcpi_pch,0,,,,0.0494997916573599,,,,0.0595238095238095,,,,0.523809523809524,,0.797619047619048
IMF,directional,rolling window,pcpi_pch,0.5,,,,0.0541658771649729,,,,0.0833333333333333,,,,0.488095238095238,,0.761904761904762
IMF,directional,rolling window,pcpi_pch,1,,,,0.134618313583756,,,,0.0952380952380952,,,,0.380952380952381,,0.702380952380952
IMF,directional,rolling window,pcpi_pch,1.5,,,,0.135127014756303,,,,0.0714285714285714,,,,0.440476190476191,,0.619047619047619
ar,directional,rolling window,ngdp_rpch,0,,,,0.100307468832405,,,,0.107142857142857,,,,0.452380952380952,,0.773809523809524
ar,directional,rolling window,ngdp_rpch,0.5,,,,0.1889023443494,,,,0.0357142857142857,,,,0.5,,0.785714285714286
ar,directional,rolling window,ngdp_rpch,1,,,,0.607438894973891,,,,0.0476190476190476,,,,0.511904761904762,,0.714285714285714
ar,directional,rolling window,ngdp_rpch,1.5,,,,0.677591127285755,,,,0.119047619047619,,,,0.476190476190476,,0.75
ar,directional,rolling window,pcpi_pch,0,,,,0.0484245050966059,,,,0.0595238095238095,,,,0.404761904761905,,0.726190476190476
ar,directional,rolling window,pcpi_pch,0.5,,,,0.0749071267834818,,,,0.0476190476190476,,,,0.5,,0.75
ar,directional,rolling window,pcpi_pch,1,,,,0.246018398198809,,,,0.0238095238095238,,,,0.428571428571429,,0.666666666666667
ar,directional,rolling window,pcpi_pch,1.5,,,,0.137648229602973,,,,0.0238095238095238,,,,0.345238095238095,,0.690476190476191
bvar,directional,rolling window,ngdp_rpch,0,,,,0.0980466251306232,,,,0.0833333333333333,,,,0.440476190476191,,0.785714285714286
bvar,directional,rolling window,ngdp_rpch,0.5,,,,0.182496312845362,,,,0.0476190476190476,,,,0.488095238095238,,0.761904761904762
bvar,directional,rolling window,ngdp_rpch,1,,,,0.551555961325715,,,,0.0833333333333333,,,,0.523809523809524,,0.714285714285714
bvar,directional,rolling window,ngdp_rpch,1.5,,,,0.636763772754722,,,,0.0714285714285714,,,,0.5,,0.738095238095238
bvar,directional,rolling window,pcpi_pch,0,,,,0.0447725069420011,,,,0.0595238095238095,,,,0.404761904761905,,0.761904761904762
bvar,directional,rolling window,pcpi_pch,0.5,,,,0.0672033150073481,,,,0.0357142857142857,,,,0.416666666666667,,0.726190476190476
bvar,directional,rolling window,pcpi_pch,1,,,,0.195687999854361,,,,0.0357142857142857,,,,0.428571428571429,,0.678571428571429
bvar,directional,rolling window,pcpi_pch,1.5,,,,0.115084626193483,,,,0.0357142857142857,,,,0.285714285714286,,0.678571428571429
