target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.22404776286826,0.120028985677267,0.0931516740048195,0.010867103186174,1.03893941247879,1.52637761396027,1.08823778167423,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.217925140355108,0.130981985886692,0.0179818792527664,0.0689612752156495,0.825186959698312,1.44707006212875,1.01868146702051,0,0,0,0.428571428571429,0.714285714285714,0.714285714285714,1,1,1,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,1,1,1,1,1
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.139853986094436,0.130616182820904,0.000563221604939686,0.00867458166859222,0.683915556133997,1.36761745615766,0.792604938005163,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.163719702045643,0.119468393984441,0.0431063964029305,0.00114491165827143,0.679887180723911,1.33620417241813,0.841485877838285,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.714285714285714,0.857142857142857,0.857142857142857,1,1,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.714285714285714,0.857142857142857,0.857142857142857,1,1
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.204453358847105,0.114719440871512,0.0897339179755927,0,0.938098484951512,1.33620417241813,0.994712970003558,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,1,1,0,0,0,0,0,0,0,0,0,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,1,1
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.173568540262082,0.109452381678905,0.00217010063083143,0.061946057952345,0.829302586314114,1.32646769962691,0.879283664439372,0,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,1,1,1,1,1,1,1
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.141410426825154,0.0981808986132951,0.0344164794842523,0.00881304872760643,0.589866124354938,1.07932752582823,0.710010674377562,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,1,1,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,1,1
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.07320814105061,0.0831361122305804,0.988487354540023,0.0015846742800079,4.50675853109866,9.18689480557952,6.07263321096616,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286
2021,ngdp_rpch,0,rolling window,absolute,IMF,0.515461776165597,0.0797753850167165,0.225256952322938,0.210429438825942,2.15830882860018,3.81257356923496,2.71238806565673,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.237730647347676,0.0872973781522915,0.150433269195385,0,1.00190651278583,1.52484508562099,1.10424690674464,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667,1
