target_year,target,horizon,method,error_method,source,score
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.218048119956416
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.210784803458945
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.133023139880201
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.157092979296078
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.197831807040525
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.166919237760018
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.135930870967586
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.068780943104
2021,ngdp_rpch,0,rolling window,absolute,IMF,0.510848480348077
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.23169259642701
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.188181669277193
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.379952857291751
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.409157581474926
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.355660147928114
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.32015788356087
2017,ngdp_rpch,0.5,rolling window,absolute,IMF,0.469535625799533
2018,ngdp_rpch,0.5,rolling window,absolute,IMF,0.300158482415896
2019,ngdp_rpch,0.5,rolling window,absolute,IMF,0.221586918921096
2020,ngdp_rpch,0.5,rolling window,absolute,IMF,1.25656554397415
2021,ngdp_rpch,0.5,rolling window,absolute,IMF,0.977980999550542
2022,ngdp_rpch,0.5,rolling window,absolute,IMF,0.584255104607727
2023,ngdp_rpch,0.5,rolling window,absolute,IMF,0.342430574667139
2013,ngdp_rpch,1,rolling window,absolute,IMF,0.420524971257866
2014,ngdp_rpch,1,rolling window,absolute,IMF,0.537425681650805
2015,ngdp_rpch,1,rolling window,absolute,IMF,0.426612430135726
2016,ngdp_rpch,1,rolling window,absolute,IMF,0.375439484621827
2017,ngdp_rpch,1,rolling window,absolute,IMF,0.556658233955274
2018,ngdp_rpch,1,rolling window,absolute,IMF,0.267703045438397
2019,ngdp_rpch,1,rolling window,absolute,IMF,0.379346319883789
2020,ngdp_rpch,1,rolling window,absolute,IMF,7.02981739991121
2021,ngdp_rpch,1,rolling window,absolute,IMF,1.01590564307807
2022,ngdp_rpch,1,rolling window,absolute,IMF,1.31795348625525
2023,ngdp_rpch,1,rolling window,absolute,IMF,0.47693780435507
2013,ngdp_rpch,1.5,rolling window,absolute,IMF,0.555654128408561
2014,ngdp_rpch,1.5,rolling window,absolute,IMF,0.583523732006339
2015,ngdp_rpch,1.5,rolling window,absolute,IMF,0.480371515262397
2016,ngdp_rpch,1.5,rolling window,absolute,IMF,0.481672011611213
2017,ngdp_rpch,1.5,rolling window,absolute,IMF,0.60144276998301
2018,ngdp_rpch,1.5,rolling window,absolute,IMF,0.300146757515698
2019,ngdp_rpch,1.5,rolling window,absolute,IMF,0.482380582774654
2020,ngdp_rpch,1.5,rolling window,absolute,IMF,6.99008963035489
2021,ngdp_rpch,1.5,rolling window,absolute,IMF,1.45863327924671
2022,ngdp_rpch,1.5,rolling window,absolute,IMF,0.842555693642285
2023,ngdp_rpch,1.5,rolling window,absolute,IMF,0.893534879924211
2013,pcpi_pch,0,rolling window,absolute,IMF,0.1309855400226
2014,pcpi_pch,0,rolling window,absolute,IMF,0.0927801065335181
2015,pcpi_pch,0,rolling window,absolute,IMF,0.0680786773130819
2016,pcpi_pch,0,rolling window,absolute,IMF,0.0634287757512265
2017,pcpi_pch,0,rolling window,absolute,IMF,0.0542674255613431
2018,pcpi_pch,0,rolling window,absolute,IMF,0.115466061772677
