target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,ar_annual,0.693422153418735,0.676871199978914,0,0.0165509534398208,3.20907308784649,5.84576034875846,4.52741671830248,0.8,1,0,0.2,1,1
2014,ngdp_rpch,0,ar_annual,0.80607342243632,0.665686340879781,0.0674899229175825,0.072897158638957,4.14892220458204,5.74916293727131,4.94904257092668,0.6,1,0,0.2,0.8,1
2015,ngdp_rpch,0,ar_annual,1.25054731557114,0.657275983431117,0.0335201426988835,0.559751189441143,6.29468178483074,9.27424184934602,7.78446181708838,0.6,0.9,0.1,0.3,0.9,1
2016,ngdp_rpch,0,ar_annual,0.950609943386269,0.660436177105098,0,0.290173766281172,4.5166275379297,7.72063002290112,6.11862878041541,0.8,0.9,0.1,0.2,1,1
2017,ngdp_rpch,0,ar_annual,0.653994915460309,0.653994915460309,0,0,2.97268308607235,5.6481905940253,4.31043684004883,1,1,0,0,1,1
2018,ngdp_rpch,0,ar_annual,0.683704829851469,0.64316725159093,0.030261525350221,0.0102760529103175,3.24776740712847,5.5546780792082,4.40122274316833,0.8,1,0,0.1,0.9,1
2019,ngdp_rpch,0,ar_annual,0.807939954596165,0.633729872827313,0,0.174210081768852,4.05893486858877,6.01146192045139,5.03519839452008,0.5,0.9,0.1,0.5,1,1
2020,ngdp_rpch,0,ar_annual,5.61232515452494,0.628133917023766,0,4.98419123750117,25.2625190822913,49.0902053847705,37.1763622335309,0,0.1,0.9,1,1,1
2021,ngdp_rpch,0,ar_annual,4.34191957448463,0.746320831316387,3.59559874316824,0,20.1410150447585,36.4858538777963,28.3134344612774,0.1,0.2,0,0,0.1,0.2
2022,ngdp_rpch,0,ar_annual,1.49974250910296,0.779891350286096,0.176049690676747,0.543801468140121,7.79759069666131,10.500873440406,9.14923206853365,0.5,0.7,0.2,0.2,0.7,0.9
2023,ngdp_rpch,0,ar_annual,0.905082973312471,0.783407404172345,0.061321734375168,0.0603538347649578,4.53432205390594,6.76585433148456,5.65008819269525,0.7,1,0,0.2,0.9,1
2013,ngdp_rpch,0.5,ar_annual,0.6963639495057,0.673870979822517,0,0.022492969683183,3.2429719501288,5.819849114792,4.5314105324604,0.7,1,0,0.3,1,1
2014,ngdp_rpch,0.5,ar_annual,0.835316202620252,0.665775574593857,0.0985077102762045,0.07103291775019,4.31709032207925,5.91359824720691,5.11534428464308,0.6,0.9,0,0.2,0.8,0.9
2015,ngdp_rpch,0.5,ar_annual,1.25315356034568,0.657098803873564,0.0335201426988835,0.562534613773231,6.31614382357185,9.27271164798394,7.7944277357779,0.6,0.9,0.1,0.3,0.9,1
2016,ngdp_rpch,0.5,ar_annual,0.950528870780615,0.660347745620398,0,0.290181125160217,4.51625253527044,7.71994607743621,6.11809930635332,0.8,0.9,0.1,0.2,1,1
2017,ngdp_rpch,0.5,ar_annual,0.656057649963359,0.653966519259295,0.0020911307040645,0,2.98928305897897,5.64794535181976,4.31861420539937,0.9,1,0,0,0.9,1
2018,ngdp_rpch,0.5,ar_annual,0.690012685661849,0.643259065331025,0.036477567420506,0.0102760529103175,3.29791307591429,5.55547102345126,4.42669204968277,0.8,1,0,0.1,0.9,1
2019,ngdp_rpch,0.5,ar_annual,0.82401772100305,0.633543221645998,0,0.190474499357052,4.12985423272741,6.15571883824248,5.14278653548494,0.5,0.9,0.1,0.5,1,1
2020,ngdp_rpch,0.5,ar_annual,5.61348927297437,0.628013888883793,0,4.98547538409058,25.2659003458825,49.1050345947812,37.1854674703318,0,0.1,0.9,1,1,1
2021,ngdp_rpch,0.5,ar_annual,4.44321795135392,0.751741622113304,3.69147632924062,0,20.57017146548,37.4389303633784,29.0045509144292,0.1,0.2,0,0,0.1,0.2
2022,ngdp_rpch,0.5,ar_annual,1.49341803754189,0.77931084398984,0.173057637800176,0.541049555751873,7.75974938855317,10.4689872794548,9.11436833400401,0.5,0.7,0.2,0.2,0.7,0.9
2023,ngdp_rpch,0.5,ar_annual,0.909941220380253,0.782510308265835,0.064940985105045,0.0624899270093732,4.57628711794341,6.75810661274653,5.66719686534497,0.6,1,0,0.2,0.8,1
2013,ngdp_rpch,1,ar_annual,0.944661779968812,0.726619253819116,0,0.218042526149696,4.86319649439529,6.73524436338801,5.79922042889165,0.6,0.8,0.2,0.4,1,1
2014,ngdp_rpch,1,ar_annual,0.866653626300119,0.728471956208928,0.045523077671309,0.092658592419882,4.41666605016786,6.29140740058274,5.3540367253753,0.7,1,0,0.2,0.9,1
2015,ngdp_rpch,1,ar_annual,1.48606958355293,0.717381813628453,0.137208596313896,0.631479173610582,7.64724147726709,10.6032879778909,9.12526472757899,0.5,0.7,0.2,0.3,0.8,0.9
2016,ngdp_rpch,1,ar_annual,1.19055968813358,0.706855652106941,0.0230720299282515,0.46063200609839,5.70410807971428,9.55092356338596,7.62751582155012,0.7,0.9,0.1,0.2,0.9,1
2017,ngdp_rpch,1,ar_annual,0.744137855081606,0.71093093520948,0.0062774552265205,0.026929464645606,3.49713670004423,6.13991535152155,4.81852602578289,0.8,1,0,0.1,0.9,1
2018,ngdp_rpch,1,ar_annual,0.770614622304468,0.706644348533993,0.0335911364873905,0.0303791372830845,3.72375918447851,6.10289448489307,4.91332683468579,0.8,1,0,0.1,0.9,1
2019,ngdp_rpch,1,ar_annual,0.858852952734462,0.69539387398777,0,0.163459078746692,4.4351430659831,6.08920138973149,5.2621722278573,0.5,0.8,0.2,0.5,1,1
2020,ngdp_rpch,1,ar_annual,5.92184346960787,0.685941263139661,0,5.23590220646821,26.6999548331882,51.686982309187,39.1934685711876,0,0.1,0.9,1,1,1
2021,ngdp_rpch,1,ar_annual,1.45594441872396,0.680096165098673,0.775848253625286,0,7.38484141386645,10.656784839813,9.02081312683975,0.3,0.5,0,0,0.3,0.5
2022,ngdp_rpch,1,ar_annual,2.44318304119978,0.826788524921854,1.59629887426759,0.020095642010331,11.6753097992068,19.6753863259785,15.6753480625926,0.4,0.6,0,0.1,0.5,0.6
2023,ngdp_rpch,1,ar_annual,0.993170500272017,0.812200254968129,0.0059809127522235,0.174989332551664,4.85213098317943,7.73308254749176,6.2926067653356,0.6,0.9,0.1,0.3,0.9,1
2013,ngdp_rpch,1.5,ar_annual,0.972588864344811,0.725957284456124,0,0.246631579888687,5.01854566836619,6.90541311598075,5.96197939217347,0.6,0.8,0.2,0.4,1,1
2014,ngdp_rpch,1.5,ar_annual,0.851633447768763,0.724954946054435,0.032112382846397,0.094566118867931,4.30865440669612,6.26103293863496,5.28484367266554,0.7,1,0,0.2,0.9,1
2015,ngdp_rpch,1.5,ar_annual,1.49945862394001,0.718025419711536,0.152603626824004,0.628829577404474,7.76165484473099,10.5850353669728,9.17334510585189,0.5,0.7,0.2,0.3,0.8,0.9
2016,ngdp_rpch,1.5,ar_annual,1.19238489745922,0.706736518527906,0.0230720299282515,0.462576349003063,5.71476667005508,9.56078127404674,7.63777397205091,0.7,0.8,0.2,0.2,0.9,1
2017,ngdp_rpch,1.5,ar_annual,0.744222579146754,0.710772280582927,0.00652083391822451,0.0269294646456025,3.49836257729708,6.13854513969236,4.81845385849472,0.8,1,0,0.1,0.9,1
2018,ngdp_rpch,1.5,ar_annual,0.770825700219824,0.70653500584124,0.033911557176022,0.0303791372025625,3.72582554062719,6.1019501528285,4.91388784672785,0.8,1,0,0.1,0.9,1
2019,ngdp_rpch,1.5,ar_annual,0.861978318374292,0.695540201608286,0,0.166438116766006,4.45032467055737,6.11375469109241,5.28203968082489,0.5,0.8,0.2,0.5,1,1
2020,ngdp_rpch,1.5,ar_annual,5.92987812790252,0.685739659171966,0,5.24413846873055,26.7375990424646,51.7535649518888,39.2455819971767,0,0.1,0.9,1,1,1
2021,ngdp_rpch,1.5,ar_annual,1.45364672666842,0.679935676127955,0.773711050540467,0,7.37493488623858,10.635597317772,9.00526610200529,0.3,0.5,0,0,0.3,0.5
2022,ngdp_rpch,1.5,ar_annual,2.51666890783998,0.834031007447901,1.66599434856068,0.016643551831394,11.983340024619,20.3750280952522,16.1791840599356,0.4,0.6,0,0.1,0.5,0.6
2023,ngdp_rpch,1.5,ar_annual,0.991534647042522,0.811513329166569,0.00555019874069149,0.174471119135261,4.84141719588519,7.72714995113746,6.28428357351133,0.6,0.9,0.1,0.3,0.9,1
2013,pcpi_pch,0,ar_annual,0.754391987248566,0.698490709105467,0,0.055901278143099,3.6221454848097,6.03247603294707,4.82731075887838,0.8,1,0,0.2,1,1
2014,pcpi_pch,0,ar_annual,1.00796935168427,0.683496493478261,0,0.324472858206011,4.90756849899205,7.89046578620531,6.39901714259868,0.6,0.8,0.2,0.4,1,1
2015,pcpi_pch,0,ar_annual,1.37370909311727,0.676002905052815,0.557016784520811,0.140689403543639,6.84510595178846,10.3614169828742,8.60326146733131,0.2,0.8,0.1,0.6,0.8,0.9
2016,pcpi_pch,0,ar_annual,1.09915987375751,0.686834357586307,0,0.4123255161712,5.28513275242684,8.77036559408303,7.02774917325494,0.7,0.9,0.1,0.3,1,1
2017,pcpi_pch,0,ar_annual,1.09166188201345,0.68634739752596,0.0506211094220567,0.354693375065434,5.61949805335118,7.78449250689106,6.70199528012112,0.5,0.7,0.2,0.3,0.8,0.9
2018,pcpi_pch,0,ar_annual,0.741582533772744,0.685071002944547,0,0.0565115308281965,3.56602927437526,5.91657748951674,4.741303381946,0.8,1,0,0.2,1,1
2019,pcpi_pch,0,ar_annual,0.763438192914669,0.67533969530758,0.015000277588062,0.0730982200190267,3.77449210566797,5.83253359412346,4.80351284989571,0.5,1,0,0.4,0.9,1
2020,pcpi_pch,0,ar_annual,0.867629050568909,0.665932839119383,0,0.201696211449526,4.44822540944775,6.23201748775881,5.34012144860328,0.4,0.6,0.4,0.6,1,1
2021,pcpi_pch,0,ar_annual,1.01065964539618,0.659947630959625,0.350712014436558,0,5.05177875421233,7.58374602239283,6.31776238830258,0.4,0.7,0,0,0.4,0.7
2022,pcpi_pch,0,ar_annual,2.85444192686288,0.657338699961295,2.19710322690158,0,12.9598055100105,24.6893247622314,18.8245651361209,0.3,0.4,0,0,0.3,0.4
2023,pcpi_pch,0,ar_annual,1.66277189085868,0.704978344414992,0.108803665874133,0.848989880569556,8.25110544497983,12.627674204724,10.4393898248519,0.5,0.6,0.3,0.4,0.9,0.9
2013,pcpi_pch,0.5,ar_annual,0.753529546932888,0.697628268789789,0,0.055901278143099,3.61822532934892,6.02502761528545,4.82162647231719,0.8,1,0,0.2,1,1
2014,pcpi_pch,0.5,ar_annual,1.00769003487171,0.683494746323481,0,0.324195288548227,4.90534000017385,7.89045069699955,6.3978953485867,0.6,0.8,0.2,0.4,1,1
2015,pcpi_pch,0.5,ar_annual,1.37460563608422,0.675976220907285,0.557016784520811,0.141612630656121,6.85237047797762,10.3611865267403,8.60677850235895,0.2,0.8,0.1,0.6,0.8,0.9
2016,pcpi_pch,0.5,ar_annual,1.09894361000933,0.686821035940602,0,0.412122574068733,5.28344866310138,8.77025054243325,7.02684960276732,0.7,0.9,0.1,0.3,1,1
2017,pcpi_pch,0.5,ar_annual,1.10442660995112,0.686139336258976,0.0506871361825342,0.367600137509612,5.72331975598947,7.78023280904877,6.75177628251912,0.5,0.7,0.2,0.3,0.8,0.9
2018,pcpi_pch,0.5,ar_annual,0.741579217800294,0.685067686972097,0,0.0565115308281965,3.56601420188007,5.91654885130571,4.74128152659289,0.8,1,0,0.2,1,1
2019,pcpi_pch,0.5,ar_annual,0.763584254241063,0.675300766188656,0.014892565648581,0.0733909224038258,3.77579507994444,5.83219738496014,4.80399623245229,0.5,1,0,0.4,0.9,1
2020,pcpi_pch,0.5,ar_annual,0.867620146945189,0.665923935495663,0,0.201696211449526,4.44818493871776,6.23194059210938,5.34006276541357,0.4,0.6,0.4,0.6,1,1
2021,pcpi_pch,0.5,ar_annual,1.01098257783179,0.659987878016121,0.350994699815666,0,5.05422317711412,7.58409361385044,6.31915839548228,0.4,0.7,0,0,0.4,0.7
2022,pcpi_pch,0.5,ar_annual,2.85445228022866,0.657334373444615,2.19711790678404,0,12.9598426321552,24.6894390241852,18.8246408281702,0.3,0.4,0,0,0.3,0.4
2023,pcpi_pch,0.5,ar_annual,1.66312839818125,0.705002879833617,0.108751811680369,0.849373706667265,8.25263284875279,12.6309858417431,10.4418093452479,0.5,0.6,0.3,0.4,0.9,0.9
2013,pcpi_pch,1,ar_annual,0.980176837276889,0.822692007960327,0,0.157484829316562,4.8740138185114,7.41850219925928,6.14625800888534,0.6,0.8,0.2,0.4,1,1
2014,pcpi_pch,1,ar_annual,1.22173207172076,0.81996747096884,0,0.401764600751921,5.97220069101815,9.50413970686984,7.73817019894399,0.6,0.8,0.2,0.4,1,1
2015,pcpi_pch,1,ar_annual,1.82877697172516,0.803116460295176,0.530635819397832,0.495024692032155,9.31389266211837,13.2908077792073,11.3023502206628,0.2,0.7,0.2,0.6,0.8,0.9
2016,pcpi_pch,1,ar_annual,1.02470773697099,0.795469475241864,0.0293121115713459,0.199926150157782,5.27305335250768,7.31152135815066,6.29228735532917,0.3,0.8,0.2,0.6,0.9,1
2017,pcpi_pch,1,ar_annual,1.53445044085053,0.809686155743907,0.0160408925375355,0.708723392569088,7.54199538805164,11.8340203468815,9.68800786746658,0.5,0.8,0.2,0.3,0.8,1
2018,pcpi_pch,1,ar_annual,1.22883058367032,0.808994432284075,0.00770066639224525,0.412135484994001,6.28799633475333,8.8566208365231,7.57230858563822,0.6,0.8,0.2,0.3,0.9,1
2019,pcpi_pch,1,ar_annual,0.961169545172708,0.806946117983953,0.00955708348000901,0.144666343708746,4.89636132205141,6.98248759832562,5.93942446018852,0.4,0.9,0.1,0.5,0.9,1
2020,pcpi_pch,1,ar_annual,1.11612032978339,0.800540242001356,0,0.315580087782038,5.71586346032432,8.03274794485708,6.8743057025907,0.4,0.7,0.3,0.6,1,1
2021,pcpi_pch,1,ar_annual,0.860729755364377,0.791416680974822,0.069313074389555,0,4.15182764144853,6.83502600366623,5.49342682255738,0.8,1,0,0,0.8,1
2022,pcpi_pch,1,ar_annual,3.52300087041063,0.787617506875814,2.73538336353481,0,16.0588441253298,30.312907094888,23.1858756101089,0.3,0.3,0,0,0.3,0.3
2023,pcpi_pch,1,ar_annual,1.15375798513097,0.778543781252461,0.36118150383629,0.0140327000422215,5.46419112370428,9.41468189335874,7.43943650853151,0.6,0.7,0,0.1,0.7,0.7
2013,pcpi_pch,1.5,ar_annual,0.980255636198985,0.822742573951811,0,0.157513062247174,4.87435749695605,7.41921898158957,6.14678823927281,0.6,0.8,0.2,0.4,1,1
2014,pcpi_pch,1.5,ar_annual,1.19618479707044,0.81875051892575,0,0.37743427814469,5.77202654918095,9.49362956845642,7.63282805881868,0.6,0.8,0.2,0.4,1,1
2015,pcpi_pch,1.5,ar_annual,1.82858160075145,0.803109453160684,0.530635819397832,0.494836328192933,9.3123539010193,13.2907472624807,11.30155058175,0.2,0.7,0.2,0.6,0.8,0.9
2016,pcpi_pch,1.5,ar_annual,1.0250934098153,0.795474398943771,0.0293121115713459,0.200306899300183,5.27613865837071,7.31152155037921,6.29383010437496,0.3,0.8,0.2,0.6,0.9,1
2017,pcpi_pch,1.5,ar_annual,1.53500479887805,0.809667568408508,0.016019444022791,0.709317786446751,7.54649446366578,11.8338598183965,9.69017714103116,0.5,0.8,0.2,0.3,0.8,1
2018,pcpi_pch,1.5,ar_annual,1.23794341512021,0.808581904623303,0.00770066639224525,0.421660844104659,6.36316011234715,8.85096802153628,7.60706406694172,0.6,0.8,0.2,0.3,0.9,1
2019,pcpi_pch,1.5,ar_annual,0.9611882839664,0.806945251490953,0.009618217023063,0.144624815452384,4.89651422576833,6.98248011490717,5.93949717033775,0.4,0.9,0.1,0.5,0.9,1
2020,pcpi_pch,1.5,ar_annual,1.11632903242254,0.800463154483631,0,0.315865877938906,5.71697502744455,8.03414307983936,6.87555905364196,0.4,0.7,0.3,0.6,1,1
2021,pcpi_pch,1.5,ar_annual,0.860838938827835,0.79152586443828,0.069313074389555,0,4.15232392640033,6.83596896055587,5.4941464434781,0.8,1,0,0,0.8,1
2022,pcpi_pch,1.5,ar_annual,3.52337660017724,0.787658696252422,2.73571790392482,0,16.0605356788147,30.3161928065081,23.1883642426614,0.3,0.3,0,0,0.3,0.3
2023,pcpi_pch,1.5,ar_annual,1.15375748643919,0.778537360586825,0.361187425810145,0.0140327000422215,5.46418408080774,9.41468952676447,7.4394368037861,0.6,0.7,0,0.1,0.7,0.7
2013,ngdp_rpch,0,arx_annual,0.295680251334458,0.266005024078748,0.0187482419420385,0.0109269853136715,1.44650699179554,2.2973375472003,1.87192226949792,0.6,1,0,0.2,0.8,1
2014,ngdp_rpch,0,arx_annual,0.345250457637105,0.261932766988893,0.051245664310939,0.032072026337273,1.8101534250826,2.37962559003559,2.0948895075591,0.6,0.9,0,0.2,0.8,0.9
2015,ngdp_rpch,0,arx_annual,0.32699476729919,0.259396097975786,0,0.067598669323404,1.61437968327714,2.50394613779094,2.05916291053404,0.8,0.9,0.1,0.2,1,1
2016,ngdp_rpch,0,arx_annual,0.303147474537755,0.255972622340224,0.0049482220621025,0.0422266301354285,1.53547009135624,2.22427426236452,1.87987217686038,0.5,0.9,0.1,0.3,0.8,1
2017,ngdp_rpch,0,arx_annual,0.267647519550073,0.253067491747463,0.0118812670820795,0.00269876072053048,1.26693884794299,2.185603271144,1.72627105954349,0.8,1,0,0.1,0.9,1
2018,ngdp_rpch,0,arx_annual,0.255994714807781,0.249607514163632,0,0.00638720064414904,1.18566917133814,2.15572136781028,1.67069526957421,0.8,1,0,0.2,1,1
2019,ngdp_rpch,0,arx_annual,0.37562970455286,0.246318419065453,0,0.129311285487407,1.77636467511684,3.07168240326512,2.42402353919098,0.8,0.9,0.1,0.2,1,1
2020,ngdp_rpch,0,arx_annual,1.22332951323947,0.245293447564541,0.978036065674934,0,5.70407001915117,10.2064152169116,7.95524261803137,0.2,0.3,0,0,0.2,0.3
2021,ngdp_rpch,0,arx_annual,0.828598125651884,0.251106169718276,0.334173844678629,0.243318111254979,4.03633039157181,6.48113653410816,5.25873346283998,0.3,0.5,0.2,0.4,0.7,0.7
