model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0.931142037405855,0.408307420877858,0.111630023439331,0.411204593088666,4.39302895484028,7.6402683610164,6.01664865792834,0.628378378378378,0.868243243243243,0.0945945945945946,0.293918918918919,0.922297297297297,0.962837837837838
ar,pcpi_pch,0.585412829920863,0.453129658412132,0.0654296544857774,0.0668535170229536,2.94810752769232,4.33798777918644,3.64304765343938,0.574324324324324,0.912162162162162,0.0439189189189189,0.324324324324324,0.898648648648649,0.956081081081081
ar_annual,ngdp_rpch,1.5192842465026,0.522377883891725,0.47150391996745,0.525402442643428,6.92238459182182,13.0797234504975,10.0010540211597,0.648648648648649,0.783783783783784,0.101351351351351,0.155405405405405,0.804054054054054,0.885135135135135
ar_annual,pcpi_pch,0.932742003879763,0.273649495696701,0.496604729688276,0.162487778494785,4.4437977353763,7.54534573915453,5.99457173726541,0.331081081081081,0.621621621621622,0.182432432432432,0.412162162162162,0.743243243243243,0.804054054054054
ar_bic,ngdp_rpch,0.904954318975804,0.413734729860948,0.129041964821889,0.362177624292968,4.2134256091258,7.56552235670159,5.88947398291369,0.682432432432433,0.878378378378378,0.0810810810810811,0.236486486486487,0.918918918918919,0.959459459459459
ar_bic,pcpi_pch,0.529431699168395,0.337014661192259,0.138639174091165,0.0537778638849715,2.60583578992052,4.0740445085666,3.33994014924356,0.608108108108108,0.858108108108108,0.0506756756756757,0.22972972972973,0.837837837837838,0.908783783783784
arx_annual,ngdp_rpch,0.918405869676704,0.299482209858535,0.299275527590348,0.319648132227821,4.33509803740957,7.53037230001016,5.93273516870987,0.418918918918919,0.665540540540541,0.101351351351351,0.175675675675676,0.594594594594595,0.766891891891892
arx_annual,pcpi_pch,0.605468268864969,0.160135448329034,0.284171268451876,0.161161552084059,2.8890854600625,4.88665172714314,3.88786859360282,0.327702702702703,0.581081081081081,0.260135135135135,0.425675675675676,0.753378378378378,0.841216216216216
bvar_const,ngdp_rpch,0.888114084423752,0.348836123110492,0.170535664314166,0.368742296999095,4.12973838961919,7.43793571442707,5.78383705202313,0.625,0.844594594594595,0.0945945945945946,0.263513513513514,0.888513513513514,0.939189189189189
bvar_const,pcpi_pch,0.581087463285401,0.463453894161425,0.0650163024846776,0.0526172666392978,2.89892316085778,4.37444136356356,3.63668226221067,0.577702702702703,0.881756756756757,0.0743243243243243,0.300675675675676,0.878378378378378,0.956081081081081
bvar_mix,ngdp_rpch,0.864473660966697,0.286932255042218,0.17131385933993,0.40622754658455,3.97462364646598,7.352914103169,5.66376887481749,0.533783783783784,0.807432432432433,0.131756756756757,0.337837837837838,0.871621621621622,0.939189189189189
bvar_mix,pcpi_pch,0.490751150617249,0.352639996134258,0.0711214730630038,0.0669896814199874,2.48447338083038,3.60383956026903,3.04415647054971,0.510135135135135,0.841216216216216,0.10472972972973,0.341216216216216,0.851351351351351,0.945945945945946
bvar_qu,ngdp_rpch,1.03384601471826,0.579111387909881,0.0657514913785843,0.38898313542979,4.61304364823779,9.14431117377063,6.87867741100421,0.655405405405405,0.861486486486487,0.121621621621622,0.290540540540541,0.945945945945946,0.983108108108108
bvar_qu,pcpi_pch,0.534304653030873,0.412187793752934,0.0609525217218909,0.0611643375560484,2.62044502861588,4.13498048907778,3.37771275884683,0.557432432432433,0.864864864864865,0.0912162162162162,0.310810810810811,0.868243243243243,0.956081081081081
