model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,ngdp_rpch,0,0.419855363972141,0.198556867287073,0.0748446218730793,0.146453874811988,2.09908957217263,3.14938334901123,2.62423646059193,0.452380952380952,0.666666666666667,0.25,0.357142857142857,0.80952380952381,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,0.5,0.482461414368627,0.264262639488569,0.102657808657836,0.115540966222222,2.43722751683064,3.55615949529596,2.9966935060633,0.488095238095238,0.773809523809524,0.166666666666667,0.321428571428571,0.80952380952381,0.940476190476191
IMF,directional,rolling window,ngdp_rpch,1,0.987621897919101,0.360654468744574,0.173804075667218,0.453163353507309,4.6841962947657,8.04194722146778,6.36307175811674,0.428571428571429,0.690476190476191,0.226190476190476,0.357142857142857,0.785714285714286,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,1.5,1.22969917191398,0.381971657477844,0.280427747927354,0.567299766508781,5.81606866587661,10.0538117735881,7.93494021973234,0.416666666666667,0.595238095238095,0.261904761904762,0.369047619047619,0.785714285714286,0.857142857142857
IMF,directional,rolling window,pcpi_pch,0,0.137000873252532,0.0640276013319209,0.0273293906595824,0.0456438812610284,0.688845349669931,1.01790409087581,0.853374720272869,0.428571428571429,0.642857142857143,0.166666666666667,0.30952380952381,0.738095238095238,0.80952380952381
IMF,directional,rolling window,pcpi_pch,0.5,0.244661322046871,0.109444712833038,0.100980788948811,0.0342358202650221,1.23080416776709,1.8162160215197,1.52351009464339,0.369047619047619,0.654761904761905,0.119047619047619,0.214285714285714,0.583333333333333,0.773809523809524
IMF,directional,rolling window,pcpi_pch,1,0.473015106988598,0.165172062941166,0.209041414502596,0.098801629544836,2.33725803796373,3.61715704486264,2.97720754141319,0.30952380952381,0.55952380952381,0.119047619047619,0.19047619047619,0.5,0.678571428571429
IMF,directional,rolling window,pcpi_pch,1.5,0.528389082741275,0.192269194945165,0.230771950506196,0.105347937289914,2.58879597987415,4.09579170514013,3.34229384250714,0.369047619047619,0.547619047619048,0.119047619047619,0.154761904761905,0.523809523809524,0.666666666666667
ar,directional,rolling window,ngdp_rpch,0,0.103635226545405,0.0380989878388609,0.0118615901474942,0.0536746485590498,0.48782212458902,0.853149219435548,0.670485672012284,0.404761904761905,0.678571428571429,0.202380952380952,0.404761904761905,0.80952380952381,0.880952380952381
ar,directional,rolling window,ngdp_rpch,0.5,0.44900770329003,0.169989534879329,0.0995503306555781,0.179467837755123,2.15767926683327,3.58595589871741,2.87181758277534,0.392857142857143,0.678571428571429,0.202380952380952,0.369047619047619,0.761904761904762,0.880952380952381
ar,directional,rolling window,ngdp_rpch,1,0.983653950635199,0.283253577962586,0.118566846948574,0.581833525724039,4.52961400519619,8.34904399971351,6.43932900245485,0.404761904761905,0.678571428571429,0.214285714285714,0.428571428571429,0.833333333333333,0.892857142857143
ar,directional,rolling window,ngdp_rpch,1.5,1.15996466412533,0.335878939328474,0.171874103273332,0.652211621523522,5.32092527196395,9.89698010259669,7.60895268728032,0.511904761904762,0.690476190476191,0.226190476190476,0.333333333333333,0.845238095238095,0.916666666666667
ar,directional,rolling window,pcpi_pch,0,0.0753391609982072,0.0176914827341707,0.0138676014752563,0.0437800767887802,0.34479836943157,0.644787296385219,0.494792832908395,0.261904761904762,0.535714285714286,0.285714285714286,0.369047619047619,0.630952380952381,0.821428571428571
ar,directional,rolling window,pcpi_pch,0.5,0.252692566823934,0.0996337704000279,0.102696516137506,0.0503622802864001,1.26167399021139,1.89966636095021,1.5806701755808,0.333333333333333,0.619047619047619,0.142857142857143,0.214285714285714,0.547619047619048,0.761904761904762
ar,directional,rolling window,pcpi_pch,1,0.550688489830608,0.151420887074064,0.194843099507517,0.204424503249027,2.59756101648452,4.51986725540087,3.55871413594269,0.357142857142857,0.571428571428571,0.154761904761905,0.226190476190476,0.583333333333333,0.726190476190476
ar,directional,rolling window,pcpi_pch,1.5,0.576735446553567,0.209334626112066,0.272049285378955,0.0953515350625453,2.79464227702469,4.54810323850962,3.67137275776715,0.333333333333333,0.595238095238095,0.0952380952380952,0.142857142857143,0.476190476190476,0.690476190476191
ar_bic,directional,rolling window,ngdp_rpch,0,0.107359793189717,0.0373005256160283,0.0173156379132411,0.0527436296604472,0.499451467598415,0.898567194798293,0.699009331198354,0.440476190476191,0.702380952380952,0.178571428571429,0.357142857142857,0.797619047619048,0.880952380952381
ar_bic,directional,rolling window,ngdp_rpch,0.5,0.459313891188324,0.171765218229043,0.120929213421418,0.166619459537863,2.20757130058421,3.66734957230597,2.93746043644509,0.404761904761905,0.666666666666667,0.214285714285714,0.345238095238095,0.75,0.880952380952381
ar_bic,directional,rolling window,ngdp_rpch,1,0.995278414951227,0.297065911395506,0.123314907516527,0.574897596039194,4.58995161942023,8.43068925047397,6.5103204349471,0.440476190476191,0.678571428571429,0.214285714285714,0.392857142857143,0.833333333333333,0.892857142857143
