target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.277806143992656,0.188298215118812,0.0895079288738441,0,1.40444420685812,2.04501236270782,1.72472828478297,0.571428571428571,0.571428571428571,0,0,0.571428571428571,0.571428571428571
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.268317448528241,0.190265500676694,0.069702473007426,0.00834947484412072,1.3650548695856,1.9537117966008,1.6593833330932,0.285714285714286,0.714285714285714,0,0.142857142857143,0.428571428571429,0.714285714285714
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.237503814704448,0.197723118611056,0.0397806960933921,0,1.21735175174217,1.70669691473353,1.46202433323785,0.714285714285714,1,0,0,0.714285714285714,1
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.216209620834201,0.188153406930915,0.0280562139032857,0,1.09210408530938,1.59393220341057,1.34301814435998,0.714285714285714,1,0,0,0.714285714285714,1
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.335862191742571,0.185010176715091,0.15085201502748,0,1.65504989735846,2.57961909145527,2.11733449440687,0.428571428571429,0.714285714285714,0,0,0.428571428571429,0.714285714285714
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.229579515152485,0.175758034131418,0.0250254471326257,0.0287960338884421,1.21235883372947,1.56069321872602,1.38652602622775,0.571428571428571,0.857142857142857,0,0.285714285714286,0.857142857142857,0.857142857142857
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.283506887890468,0.173904494499935,0.037267303490402,0.0723350899001308,1.50464708017298,1.90852005737691,1.70658356877495,0.428571428571429,0.714285714285714,0.142857142857143,0.142857142857143,0.571428571428571,0.857142857142857
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.73860384280748,0.161283342926343,1.57732049988114,0,7.64448984606602,15.6608522409846,11.6526710435253,0,0,0,0,0,0
2021,ngdp_rpch,0,rolling window,absolute,IMF,1.0876540614233,0.177341830160374,0.910312231262929,0,4.87776376605294,9.55867181333372,7.21821778969333,0.5,0.5,0,0,0.5,0.5
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.294205817693926,0.179139074448094,0.115066743245833,0,1.6067255662741,1.86730243819328,1.73701400223369,0.333333333333333,0.833333333333333,0,0,0.333333333333333,0.833333333333333
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.199356454461211,0.179849501332315,0.0195069531288958,0,0.924872341180294,1.67494823627349,1.29991028872689,0.833333333333333,0.833333333333333,0,0,0.833333333333333,0.833333333333333
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.405209563041437,0.260554171723661,0.144655391317775,0,2.12472379985805,2.79238176118361,2.45855278052083,0.571428571428571,0.571428571428571,0,0,0.571428571428571,0.571428571428571
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.295379972183606,0.263159758111104,0.0153550116155364,0.0168652024569663,1.37350271198542,2.47384266370857,1.923672687847,0.714285714285714,0.857142857142857,0,0.142857142857143,0.857142857142857,0.857142857142857
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.387416307963146,0.236011470799256,0,0.151404837163889,1.75374560353756,3.36396215041902,2.55885387697829,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,1,1
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.271168634590159,0.219138897859248,0.0134562524074621,0.0385734843234493,1.26481371932344,2.26133839349458,1.76307605640901,0.571428571428571,0.857142857142857,0.142857142857143,0.285714285714286,0.857142857142857,1
2017,ngdp_rpch,0.5,rolling window,absolute,IMF,0.487459705957481,0.237423362031719,0.250036343925761,0,2.41771873506413,3.7048972814893,3.06130800827671,0.285714285714286,0.714285714285714,0,0,0.285714285714286,0.714285714285714
2018,ngdp_rpch,0.5,rolling window,absolute,IMF,0.322671876691763,0.212044516892699,0.0185177219664735,0.0921096378325907,1.71704018799487,2.16083706384808,1.93893862592148,0.571428571428571,0.857142857142857,0.142857142857143,0.285714285714286,0.857142857142857,1
2019,ngdp_rpch,0.5,rolling window,absolute,IMF,0.313169416278489,0.22946158120694,0.0246058461565457,0.059101988915004,1.62681606255327,2.1963481691866,1.91158211586994,0.571428571428571,0.857142857142857,0.142857142857143,0.142857142857143,0.714285714285714,1
2020,ngdp_rpch,0.5,rolling window,absolute,IMF,1.4758143670087,0.201402754273891,1.06081612701716,0.213595485717651,6.88707751886795,12.2985935430042,9.59283553093606,0,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.571428571428571
2021,ngdp_rpch,0.5,rolling window,absolute,IMF,1.70940533390845,0.211231973699433,1.48189919424673,0.01627416596228,7.44409775366456,15.5778622940075,11.510980023836,0.166666666666667,0.5,0,0.166666666666667,0.333333333333333,0.5
2022,ngdp_rpch,0.5,rolling window,absolute,IMF,0.654529070533087,0.225030645227907,0.205954931996072,0.223543493309108,2.96117405284539,5.68764627854825,4.32441016569682,0.5,0.666666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.833333333333333
