target_year,target,horizon,method,error_method,source,score
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.350376245949182
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.341751727366426
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.315031662575807
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.290362171757027
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.409639114826408
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.299365859971613
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.352083264296356
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.80255541618889
2021,ngdp_rpch,0,rolling window,absolute,IMF,1.15801925278575
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.364382499350879
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.26973708581502
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.511319016624452
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.396924562651058
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.481266489384338
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.355368437113225
2017,ngdp_rpch,0.5,rolling window,absolute,IMF,0.577097165076933
2018,ngdp_rpch,0.5,rolling window,absolute,IMF,0.405436453392689
2019,ngdp_rpch,0.5,rolling window,absolute,IMF,0.40117502159667
2020,ngdp_rpch,0.5,rolling window,absolute,IMF,1.55280781495181
2021,ngdp_rpch,0.5,rolling window,absolute,IMF,1.79073535019247
2022,ngdp_rpch,0.5,rolling window,absolute,IMF,0.740332712044151
2023,ngdp_rpch,0.5,rolling window,absolute,IMF,0.391578571612752
2013,ngdp_rpch,1,rolling window,absolute,IMF,0.620908786400926
2014,ngdp_rpch,1,rolling window,absolute,IMF,0.662472217370383
2015,ngdp_rpch,1,rolling window,absolute,IMF,0.684387411200214
2016,ngdp_rpch,1,rolling window,absolute,IMF,0.540855697228462
2017,ngdp_rpch,1,rolling window,absolute,IMF,0.699334625515605
2018,ngdp_rpch,1,rolling window,absolute,IMF,0.511515126143806
2019,ngdp_rpch,1,rolling window,absolute,IMF,0.564709715660425
2020,ngdp_rpch,1,rolling window,absolute,IMF,5.98139530426079
2021,ngdp_rpch,1,rolling window,absolute,IMF,1.77301872555041
2022,ngdp_rpch,1,rolling window,absolute,IMF,1.18646682105128
2023,ngdp_rpch,1,rolling window,absolute,IMF,0.600252324906509
2013,ngdp_rpch,1.5,rolling window,absolute,IMF,0.794491982489783
2014,ngdp_rpch,1.5,rolling window,absolute,IMF,0.881736977550256
2015,ngdp_rpch,1.5,rolling window,absolute,IMF,0.758023084302597
2016,ngdp_rpch,1.5,rolling window,absolute,IMF,0.706785509014908
2017,ngdp_rpch,1.5,rolling window,absolute,IMF,0.747531144461065
2018,ngdp_rpch,1.5,rolling window,absolute,IMF,0.589231456482035
2019,ngdp_rpch,1.5,rolling window,absolute,IMF,0.653813313248738
2020,ngdp_rpch,1.5,rolling window,absolute,IMF,5.84374980076478
2021,ngdp_rpch,1.5,rolling window,absolute,IMF,2.23145468807543
2022,ngdp_rpch,1.5,rolling window,absolute,IMF,0.753596769918563
2023,ngdp_rpch,1.5,rolling window,absolute,IMF,0.860769518178359
2013,pcpi_pch,0,rolling window,absolute,IMF,0.169127221862185
2014,pcpi_pch,0,rolling window,absolute,IMF,0.113345790311357
2015,pcpi_pch,0,rolling window,absolute,IMF,0.124227986053838
2016,pcpi_pch,0,rolling window,absolute,IMF,0.0994960328352762
2017,pcpi_pch,0,rolling window,absolute,IMF,0.0992191836997842
2018,pcpi_pch,0,rolling window,absolute,IMF,0.124902241357688
2019,pcpi_pch,0,rolling window,absolute,IMF,0.135500531271938
2020,pcpi_pch,0,rolling window,absolute,IMF,0.150990345232976
2021,pcpi_pch,0,rolling window,absolute,IMF,0.152414541050273
2022,pcpi_pch,0,rolling window,absolute,IMF,0.841993311020818
2023,pcpi_pch,0,rolling window,absolute,IMF,0.426464145849621
2013,pcpi_pch,0.5,rolling window,absolute,IMF,0.322506884767081
2014,pcpi_pch,0.5,rolling window,absolute,IMF,0.273478818213374
2015,pcpi_pch,0.5,rolling window,absolute,IMF,0.209840778834305
2016,pcpi_pch,0.5,rolling window,absolute,IMF,0.196267032912274
2017,pcpi_pch,0.5,rolling window,absolute,IMF,0.277266331146222
2018,pcpi_pch,0.5,rolling window,absolute,IMF,0.205183580456221
2019,pcpi_pch,0.5,rolling window,absolute,IMF,0.211841712434269
2020,pcpi_pch,0.5,rolling window,absolute,IMF,0.193196012657793
2021,pcpi_pch,0.5,rolling window,absolute,IMF,1.01466868087918
2022,pcpi_pch,0.5,rolling window,absolute,IMF,0.831877773816917
2023,pcpi_pch,0.5,rolling window,absolute,IMF,0.300228739114009
2013,pcpi_pch,1,rolling window,absolute,IMF,0.409427439305547
