model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.839501170117323,0.306265019128599,0.217752291969459,0.315483859019264,3.86673554180646,7.1231845478303,5.49496004481838,0.533783783783784,0.75,0.097972972972973,0.185810810810811,0.719594594594595,0.847972972972973
IMF,absolute,rolling window,pcpi_pch,0.533965490628161,0.17920596731896,0.258322117694572,0.0964374056146287,2.52008123717083,4.37910671963613,3.44959397840348,0.439189189189189,0.662162162162162,0.195945945945946,0.344594594594595,0.783783783783784,0.858108108108108
ar,absolute,rolling window,ngdp_rpch,0.932423473700664,0.355432954962558,0.145900651040518,0.431089867697589,4.35995296318344,7.74858706605467,6.05427001461906,0.513513513513514,0.753378378378378,0.172297297297297,0.385135135135135,0.898648648648649,0.925675675675676
ar,absolute,rolling window,pcpi_pch,0.562271930963762,0.340307621222634,0.0937723664671918,0.128191943273936,2.94042213325338,3.8943832861418,3.41740270969759,0.439189189189189,0.658783783783784,0.239864864864865,0.439189189189189,0.878378378378378,0.898648648648649
ar_bic,absolute,rolling window,ngdp_rpch,0.911564118603993,0.331552699611016,0.173165245101185,0.406846173891793,4.21784625097594,7.68666674464002,5.95225649780798,0.527027027027027,0.743243243243243,0.175675675675676,0.358108108108108,0.885135135135135,0.918918918918919
ar_bic,absolute,rolling window,pcpi_pch,0.523235143942261,0.202709472975474,0.189860048977851,0.130665621988935,2.56357448317595,4.05576667090534,3.30967057704064,0.337837837837838,0.64527027027027,0.206081081081081,0.429054054054054,0.766891891891892,0.851351351351351
bvar,absolute,rolling window,ngdp_rpch,0.8708378683324,0.286571758026248,0.137153746415682,0.44711236389047,3.9879717481495,7.44682799627427,5.71739987221188,0.547297297297297,0.746621621621622,0.206081081081081,0.358108108108108,0.905405405405405,0.952702702702703
bvar,absolute,rolling window,pcpi_pch,0.505827670053374,0.235655230721269,0.162445221304879,0.107727218027226,2.52593608128484,3.80171319785538,3.16382463957011,0.385135135135135,0.648648648648649,0.212837837837838,0.422297297297297,0.807432432432433,0.861486486486487
bvar_const,absolute,rolling window,ngdp_rpch,0.902067719442257,0.306356191489764,0.199689693483837,0.396021834468656,4.14734422270444,7.67299383208404,5.91016902739424,0.52027027027027,0.753378378378378,0.155405405405405,0.337837837837838,0.858108108108108,0.908783783783784
bvar_const,absolute,rolling window,pcpi_pch,0.548667252711964,0.316734784802862,0.11181177685391,0.120120691055191,2.83542882793128,3.88477298441106,3.36010090617117,0.388513513513514,0.675675675675676,0.206081081081081,0.462837837837838,0.851351351351351,0.881756756756757
bvar_mix,absolute,rolling window,ngdp_rpch,0.883462723183268,0.289893916480547,0.200439794590929,0.393129012111792,4.04180632269644,7.56473865692428,5.80327248981036,0.527027027027027,0.743243243243243,0.165540540540541,0.327702702702703,0.85472972972973,0.908783783783784
bvar_mix,absolute,rolling window,pcpi_pch,0.484942766473966,0.253101283488037,0.115914057419411,0.115927425566518,2.47048065595522,3.52265368959128,2.99656717277325,0.402027027027027,0.662162162162162,0.209459459459459,0.425675675675676,0.827702702702703,0.871621621621622
mean_ensemble,absolute,rolling window,ngdp_rpch,0.82700374037921,0.322684721860307,0.160547081976336,0.343771936542567,3.81079601389465,7.01308477284758,5.41194039337111,0.60472972972973,0.824324324324324,0.0912162162162162,0.233108108108108,0.837837837837838,0.915540540540541
mean_ensemble,absolute,rolling window,pcpi_pch,0.487558819932993,0.278749457781485,0.124874433240094,0.0839349289114142,2.48777776272539,3.53173199184639,3.00975487728589,0.466216216216216,0.756756756756757,0.155405405405405,0.405405405405405,0.871621621621622,0.912162162162162
